,enter_time,leave_time
flow_6666_0,77.0,146.0
flow_6667_0,94.0,164.0
flow_6668_0,111.0,181.0
flow_6669_0,128.0,198.0
flow_0_0,148.0,222.0
flow_3164_0,176.0,245.0
flow_6672_0,195.0,264.0
flow_6673_0,197.0,267.0
flow_833_0,220.0,279.0
flow_6675_0,248.0,318.0
flow_6676_0,251.0,320.0
flow_6678_0,281.0,350.0
flow_840_0,287.0,339.0
flow_6679_0,298.0,367.0
flow_3197_0,306.0,376.0
flow_3209_0,364.0,433.0
flow_834_0,371.0,441.0
flow_847_0,375.0,427.0
flow_849_0,378.0,430.0
flow_10_0,396.0,473.0
flow_526_0,405.0,494.0
flow_852_0,409.0,473.0
flow_6_0,412.0,515.0
flow_6685_0,424.0,498.0
flow_2234_0,431.0,520.0
flow_856_0,445.0,536.0
flow_6671_0,457.0,536.0
flow_843_0,461.0,531.0
flow_3228_0,483.0,540.0
flow_6688_0,486.0,556.0
flow_6689_0,492.0,562.0
flow_531_0,495.0,546.0
flow_3230_0,497.0,575.0
flow_530_0,507.0,618.0
flow_864_0,522.0,596.0
flow_868_0,531.0,601.0
flow_6691_0,548.0,622.0
flow_869_0,562.0,613.0
flow_6686_0,569.0,640.0
flow_6693_0,609.0,679.0
flow_6694_0,612.0,705.0
flow_537_0,618.0,684.0
flow_877_0,671.0,740.0
flow_6696_0,675.0,770.0
flow_879_0,675.0,727.0
flow_6698_0,677.0,775.0
flow_19_0,679.0,748.0
flow_3242_0,679.0,770.0
flow_883_0,713.0,782.0
flow_6700_0,717.0,786.0
flow_3303_0,722.0,815.0
flow_885_0,756.0,838.0
flow_6702_0,760.0,838.0
flow_2245_0,763.0,861.0
flow_5630_0,772.0,861.0
flow_887_0,788.0,866.0
flow_3318_0,790.0,885.0
flow_889_0,792.0,909.0
flow_892_0,795.0,868.0
flow_3309_0,801.0,871.0
flow_6705_0,827.0,896.0
flow_6706_0,830.0,900.0
flow_895_0,834.0,886.0
flow_6710_0,857.0,981.0
flow_2260_0,871.0,940.0
flow_3332_0,896.0,957.0
flow_543_0,898.0,961.0
flow_6703_0,907.0,959.0
flow_2664_0,910.0,962.0
flow_3350_0,912.0,964.0
flow_901_0,916.0,968.0
flow_3244_0,918.0,988.0
flow_6714_0,923.0,1005.0
flow_3348_0,929.0,1009.0
flow_3357_0,931.0,1011.0
flow_6715_0,932.0,1014.0
flow_3370_0,935.0,1016.0
flow_3352_0,945.0,1029.0
flow_3359_0,947.0,1034.0
flow_30_0,966.0,1029.0
flow_31_0,968.0,1034.0
flow_916_0,973.0,1036.0
flow_917_0,975.0,1039.0
flow_3300_0,988.0,1058.0
flow_33_0,1015.0,1076.0
flow_2665_0,1019.0,1076.0
flow_6720_0,1021.0,1100.0
flow_6721_0,1028.0,1105.0
flow_6280_0,1032.0,1083.0
flow_3384_0,1043.0,1094.0
flow_3381_0,1046.0,1117.0
flow_907_0,1050.0,1120.0
flow_5641_0,1051.0,1124.0
flow_3399_0,1058.0,1129.0
flow_935_0,1087.0,1140.0
flow_939_0,1092.0,1145.0
flow_6722_0,1093.0,1163.0
flow_6723_0,1095.0,1166.0
flow_2282_0,1102.0,1171.0
flow_39_0,1114.0,1196.0
flow_2267_0,1115.0,1196.0
flow_902_0,1117.0,1200.0
flow_5646_0,1118.0,1245.0
flow_6726_0,1141.0,1221.0
flow_6728_0,1147.0,1217.0
flow_2672_0,1153.0,1204.0
flow_3423_0,1164.0,1215.0
flow_6729_0,1189.0,1259.0
flow_6730_0,1192.0,1293.0
flow_3385_0,1194.0,1269.0
flow_6731_0,1198.0,1297.0
flow_2286_0,1201.0,1273.0
flow_43_0,1211.0,1276.0
flow_959_0,1230.0,1282.0
flow_6308_0,1232.0,1301.0
flow_961_0,1233.0,1285.0
flow_966_0,1234.0,1304.0
flow_27_0,1236.0,1513.0
flow_970_0,1237.0,1338.0
flow_962_0,1237.0,1288.0
flow_45_0,1237.0,1723.0
flow_3439_0,1239.0,1316.0
flow_2289_0,1240.0,1309.0
flow_3447_0,1241.0,1294.0
flow_3451_0,1244.0,1320.0
flow_3454_0,1248.0,1300.0
flow_6732_0,1260.0,1330.0
flow_6734_0,1263.0,1359.0
flow_6735_0,1266.0,1337.0
flow_949_0,1269.0,1340.0
flow_2295_0,1303.0,1381.0
flow_976_0,1305.0,1375.0
flow_580_0,1306.0,1375.0
flow_984_0,1312.0,1426.0
flow_5666_0,1320.0,1403.0
