,enter_time,leave_time
flow_2641_0,1.0,75.0
flow_2642_0,24.0,97.0
flow_2643_0,47.0,120.0
flow_2644_0,70.0,143.0
flow_2224_0,92.0,155.0
flow_2645_0,93.0,177.0
flow_2225_0,94.0,160.0
flow_2226_0,107.0,162.0
flow_2646_0,116.0,190.0
flow_2227_0,137.0,199.0
flow_2647_0,139.0,213.0
flow_2228_0,139.0,203.0
flow_2648_0,162.0,235.0
flow_2229_0,181.0,247.0
flow_6249_0,181.0,233.0
flow_2230_0,183.0,251.0
flow_837_0,184.0,247.0
flow_2649_0,185.0,269.0
flow_5610_0,202.0,254.0
flow_2650_0,208.0,281.0
flow_844_0,229.0,291.0
flow_2651_0,231.0,305.0
flow_6254_0,234.0,313.0
flow_6255_0,237.0,318.0
flow_845_0,240.0,296.0
flow_6256_0,243.0,320.0
flow_2232_0,249.0,301.0
flow_2234_0,252.0,313.0
flow_2652_0,254.0,335.0
flow_2235_0,254.0,306.0
flow_2653_0,277.0,381.0
flow_6257_0,279.0,331.0
flow_2_0,282.0,351.0
flow_850_0,286.0,358.0
flow_2654_0,300.0,374.0
flow_2655_0,301.0,404.0
flow_2238_0,316.0,367.0
flow_6259_0,317.0,368.0
flow_2239_0,319.0,371.0
flow_4_0,326.0,404.0
flow_5616_0,337.0,427.0
flow_5617_0,339.0,431.0
flow_2656_0,343.0,417.0
flow_2240_0,359.0,433.0
flow_2241_0,362.0,414.0
flow_858_0,383.0,435.0
flow_2657_0,385.0,459.0
flow_859_0,386.0,437.0
flow_6264_0,388.0,440.0
flow_2245_0,410.0,473.0
flow_2658_0,427.0,500.0
flow_6267_0,429.0,480.0
flow_865_0,431.0,483.0
flow_866_0,434.0,485.0
flow_6673_0,436.0,506.0
flow_2246_0,450.0,516.0
flow_2247_0,452.0,520.0
flow_2248_0,461.0,522.0
flow_2659_0,469.0,556.0
flow_6269_0,475.0,536.0
flow_6270_0,478.0,530.0
flow_2249_0,496.0,576.0
flow_2660_0,511.0,595.0
flow_6273_0,517.0,576.0
flow_862_0,518.0,595.0
flow_12_0,520.0,613.0
flow_3185_0,527.0,580.0
