,enter_time,leave_time
flow_2223_0,58.0,136.0
flow_5606_0,87.0,169.0
flow_5607_0,124.0,194.0
flow_5608_0,126.0,197.0
flow_2231_0,186.0,265.0
flow_2233_0,218.0,288.0
flow_5612_0,234.0,304.0
flow_5613_0,238.0,329.0
flow_2236_0,266.0,335.0
flow_2237_0,282.0,372.0
flow_5615_0,301.0,371.0
flow_2648_0,327.0,387.0
flow_2649_0,332.0,391.0
flow_2232_0,344.0,395.0
flow_2242_0,358.0,442.0
flow_2243_0,375.0,446.0
flow_2235_0,378.0,430.0
flow_5619_0,434.0,518.0
flow_5622_0,436.0,522.0
flow_532_0,436.0,518.0
flow_5623_0,439.0,524.0
flow_850_0,448.0,557.0
flow_833_0,461.0,544.0
flow_851_0,465.0,531.0
flow_2250_0,494.0,564.0
flow_859_0,501.0,585.0
flow_2251_0,511.0,590.0
flow_5628_0,515.0,598.0
flow_5627_0,515.0,592.0
flow_534_0,515.0,598.0
flow_5630_0,537.0,625.0
flow_2652_0,562.0,633.0
flow_2254_0,562.0,632.0
flow_2255_0,579.0,681.0
flow_5632_0,590.0,685.0
flow_5633_0,593.0,663.0
flow_5634_0,595.0,666.0
flow_6266_0,597.0,667.0
flow_2257_0,613.0,687.0
flow_5636_0,630.0,725.0
flow_5637_0,632.0,730.0
flow_2659_0,650.0,711.0
flow_5638_0,658.0,728.0
flow_2262_0,682.0,752.0
flow_3230_0,716.0,808.0
flow_2265_0,718.0,808.0
flow_545_0,723.0,812.0
flow_3226_0,725.0,777.0
flow_2267_0,742.0,822.0
flow_5643_0,745.0,814.0
flow_5644_0,747.0,817.0
flow_2238_0,754.0,837.0
flow_2249_0,756.0,841.0
flow_6280_0,774.0,867.0
flow_2252_0,791.0,867.0
flow_5646_0,798.0,885.0
flow_5648_0,801.0,871.0
flow_2666_0,812.0,923.0
flow_2261_0,813.0,866.0
flow_5649_0,826.0,927.0
flow_5650_0,828.0,929.0
flow_2246_0,835.0,903.0
flow_896_0,886.0,939.0
flow_2280_0,898.0,979.0
flow_2281_0,910.0,983.0
flow_530_0,926.0,1018.0
flow_902_0,928.0,1023.0
flow_2284_0,946.0,1025.0
flow_5657_0,964.0,1033.0
