,enter_time,leave_time
flow_4047_0,1.0,91.0
flow_4048_0,11.0,85.0
flow_4049_0,21.0,95.0
flow_4050_0,31.0,114.0
flow_4051_0,41.0,161.0
flow_4052_0,51.0,165.0
flow_4053_0,61.0,135.0
flow_4054_0,71.0,167.0
flow_3638_0,76.0,110.0
flow_4055_0,81.0,170.0
flow_3639_0,86.0,138.0
flow_4056_0,91.0,172.0
flow_4057_0,101.0,175.0
flow_4058_0,111.0,231.0
flow_3642_0,116.0,151.0
flow_1310_0,118.0,152.0
flow_2257_0,119.0,184.0
flow_1312_0,121.0,184.0
flow_4059_0,121.0,235.0
flow_1314_0,123.0,207.0
flow_2260_0,125.0,188.0
flow_4060_0,131.0,238.0
flow_3644_0,136.0,190.0
flow_4061_0,141.0,241.0
flow_3214_0,142.0,188.0
flow_3217_0,148.0,190.0
flow_4062_0,151.0,244.0
flow_0_0,154.0,231.0
flow_3646_0,156.0,193.0
flow_4063_0,161.0,235.0
flow_1316_0,165.0,211.0
flow_3647_0,166.0,199.0
flow_1319_0,167.0,213.0
flow_1320_0,169.0,203.0
flow_4064_0,171.0,245.0
flow_1324_0,172.0,255.0
flow_1326_0,175.0,259.0
flow_2788_0,177.0,211.0
flow_2790_0,180.0,262.0
flow_4065_0,181.0,279.0
flow_5368_0,190.0,279.0
flow_4066_0,191.0,265.0
flow_5369_0,193.0,263.0
flow_5370_0,196.0,283.0
flow_3650_0,196.0,484.0
flow_5371_0,198.0,285.0
flow_4067_0,201.0,283.0
flow_5372_0,201.0,330.0
flow_3651_0,206.0,255.0
flow_4068_0,211.0,285.0
flow_2513_0,213.0,259.0
flow_3652_0,216.0,261.0
flow_4069_0,221.0,295.0
flow_4070_0,231.0,305.0
flow_1327_0,236.0,269.0
flow_3654_0,236.0,269.0
flow_1329_0,239.0,273.0
flow_2264_0,240.0,274.0
flow_1331_0,241.0,275.0
flow_4071_0,241.0,355.0
flow_2267_0,243.0,304.0
flow_1335_0,244.0,279.0
flow_2270_0,245.0,308.0
flow_1336_0,247.0,304.0
flow_3655_0,248.0,311.0
flow_1339_0,250.0,308.0
flow_4072_0,251.0,359.0
flow_2524_0,258.0,328.0
flow_5847_0,259.0,355.0
flow_4073_0,261.0,361.0
flow_3222_0,261.0,311.0
flow_4074_0,271.0,364.0
flow_4075_0,281.0,789.0
flow_14_0,283.0,359.0
flow_3659_0,286.0,319.0
flow_4076_0,291.0,366.0
flow_3660_0,296.0,381.0
flow_4077_0,301.0,374.0
flow_3661_0,306.0,386.0
flow_5377_0,308.0,378.0
flow_4078_0,309.0,407.0
flow_5378_0,311.0,407.0
flow_5380_0,313.0,384.0
flow_5383_0,316.0,387.0
flow_3662_0,316.0,388.0
flow_4079_0,317.0,411.0
flow_4452_0,318.0,411.0
flow_1993_0,322.0,413.0
flow_1354_0,323.0,381.0
flow_4080_0,325.0,413.0
flow_2255_0,325.0,416.0
flow_3663_0,326.0,360.0
flow_4081_0,333.0,437.0
flow_1994_0,335.0,369.0
flow_4450_0,338.0,391.0
flow_1997_0,340.0,394.0
flow_4082_0,341.0,439.0
flow_2518_0,342.0,386.0
flow_4083_0,349.0,422.0
flow_5850_0,354.0,389.0
flow_3666_0,356.0,390.0
flow_5856_0,357.0,391.0
flow_4084_0,357.0,510.0
flow_1323_0,359.0,428.0
flow_5858_0,360.0,394.0
flow_5861_0,362.0,432.0
flow_4921_0,364.0,511.0
flow_4085_0,365.0,514.0
flow_4086_0,373.0,517.0
flow_3668_0,376.0,458.0
flow_4087_0,381.0,520.0
flow_3669_0,382.0,463.0
flow_669_0,385.0,514.0
flow_2279_0,387.0,488.0
flow_5855_0,388.0,458.0
flow_4088_0,389.0,523.0
flow_2282_0,390.0,465.0
flow_5384_0,390.0,562.0
flow_5385_0,393.0,517.0
flow_3671_0,394.0,428.0
flow_5389_0,396.0,469.0
flow_4089_0,397.0,562.0
flow_5391_0,399.0,519.0
flow_3672_0,400.0,434.0
flow_5392_0,402.0,521.0
flow_2006_0,404.0,524.0
flow_4090_0,405.0,525.0
flow_2535_0,408.0,526.0
flow_3674_0,412.0,468.0
flow_4091_0,413.0,528.0
flow_3233_0,414.0,458.0
flow_3240_0,416.0,462.0
flow_3243_0,419.0,464.0
flow_4092_0,421.0,530.0
flow_3245_0,421.0,484.0
flow_3676_0,424.0,471.0
flow_4093_0,429.0,588.0
flow_3677_0,430.0,473.0
flow_4094_0,437.0,592.0
flow_4458_0,439.0,491.0
flow_1357_0,440.0,474.0
flow_2531_0,442.0,476.0
flow_1358_0,443.0,476.0
flow_1359_0,445.0,479.0
flow_4095_0,445.0,594.0
flow_1360_0,448.0,536.0
flow_3680_0,448.0,536.0
flow_35_0,450.0,485.0
flow_1364_0,453.0,541.0
flow_4096_0,453.0,527.0
flow_3681_0,454.0,540.0
flow_1369_0,456.0,543.0
flow_2796_0,458.0,546.0
flow_4097_0,461.0,535.0
flow_5870_0,466.0,549.0
flow_3683_0,466.0,501.0
flow_5871_0,469.0,504.0
flow_4098_0,469.0,545.0
flow_3684_0,472.0,542.0
flow_4099_0,477.0,557.0
flow_3686_0,484.0,518.0
flow_4100_0,485.0,597.0
flow_3643_0,486.0,566.0
flow_5397_0,489.0,588.0
flow_3687_0,490.0,524.0
flow_5398_0,491.0,592.0
flow_3255_0,491.0,551.0
flow_4101_0,493.0,600.0
flow_3257_0,493.0,554.0
