,enter_time,leave_time
flow_1345_0,1.0,47.0
flow_1346_0,10.0,52.0
flow_1347_0,19.0,56.0
flow_1348_0,28.0,89.0
flow_1349_0,37.0,75.0
flow_1586_0,40.0,157.0
flow_1350_0,46.0,93.0
flow_1351_0,55.0,111.0
flow_1588_0,58.0,162.0
flow_1352_0,64.0,101.0
flow_1589_0,67.0,164.0
flow_1353_0,73.0,134.0
flow_1354_0,82.0,138.0
flow_1355_0,91.0,129.0
flow_4090_0,94.0,167.0
flow_4092_0,97.0,167.0
flow_1356_0,100.0,138.0
flow_1357_0,109.0,147.0
flow_1358_0,118.0,180.0
flow_1359_0,127.0,165.0
flow_1596_0,130.0,252.0
flow_1360_0,136.0,185.0
flow_1597_0,139.0,209.0
flow_1361_0,145.0,187.0
flow_1362_0,154.0,191.0
flow_1599_0,157.0,257.0
flow_1831_0,163.0,252.0
flow_1363_0,163.0,228.0
flow_1364_0,172.0,232.0
flow_2348_0,174.0,256.0
flow_449_0,174.0,301.0
flow_453_0,177.0,228.0
flow_1365_0,181.0,234.0
flow_1602_0,184.0,259.0
flow_4096_0,185.0,428.0
flow_2346_0,188.0,232.0
flow_4098_0,188.0,262.0
flow_4100_0,190.0,265.0
flow_1366_0,190.0,228.0
flow_4101_0,193.0,267.0
flow_1367_0,199.0,602.0
flow_1368_0,208.0,246.0
flow_2_0,209.0,326.0
flow_1369_0,217.0,276.0
flow_2351_0,219.0,290.0
flow_2353_0,223.0,330.0
flow_1370_0,226.0,264.0
flow_1607_0,229.0,326.0
flow_454_0,231.0,276.0
flow_458_0,233.0,280.0
flow_2948_0,234.0,332.0
flow_1371_0,235.0,281.0
flow_461_0,235.0,306.0
flow_2956_0,236.0,335.0
flow_2957_0,239.0,338.0
flow_464_0,243.0,282.0
flow_1372_0,244.0,283.0
flow_467_0,246.0,308.0
flow_2959_0,247.0,428.0
flow_1373_0,253.0,290.0
flow_4105_0,256.0,331.0
flow_1838_0,258.0,340.0
flow_4106_0,259.0,432.0
flow_1610_0,260.0,333.0
flow_1840_0,260.0,343.0
flow_1374_0,262.0,300.0
flow_1841_0,263.0,345.0
flow_1843_0,265.0,377.0
flow_1844_0,267.0,381.0
flow_4109_0,267.0,336.0
flow_1375_0,271.0,351.0
flow_468_0,279.0,351.0
flow_8_0,279.0,432.0
flow_1376_0,280.0,355.0
flow_470_0,281.0,355.0
flow_1613_0,283.0,377.0
flow_1377_0,289.0,357.0
flow_0_0,289.0,357.0
flow_2357_0,290.0,384.0
flow_7_0,292.0,326.0
flow_1378_0,298.0,360.0
flow_1379_0,301.0,362.0
flow_1847_0,307.0,434.0
flow_1380_0,309.0,365.0
flow_1849_0,312.0,386.0
flow_1381_0,317.0,367.0
flow_455_0,318.0,388.0
flow_2661_0,321.0,391.0
flow_1382_0,325.0,370.0
flow_1618_0,328.0,397.0
flow_3257_0,329.0,453.0
flow_899_0,332.0,458.0
flow_1383_0,333.0,403.0
flow_1620_0,340.0,461.0
flow_1384_0,341.0,407.0
flow_1621_0,349.0,464.0
flow_1385_0,349.0,409.0
flow_902_0,354.0,403.0
flow_1386_0,357.0,412.0
flow_472_0,357.0,757.0
flow_1622_0,358.0,466.0
flow_478_0,360.0,407.0
flow_479_0,362.0,409.0
flow_1387_0,365.0,503.0
flow_480_0,365.0,412.0
flow_485_0,367.0,414.0
flow_1623_0,367.0,469.0
flow_487_0,369.0,417.0
flow_489_0,372.0,419.0
flow_1388_0,373.0,414.0
flow_1624_0,376.0,447.0
flow_4112_0,380.0,472.0
flow_1389_0,381.0,508.0
flow_4115_0,382.0,553.0
flow_1851_0,383.0,454.0
flow_1854_0,385.0,456.0
