,enter_time,leave_time
flow_6666_0,98.0,179.0
flow_6667_0,101.0,171.0
flow_6668_0,134.0,204.0
flow_6669_0,136.0,207.0
flow_0_0,169.0,221.0
flow_3164_0,203.0,282.0
flow_6672_0,206.0,286.0
flow_6673_0,208.0,288.0
flow_6675_0,241.0,311.0
flow_6676_0,247.0,330.0
flow_833_0,274.0,345.0
flow_6678_0,292.0,375.0
flow_3197_0,297.0,367.0
flow_6679_0,298.0,380.0
flow_840_0,315.0,367.0
flow_3209_0,364.0,471.0
flow_847_0,377.0,429.0
flow_10_0,380.0,454.0
flow_849_0,380.0,432.0
flow_6685_0,414.0,483.0
flow_852_0,423.0,488.0
flow_834_0,427.0,498.0
flow_526_0,431.0,540.0
flow_6_0,446.0,558.0
flow_6671_0,462.0,523.0
flow_530_0,465.0,544.0
flow_856_0,472.0,524.0
flow_843_0,473.0,543.0
flow_2234_0,479.0,563.0
flow_3230_0,480.0,558.0
flow_531_0,482.0,533.0
flow_6688_0,517.0,594.0
flow_6689_0,520.0,590.0
flow_864_0,521.0,613.0
flow_3228_0,526.0,618.0
flow_6691_0,551.0,631.0
flow_868_0,567.0,620.0
flow_869_0,570.0,623.0
flow_6686_0,573.0,624.0
flow_537_0,589.0,664.0
flow_6693_0,606.0,676.0
flow_6694_0,608.0,697.0
flow_877_0,629.0,698.0
flow_19_0,671.0,731.0
flow_6696_0,674.0,763.0
flow_6698_0,677.0,768.0
flow_3242_0,703.0,772.0
flow_883_0,720.0,814.0
flow_879_0,724.0,776.0
flow_6700_0,725.0,814.0
flow_885_0,736.0,819.0
flow_3303_0,745.0,830.0
flow_2245_0,757.0,847.0
flow_6702_0,758.0,881.0
flow_887_0,760.0,852.0
flow_3318_0,776.0,885.0
flow_5630_0,784.0,847.0
flow_889_0,792.0,864.0
flow_6705_0,807.0,887.0
flow_6706_0,810.0,880.0
flow_3309_0,830.0,898.0
flow_892_0,843.0,902.0
flow_895_0,848.0,900.0
flow_2260_0,857.0,945.0
flow_3332_0,866.0,930.0
flow_6710_0,876.0,979.0
flow_543_0,900.0,963.0
flow_6703_0,900.0,952.0
flow_3244_0,904.0,974.0
flow_901_0,922.0,974.0
flow_3348_0,924.0,1015.0
flow_3357_0,926.0,1019.0
flow_3370_0,929.0,1021.0
flow_2664_0,950.0,1002.0
flow_6714_0,957.0,1026.0
flow_30_0,958.0,1033.0
flow_6715_0,959.0,1051.0
flow_31_0,960.0,1038.0
flow_916_0,983.0,1034.0
flow_3350_0,996.0,1070.0
flow_3352_0,998.0,1074.0
flow_3359_0,1000.0,1076.0
flow_917_0,1006.0,1079.0
flow_33_0,1010.0,1069.0
flow_3300_0,1014.0,1107.0
flow_5641_0,1015.0,1088.0
flow_6720_0,1025.0,1107.0
flow_6721_0,1028.0,1112.0
flow_3384_0,1031.0,1083.0
flow_27_0,1039.0,1092.0
flow_2665_0,1047.0,1127.0
flow_6722_0,1061.0,1131.0
flow_6723_0,1063.0,1134.0
flow_3381_0,1071.0,1142.0
flow_907_0,1076.0,1146.0
flow_6280_0,1090.0,1141.0
flow_935_0,1107.0,1159.0
flow_2267_0,1112.0,1185.0
flow_939_0,1115.0,1167.0
flow_6308_0,1127.0,1205.0
flow_2672_0,1128.0,1185.0
flow_39_0,1130.0,1189.0
flow_5646_0,1146.0,1225.0
flow_6726_0,1155.0,1267.0
flow_6728_0,1158.0,1228.0
flow_6729_0,1164.0,1234.0
flow_3399_0,1181.0,1233.0
flow_2282_0,1184.0,1267.0
flow_3423_0,1184.0,1246.0
flow_6730_0,1194.0,1272.0
flow_6731_0,1198.0,1274.0
flow_3385_0,1203.0,1254.0
flow_902_0,1206.0,1257.0
flow_2286_0,1208.0,1260.0
flow_45_0,1234.0,1791.0
flow_959_0,1243.0,1309.0
flow_961_0,1245.0,1298.0
flow_962_0,1249.0,1314.0
flow_6318_0,1251.0,1316.0
flow_6732_0,1255.0,1325.0
flow_6734_0,1258.0,1334.0
flow_43_0,1259.0,1311.0
flow_966_0,1265.0,1334.0
flow_6735_0,1266.0,1351.0
flow_970_0,1268.0,1351.0
flow_2289_0,1271.0,1340.0
flow_3439_0,1283.0,1371.0
flow_3447_0,1286.0,1338.0
flow_3451_0,1288.0,1374.0
flow_3454_0,1291.0,1344.0
flow_3461_0,1294.0,1377.0
flow_6736_0,1297.0,1393.0
flow_6737_0,1299.0,1397.0
flow_896_0,1306.0,1393.0
flow_580_0,1317.0,1399.0
flow_949_0,1326.0,1415.0
flow_49_0,1327.0,1378.0
flow_2687_0,1337.0,1408.0
flow_2295_0,1347.0,1417.0
