,enter_time,leave_time
flow_0_0,41.0,74.0
flow_1_0,46.0,103.0
flow_2_0,51.0,84.0
flow_3_0,56.0,90.0
flow_4_0,61.0,94.0
flow_6_0,71.0,105.0
flow_2510_0,77.0,122.0
flow_1311_0,81.0,159.0
flow_5845_0,88.0,159.0
flow_5848_0,101.0,170.0
flow_3212_0,109.0,193.0
flow_9_0,110.0,143.0
flow_12_0,112.0,146.0
flow_14_0,115.0,149.0
flow_15_0,117.0,151.0
flow_16_0,121.0,154.0
flow_17_0,126.0,177.0
flow_5849_0,127.0,197.0
flow_2512_0,128.0,431.0
flow_5850_0,130.0,199.0
flow_1321_0,131.0,200.0
flow_18_0,131.0,182.0
flow_665_0,139.0,174.0
flow_2515_0,142.0,182.0
flow_2516_0,155.0,228.0
flow_671_0,164.0,247.0
flow_21_0,166.0,210.0
flow_4917_0,166.0,251.0
flow_2517_0,168.0,210.0
flow_22_0,168.0,214.0
flow_4921_0,170.0,240.0
flow_24_0,171.0,216.0
flow_25_0,173.0,219.0
flow_26_0,176.0,222.0
flow_1310_0,184.0,447.0
flow_29_0,186.0,220.0
flow_3215_0,198.0,268.0
flow_2518_0,198.0,232.0
flow_1991_0,200.0,391.0
flow_3219_0,201.0,286.0
flow_2519_0,201.0,266.0
flow_1330_0,205.0,290.0
flow_3220_0,207.0,278.0
flow_3221_0,208.0,292.0
flow_31_0,214.0,248.0
flow_5853_0,215.0,285.0
flow_32_0,217.0,328.0
flow_5856_0,218.0,287.0
flow_33_0,219.0,266.0
flow_5858_0,220.0,633.0
flow_34_0,222.0,271.0
flow_5376_0,223.0,293.0
flow_36_0,224.0,273.0
flow_5859_0,226.0,296.0
flow_1988_0,233.0,271.0
flow_4922_0,235.0,269.0
flow_5373_0,235.0,273.0
flow_1340_0,242.0,349.0
flow_4925_0,244.0,277.0
flow_3646_0,252.0,322.0
flow_5860_0,252.0,349.0
flow_5861_0,255.0,325.0
flow_5862_0,257.0,354.0
flow_4056_0,258.0,307.0
flow_5865_0,260.0,331.0
flow_5866_0,263.0,357.0
flow_1341_0,267.0,337.0
flow_37_0,270.0,307.0
flow_38_0,272.0,312.0
flow_39_0,274.0,309.0
flow_41_0,277.0,314.0
flow_43_0,280.0,316.0
flow_44_0,282.0,333.0
flow_4930_0,283.0,319.0
flow_3223_0,290.0,360.0
flow_2522_0,291.0,371.0
flow_5868_0,291.0,360.0
flow_3227_0,293.0,362.0
flow_2525_0,293.0,376.0
flow_5869_0,294.0,364.0
flow_3229_0,295.0,365.0
flow_5870_0,296.0,366.0
flow_5871_0,299.0,431.0
flow_5872_0,301.0,396.0
flow_2526_0,303.0,378.0
flow_5388_0,309.0,380.0
flow_1323_0,310.0,371.0
flow_2791_0,312.0,375.0
flow_4932_0,323.0,378.0
flow_4933_0,325.0,380.0
flow_2001_0,330.0,435.0
flow_45_0,331.0,383.0
flow_694_0,332.0,437.0
flow_47_0,333.0,385.0
flow_2527_0,333.0,367.0
flow_19_0,335.0,405.0
flow_53_0,336.0,411.0
flow_2528_0,337.0,381.0
flow_707_0,337.0,451.0
flow_2005_0,339.0,456.0
flow_4937_0,339.0,414.0
flow_55_0,341.0,376.0
flow_2529_0,342.0,384.0
flow_56_0,342.0,417.0
flow_2530_0,345.0,411.0
flow_3234_0,352.0,436.0
flow_3235_0,354.0,438.0
flow_3238_0,357.0,441.0
flow_28_0,358.0,428.0
flow_1366_0,361.0,444.0
flow_61_0,373.0,407.0
flow_5874_0,375.0,444.0
flow_62_0,376.0,420.0
flow_5879_0,377.0,493.0
flow_63_0,378.0,412.0
flow_5880_0,380.0,497.0
flow_65_0,381.0,423.0
flow_5881_0,382.0,452.0
flow_66_0,384.0,418.0
flow_5883_0,385.0,499.0
flow_67_0,387.0,421.0
flow_5884_0,388.0,502.0
flow_3659_0,394.0,493.0
flow_2270_0,396.0,498.0
flow_1371_0,413.0,500.0
flow_69_0,414.0,472.0
flow_5885_0,416.0,487.0
flow_71_0,417.0,451.0
flow_72_0,419.0,476.0
flow_5887_0,419.0,505.0
flow_5888_0,421.0,508.0
flow_73_0,422.0,478.0
flow_75_0,424.0,481.0
flow_4470_0,425.0,614.0
flow_77_0,427.0,483.0
flow_4471_0,428.0,536.0
flow_4059_0,430.0,540.0
flow_4945_0,431.0,486.0
flow_2532_0,434.0,556.0
flow_3241_0,434.0,504.0
flow_2533_0,437.0,471.0
flow_3244_0,437.0,506.0
flow_3246_0,439.0,509.0
flow_2534_0,439.0,473.0
flow_2536_0,442.0,786.0
flow_3248_0,442.0,536.0
flow_3249_0,444.0,540.0
flow_2537_0,444.0,478.0
flow_3250_0,447.0,542.0
flow_1377_0,450.0,545.0
flow_1378_0,453.0,548.0
flow_712_0,456.0,618.0
flow_716_0,459.0,543.0
flow_4956_0,461.0,546.0
flow_4952_0,468.0,503.0
flow_79_0,474.0,515.0
flow_2274_0,475.0,515.0
flow_3251_0,475.0,576.0
flow_2012_0,475.0,550.0
flow_80_0,476.0,519.0
flow_3252_0,477.0,581.0
flow_2539_0,478.0,560.0
flow_83_0,479.0,521.0
flow_3254_0,479.0,614.0
flow_2015_0,480.0,576.0
flow_2540_0,480.0,519.0
flow_84_0,481.0,524.0
flow_2542_0,483.0,521.0
flow_86_0,484.0,526.0
flow_2543_0,486.0,524.0
flow_87_0,486.0,529.0
flow_88_0,488.0,531.0
flow_1386_0,489.0,583.0
flow_2544_0,489.0,527.0
flow_1387_0,492.0,562.0
flow_5891_0,498.0,620.0
flow_5893_0,501.0,571.0
flow_5896_0,503.0,623.0
flow_5897_0,506.0,581.0
flow_5898_0,509.0,625.0
flow_5900_0,513.0,583.0
flow_2798_0,517.0,595.0
flow_2799_0,520.0,556.0
flow_2809_0,522.0,599.0
flow_4086_0,530.0,564.0
flow_5417_0,537.0,653.0
flow_2549_0,539.0,573.0
flow_89_0,539.0,602.0
flow_90_0,541.0,605.0
flow_5377_0,542.0,595.0
flow_91_0,544.0,608.0
flow_93_0,546.0,581.0
flow_95_0,550.0,633.0
flow_96_0,552.0,637.0
flow_4486_0,555.0,658.0
flow_3259_0,559.0,653.0
flow_5901_0,561.0,660.0
flow_3263_0,562.0,632.0
flow_1401_0,562.0,658.0
flow_5902_0,563.0,663.0
flow_1373_0,565.0,731.0
flow_3266_0,565.0,635.0
flow_5906_0,567.0,637.0
flow_3267_0,567.0,660.0
flow_5907_0,569.0,644.0
flow_3269_0,570.0,835.0
flow_4092_0,571.0,604.0
flow_3669_0,579.0,663.0
flow_97_0,580.0,614.0
flow_2551_0,581.0,638.0
flow_3676_0,581.0,667.0
flow_99_0,583.0,640.0
flow_2552_0,583.0,735.0
flow_3677_0,583.0,691.0
flow_102_0,585.0,643.0
flow_4098_0,586.0,656.0
flow_2553_0,586.0,640.0
flow_105_0,588.0,646.0
flow_2554_0,589.0,624.0
flow_107_0,590.0,672.0
flow_1404_0,595.0,665.0
flow_4970_0,597.0,631.0
flow_5908_0,600.0,835.0
flow_1408_0,601.0,696.0
flow_5909_0,603.0,691.0
flow_1409_0,603.0,699.0
flow_5911_0,605.0,696.0
flow_1411_0,606.0,702.0
flow_1413_0,609.0,705.0
flow_5912_0,609.0,698.0
flow_35_0,614.0,701.0
flow_3274_0,617.0,772.0
flow_5424_0,617.0,704.0
flow_3678_0,617.0,672.0
flow_3276_0,619.0,776.0
flow_1998_0,619.0,677.0
flow_5425_0,620.0,706.0
flow_742_0,620.0,690.0
flow_4980_0,622.0,839.0
flow_4482_0,622.0,679.0
flow_3277_0,622.0,779.0
flow_5430_0,623.0,694.0
flow_3278_0,624.0,782.0
flow_2021_0,624.0,682.0
flow_3282_0,631.0,701.0
flow_4101_0,640.0,685.0
flow_1392_0,651.0,737.0
flow_2556_0,655.0,740.0
flow_109_0,657.0,691.0
flow_5915_0,658.0,729.0
flow_2557_0,658.0,711.0
flow_112_0,660.0,711.0
flow_5917_0,661.0,772.0
flow_2559_0,661.0,715.0
flow_113_0,662.0,716.0
flow_114_0,665.0,731.0
flow_4979_0,666.0,719.0
flow_4982_0,668.0,1059.0
flow_120_0,668.0,1477.0
flow_3683_0,668.0,717.0
flow_3283_0,675.0,788.0
flow_1395_0,676.0,724.0
flow_3285_0,677.0,1068.0
flow_1412_0,678.0,752.0
flow_2833_0,680.0,714.0
flow_3288_0,680.0,818.0
flow_3291_0,683.0,839.0
flow_4493_0,688.0,756.0
flow_4495_0,691.0,739.0
flow_2561_0,693.0,726.0
flow_2013_0,694.0,820.0
flow_2562_0,696.0,743.0
flow_121_0,696.0,758.0
flow_122_0,698.0,761.0
flow_2563_0,699.0,746.0
flow_2564_0,701.0,752.0
flow_124_0,701.0,763.0
flow_126_0,703.0,766.0
flow_4075_0,705.0,739.0
flow_128_0,705.0,793.0
flow_129_0,708.0,798.0
flow_1398_0,709.0,757.0
flow_1402_0,711.0,759.0
flow_2024_0,712.0,893.0
flow_5882_0,715.0,762.0
flow_5920_0,716.0,785.0
flow_5921_0,718.0,788.0
flow_5922_0,722.0,792.0
flow_5923_0,725.0,814.0
flow_5925_0,728.0,799.0
flow_4081_0,732.0,766.0
flow_4115_0,734.0,841.0
flow_2565_0,734.0,793.0
flow_130_0,736.0,800.0
flow_4988_0,736.0,818.0
flow_2301_0,737.0,823.0
flow_2566_0,737.0,771.0
flow_132_0,738.0,803.0
flow_3716_0,739.0,826.0
flow_5403_0,739.0,898.0
flow_759_0,739.0,812.0
flow_4992_0,740.0,774.0
flow_761_0,741.0,820.0
flow_133_0,741.0,806.0
flow_2567_0,742.0,797.0
flow_135_0,743.0,808.0
flow_764_0,744.0,841.0
flow_4109_0,745.0,1053.0
flow_2568_0,745.0,900.0
flow_136_0,746.0,893.0
flow_4969_0,747.0,828.0
flow_4111_0,747.0,781.0
flow_4998_0,747.0,823.0
flow_137_0,748.0,855.0
flow_3292_0,755.0,825.0
flow_3293_0,758.0,844.0
flow_3297_0,760.0,874.0
flow_3299_0,763.0,846.0
flow_3301_0,766.0,879.0
flow_1430_0,771.0,881.0
flow_2570_0,773.0,806.0
flow_5927_0,777.0,874.0
flow_138_0,777.0,1074.0
flow_5929_0,779.0,879.0
flow_1434_0,779.0,884.0
flow_139_0,780.0,897.0
flow_140_0,782.0,862.0
flow_5932_0,783.0,1089.0
flow_142_0,785.0,864.0
flow_5933_0,786.0,881.0
flow_144_0,787.0,867.0
flow_5934_0,789.0,859.0
flow_145_0,790.0,825.0
flow_5935_0,791.0,862.0
flow_4124_0,811.0,855.0
flow_1437_0,811.0,881.0
flow_3302_0,818.0,1089.0
flow_147_0,819.0,899.0
flow_3305_0,821.0,931.0
flow_151_0,822.0,912.0
flow_3307_0,823.0,893.0
flow_152_0,824.0,917.0
flow_2571_0,826.0,860.0
flow_3309_0,826.0,936.0
flow_153_0,827.0,902.0
flow_2573_0,829.0,862.0
flow_3311_0,829.0,899.0
flow_1427_0,829.0,864.0
flow_154_0,830.0,919.0
flow_155_0,833.0,922.0
flow_4126_0,839.0,909.0
flow_5936_0,840.0,931.0
flow_4489_0,841.0,912.0
flow_5937_0,842.0,935.0
flow_4130_0,843.0,1093.0
flow_5940_0,845.0,937.0
flow_5942_0,847.0,918.0
flow_5007_0,850.0,925.0
flow_5944_0,851.0,940.0
flow_5945_0,853.0,942.0
flow_2575_0,856.0,912.0
flow_1449_0,859.0,938.0
flow_2576_0,859.0,903.0
flow_5005_0,861.0,931.0
flow_3717_0,862.0,916.0
flow_3726_0,864.0,918.0
flow_786_0,864.0,971.0
flow_788_0,866.0,975.0
flow_1452_0,867.0,1095.0
flow_4091_0,867.0,950.0
flow_2577_0,868.0,906.0
flow_791_0,869.0,977.0
flow_795_0,871.0,980.0
flow_4104_0,875.0,1094.0
flow_3312_0,878.0,971.0
flow_3313_0,880.0,975.0
flow_3316_0,882.0,953.0
flow_3317_0,886.0,978.0
flow_3323_0,888.0,980.0
flow_2308_0,889.0,922.0
flow_3324_0,890.0,960.0
flow_792_0,894.0,954.0
flow_4107_0,895.0,929.0
flow_1455_0,897.0,983.0
flow_156_0,898.0,1213.0
flow_2057_0,898.0,969.0
flow_5946_0,899.0,982.0
flow_5948_0,901.0,985.0
flow_161_0,901.0,956.0
flow_162_0,903.0,959.0
flow_5950_0,904.0,1010.0
flow_1458_0,905.0,1010.0
flow_5952_0,906.0,976.0
flow_163_0,906.0,961.0
flow_165_0,908.0,964.0
flow_5953_0,909.0,1014.0
flow_5015_0,912.0,966.0
flow_3326_0,916.0,1098.0
flow_3327_0,919.0,1015.0
flow_3331_0,923.0,1017.0
flow_2580_0,933.0,966.0
flow_1460_0,935.0,1006.0
flow_2581_0,935.0,991.0
flow_4504_0,935.0,1020.0
flow_166_0,936.0,991.0
flow_4142_0,937.0,1023.0
flow_4522_0,938.0,972.0
flow_2582_0,938.0,995.0
flow_167_0,938.0,996.0
flow_1463_0,941.0,1049.0
flow_169_0,941.0,998.0
flow_170_0,943.0,978.0
flow_1464_0,944.0,1100.0
flow_171_0,946.0,1001.0
flow_5954_0,956.0,1025.0
flow_5956_0,958.0,1049.0
flow_5957_0,961.0,1412.0
flow_5959_0,963.0,1056.0
flow_5961_0,965.0,1096.0
flow_125_0,967.0,1037.0
flow_5962_0,968.0,1039.0
flow_1465_0,970.0,1055.0
flow_5026_0,971.0,1005.0
flow_2584_0,972.0,1005.0
flow_3334_0,974.0,1058.0
flow_2585_0,975.0,1009.0
flow_172_0,975.0,1030.0
flow_3337_0,976.0,1061.0
flow_1470_0,976.0,1046.0
flow_173_0,977.0,1034.0
flow_802_0,977.0,1063.0
flow_5023_0,979.0,1050.0
flow_174_0,980.0,1036.0
flow_3260_0,981.0,1110.0
flow_177_0,982.0,1039.0
flow_1473_0,982.0,1052.0
flow_3751_0,983.0,1030.0
flow_814_0,984.0,1113.0
flow_179_0,984.0,1041.0
flow_2586_0,985.0,1034.0
flow_819_0,986.0,1116.0
flow_181_0,987.0,1044.0
flow_2884_0,993.0,1110.0
flow_2892_0,998.0,1115.0
flow_2587_0,1012.0,1068.0
flow_4153_0,1013.0,1103.0
flow_183_0,1014.0,1218.0
flow_2588_0,1015.0,1049.0
flow_5963_0,1015.0,1119.0
flow_184_0,1017.0,1072.0
flow_5965_0,1017.0,1122.0
flow_2589_0,1018.0,1073.0
flow_185_0,1019.0,1074.0
flow_5967_0,1020.0,1125.0
flow_187_0,1022.0,1077.0
flow_5969_0,1022.0,1151.0
flow_2590_0,1023.0,1075.0
flow_189_0,1024.0,1079.0
flow_805_0,1025.0,1060.0
flow_4552_0,1025.0,1156.0
flow_190_0,1027.0,1082.0
flow_3341_0,1032.0,1117.0
flow_1476_0,1032.0,1102.0
flow_815_0,1034.0,1084.0
flow_3343_0,1034.0,1120.0
flow_1414_0,1038.0,1131.0
flow_1482_0,1041.0,1111.0
flow_829_0,1042.0,1134.0
flow_2591_0,1051.0,1084.0
flow_193_0,1054.0,1137.0
flow_194_0,1056.0,1140.0
flow_195_0,1059.0,1142.0
flow_196_0,1061.0,1145.0
flow_2594_0,1062.0,1131.0
flow_198_0,1063.0,1172.0
flow_200_0,1066.0,1175.0
flow_1484_0,1067.0,1151.0
flow_5037_0,1070.0,1177.0
flow_5473_0,1073.0,1158.0
flow_5483_0,1075.0,1161.0
flow_5039_0,1075.0,1220.0
flow_1491_0,1076.0,1156.0
