,enter_time,leave_time
flow_0_0,41.0,74.0
flow_1_0,46.0,99.0
flow_2_0,51.0,84.0
flow_3_0,56.0,90.0
flow_4_0,61.0,94.0
flow_6_0,71.0,105.0
flow_2510_0,77.0,118.0
flow_1311_0,81.0,174.0
flow_9_0,86.0,119.0
flow_5845_0,103.0,174.0
flow_5848_0,105.0,177.0
flow_5849_0,109.0,179.0
flow_2512_0,121.0,395.0
flow_12_0,121.0,154.0
flow_14_0,123.0,157.0
flow_15_0,126.0,160.0
flow_16_0,128.0,163.0
flow_17_0,131.0,165.0
flow_1321_0,131.0,210.0
flow_18_0,133.0,168.0
flow_665_0,135.0,170.0
flow_5850_0,140.0,210.0
flow_2515_0,142.0,192.0
flow_3212_0,142.0,214.0
flow_5853_0,142.0,212.0
flow_3215_0,145.0,215.0
flow_21_0,146.0,192.0
flow_22_0,151.0,196.0
flow_2516_0,155.0,325.0
flow_671_0,160.0,247.0
flow_4917_0,162.0,251.0
flow_2517_0,168.0,201.0
flow_24_0,179.0,228.0
flow_2518_0,181.0,215.0
flow_25_0,181.0,233.0
flow_26_0,184.0,235.0
flow_1310_0,184.0,554.0
flow_29_0,186.0,220.0
flow_5856_0,198.0,285.0
flow_3219_0,199.0,285.0
flow_5858_0,200.0,633.0
flow_1330_0,203.0,289.0
flow_5376_0,203.0,291.0
flow_3220_0,205.0,275.0
flow_5859_0,206.0,277.0
flow_3221_0,206.0,291.0
flow_5860_0,207.0,294.0
flow_3223_0,208.0,279.0
flow_31_0,215.0,249.0
flow_1991_0,215.0,411.0
flow_2519_0,215.0,266.0
flow_32_0,218.0,325.0
flow_33_0,220.0,266.0
flow_34_0,223.0,271.0
flow_36_0,225.0,273.0
flow_1988_0,233.0,271.0
flow_4922_0,234.0,268.0
flow_5373_0,235.0,274.0
flow_4925_0,242.0,276.0
flow_1340_0,243.0,344.0
flow_4056_0,245.0,278.0
flow_37_0,252.0,305.0
flow_5861_0,253.0,323.0
flow_38_0,254.0,310.0
flow_39_0,256.0,290.0
flow_5862_0,256.0,344.0
flow_5865_0,258.0,328.0
flow_41_0,259.0,312.0
flow_5866_0,261.0,349.0
flow_43_0,262.0,315.0
flow_5868_0,264.0,351.0
flow_44_0,264.0,330.0
flow_1341_0,268.0,338.0
flow_2522_0,271.0,305.0
flow_4921_0,272.0,342.0
flow_4930_0,276.0,317.0
flow_694_0,277.0,354.0
flow_3646_0,292.0,362.0
flow_2001_0,308.0,395.0
flow_2525_0,309.0,362.0
flow_1323_0,309.0,362.0
flow_5869_0,310.0,381.0
flow_2526_0,311.0,367.0
flow_2791_0,311.0,366.0
flow_2527_0,313.0,347.0
flow_5870_0,313.0,399.0
flow_5871_0,315.0,401.0
flow_5872_0,318.0,416.0
flow_5874_0,321.0,404.0
flow_4932_0,324.0,369.0
flow_4933_0,326.0,371.0
