,enter_time,leave_time
flow_2409_0,47.0,80.0
flow_2410_0,53.0,86.0
flow_2412_0,65.0,98.0
flow_1784_0,76.0,154.0
flow_2413_0,84.0,117.0
flow_2414_0,86.0,120.0
flow_2416_0,89.0,123.0
flow_2417_0,95.0,128.0
flow_3067_0,96.0,177.0
flow_4440_0,97.0,177.0
flow_3068_0,98.0,182.0
flow_4441_0,99.0,181.0
flow_3069_0,101.0,199.0
flow_2418_0,101.0,243.0
flow_2419_0,107.0,658.0
flow_611_0,113.0,146.0
flow_2420_0,113.0,147.0
flow_2421_0,119.0,166.0
flow_3070_0,121.0,192.0
flow_3071_0,123.0,204.0
flow_613_0,125.0,159.0
flow_2422_0,125.0,170.0
flow_2423_0,131.0,165.0
flow_1791_0,132.0,201.0
flow_4444_0,134.0,204.0
flow_4445_0,136.0,222.0
flow_2424_0,137.0,171.0
flow_4446_0,139.0,225.0
flow_3072_0,146.0,221.0
flow_615_0,147.0,189.0
flow_3073_0,148.0,226.0
flow_2426_0,157.0,190.0
flow_2427_0,159.0,193.0
flow_2428_0,162.0,210.0
flow_2721_0,168.0,214.0
flow_2722_0,170.0,232.0
flow_1797_0,170.0,254.0
flow_619_0,171.0,210.0
flow_3074_0,171.0,254.0
flow_1799_0,172.0,259.0
flow_1800_0,175.0,245.0
flow_2429_0,180.0,236.0
flow_4449_0,182.0,278.0
flow_0_0,182.0,215.0
flow_2430_0,183.0,217.0
flow_3746_0,184.0,232.0
flow_4450_0,184.0,283.0
flow_1193_0,193.0,285.0
flow_620_0,193.0,243.0
flow_622_0,196.0,237.0
flow_2431_0,202.0,266.0
flow_2432_0,204.0,271.0
flow_3077_0,204.0,278.0
flow_3078_0,206.0,282.0
flow_4784_0,208.0,247.0
flow_2433_0,224.0,291.0
flow_3079_0,226.0,304.0
flow_4454_0,226.0,304.0
flow_4087_0,226.0,266.0
flow_2435_0,226.0,295.0
flow_3080_0,228.0,309.0
flow_627_0,228.0,270.0
flow_1806_0,229.0,308.0
flow_2436_0,229.0,297.0
flow_4457_0,230.0,392.0
flow_628_0,231.0,272.0
flow_1808_0,232.0,310.0
flow_2734_0,237.0,307.0
flow_2437_0,247.0,317.0
flow_3081_0,248.0,339.0
flow_4091_0,249.0,291.0
flow_2438_0,250.0,284.0
flow_630_0,251.0,294.0
flow_2439_0,252.0,321.0
flow_3083_0,253.0,323.0
flow_631_0,254.0,297.0
flow_4460_0,271.0,340.0
flow_2440_0,271.0,323.0
flow_10_0,273.0,307.0
flow_2441_0,273.0,326.0
flow_4461_0,273.0,343.0
flow_3085_0,275.0,344.0
flow_2442_0,276.0,329.0
flow_633_0,276.0,317.0
flow_2443_0,278.0,332.0
flow_4792_0,279.0,321.0
flow_2444_0,281.0,350.0
flow_2445_0,283.0,354.0
flow_1787_0,285.0,370.0
flow_2446_0,285.0,356.0
flow_7_0,286.0,323.0
flow_3754_0,288.0,326.0
flow_2447_0,288.0,359.0
flow_3758_0,290.0,329.0
flow_4463_0,296.0,370.0
flow_4464_0,298.0,375.0
flow_4465_0,302.0,372.0
flow_2448_0,309.0,344.0
flow_3088_0,310.0,392.0
flow_4782_0,311.0,415.0
flow_2451_0,312.0,361.0
flow_635_0,312.0,349.0
flow_638_0,314.0,352.0
flow_2452_0,314.0,404.0
flow_639_0,317.0,355.0
flow_4798_0,320.0,358.0
flow_26_0,332.0,420.0
flow_2453_0,333.0,382.0
flow_4466_0,333.0,415.0
flow_4467_0,335.0,419.0
flow_641_0,335.0,381.0
flow_3089_0,335.0,437.0
flow_2454_0,335.0,386.0
flow_643_0,337.0,385.0
flow_3090_0,337.0,442.0
flow_27_0,341.0,444.0
flow_1827_0,347.0,437.0
flow_1829_0,349.0,441.0
flow_4802_0,352.0,426.0
flow_1213_0,354.0,443.0
flow_2456_0,354.0,408.0
flow_2745_0,355.0,461.0
flow_1217_0,356.0,461.0
flow_2747_0,357.0,466.0
flow_2457_0,357.0,391.0
flow_646_0,366.0,430.0
flow_647_0,373.0,449.0
flow_648_0,375.0,453.0
flow_2458_0,375.0,426.0
flow_3092_0,377.0,484.0
flow_2459_0,377.0,431.0
flow_649_0,378.0,455.0
flow_3093_0,379.0,488.0
flow_4804_0,380.0,472.0
flow_5148_0,380.0,464.0
flow_2460_0,398.0,449.0
flow_2462_0,400.0,453.0
flow_3095_0,401.0,528.0
flow_652_0,401.0,476.0
flow_2733_0,406.0,484.0
flow_2736_0,409.0,479.0
flow_2139_0,409.0,455.0
flow_4477_0,410.0,488.0
flow_40_0,410.0,506.0
flow_1833_0,412.0,506.0
flow_2463_0,420.0,473.0
flow_623_0,420.0,528.0
flow_2464_0,422.0,476.0
flow_5151_0,422.0,511.0
flow_661_0,422.0,456.0
flow_2141_0,423.0,510.0
flow_4814_0,425.0,495.0
flow_2143_0,439.0,495.0
flow_4111_0,441.0,511.0
flow_2465_0,442.0,499.0
flow_2466_0,444.0,517.0
flow_2467_0,447.0,521.0
flow_625_0,455.0,539.0
flow_2468_0,466.0,543.0
flow_3096_0,468.0,573.0
flow_4113_0,477.0,573.0
flow_4820_0,479.0,577.0
flow_2470_0,489.0,561.0
flow_4816_0,490.0,550.0
flow_2147_0,491.0,577.0
flow_2471_0,492.0,550.0
flow_1816_0,493.0,579.0
flow_4483_0,499.0,580.0
flow_3419_0,499.0,564.0
flow_4484_0,502.0,572.0
flow_665_0,503.0,555.0
flow_668_0,506.0,540.0
flow_2472_0,511.0,567.0
flow_4819_0,513.0,561.0
flow_3099_0,513.0,583.0
flow_2473_0,513.0,585.0
flow_62_0,520.0,609.0
flow_67_0,523.0,613.0
flow_669_0,525.0,565.0
flow_671_0,527.0,567.0
flow_52_0,530.0,585.0
flow_1805_0,533.0,588.0
flow_2137_0,538.0,609.0
flow_4478_0,541.0,829.0
flow_2102_0,544.0,615.0
flow_2475_0,545.0,591.0
flow_4486_0,546.0,616.0
flow_2476_0,547.0,594.0
flow_673_0,549.0,591.0
flow_4488_0,549.0,633.0
flow_674_0,551.0,594.0
flow_71_0,566.0,636.0
flow_2477_0,567.0,600.0
flow_4490_0,568.0,637.0
flow_2478_0,569.0,1087.0
flow_1849_0,571.0,641.0
flow_675_0,571.0,604.0
flow_676_0,573.0,621.0
flow_1254_0,581.0,662.0
flow_31_0,583.0,732.0
flow_77_0,589.0,659.0
flow_2479_0,590.0,623.0
flow_4492_0,591.0,665.0
flow_4493_0,593.0,683.0
flow_53_0,593.0,628.0
flow_2481_0,594.0,646.0
flow_679_0,594.0,627.0
flow_680_0,596.0,646.0
flow_681_0,599.0,651.0
flow_4122_0,618.0,917.0
flow_685_0,620.0,676.0
flow_686_0,623.0,678.0
flow_2482_0,627.0,671.0
flow_1264_0,628.0,707.0
flow_2483_0,629.0,676.0
flow_2484_0,632.0,695.0
flow_4497_0,640.0,710.0
flow_4498_0,642.0,737.0
flow_687_0,643.0,695.0
flow_691_0,645.0,699.0
flow_696_0,648.0,701.0
flow_2485_0,653.0,699.0
flow_70_0,654.0,689.0
flow_2486_0,655.0,701.0
flow_2487_0,658.0,719.0
flow_4500_0,664.0,757.0
flow_699_0,668.0,719.0
flow_5184_0,673.0,761.0
flow_2488_0,677.0,724.0
flow_2489_0,679.0,726.0
flow_3105_0,689.0,758.0
flow_662_0,689.0,779.0
flow_39_0,692.0,762.0
flow_702_0,692.0,725.0
flow_704_0,694.0,745.0
flow_2164_0,696.0,745.0
flow_4132_0,697.0,749.0
flow_2763_0,700.0,779.0
flow_2490_0,701.0,735.0
flow_102_0,708.0,783.0
flow_4503_0,712.0,783.0
flow_4838_0,715.0,879.0
flow_4507_0,717.0,786.0
flow_705_0,718.0,752.0
flow_710_0,720.0,768.0
flow_5187_0,722.0,803.0
flow_4108_0,722.0,768.0
flow_1853_0,724.0,772.0
flow_3107_0,724.0,803.0
flow_5190_0,724.0,795.0
flow_2492_0,726.0,773.0
flow_3108_0,728.0,807.0
flow_1861_0,736.0,825.0
flow_4840_0,737.0,791.0
flow_2768_0,737.0,824.0
flow_3764_0,745.0,828.0
flow_1260_0,748.0,830.0
flow_4508_0,749.0,831.0
flow_4509_0,751.0,847.0
flow_2494_0,751.0,785.0
flow_2495_0,754.0,791.0
flow_714_0,754.0,795.0
flow_4511_0,754.0,852.0
flow_716_0,756.0,797.0
flow_3109_0,762.0,847.0
flow_95_0,765.0,1055.0
flow_4843_0,767.0,817.0
flow_1866_0,770.0,869.0
flow_3771_0,772.0,814.0
flow_4512_0,773.0,873.0
flow_2171_0,773.0,852.0
flow_2496_0,774.0,817.0
flow_4514_0,775.0,889.0
flow_2497_0,776.0,836.0
flow_718_0,777.0,836.0
flow_719_0,779.0,840.0
flow_720_0,782.0,858.0
flow_113_0,783.0,869.0
flow_114_0,785.0,874.0
flow_4515_0,796.0,867.0
flow_3111_0,796.0,889.0
flow_3112_0,798.0,893.0
flow_4516_0,799.0,893.0
flow_721_0,800.0,883.0
flow_723_0,803.0,861.0
flow_2498_0,808.0,879.0
flow_1298_0,808.0,896.0
flow_2500_0,810.0,858.0
flow_1304_0,810.0,913.0
flow_4834_0,811.0,896.0
flow_4836_0,813.0,913.0
flow_1855_0,818.0,918.0
flow_2501_0,821.0,863.0
flow_1870_0,821.0,919.0
flow_724_0,822.0,1036.0
flow_728_0,824.0,1041.0
flow_4517_0,829.0,922.0
flow_3113_0,829.0,920.0
flow_3114_0,831.0,923.0
flow_4520_0,831.0,925.0
flow_4852_0,835.0,901.0
flow_4853_0,837.0,904.0
flow_5198_0,841.0,928.0
flow_4131_0,842.0,926.0
flow_729_0,844.0,879.0
flow_128_0,844.0,929.0
flow_4141_0,847.0,907.0
flow_3115_0,850.0,945.0
flow_4521_0,851.0,945.0
flow_4522_0,853.0,950.0
flow_2752_0,861.0,952.0
flow_1859_0,862.0,949.0
flow_2502_0,863.0,901.0
flow_1874_0,863.0,970.0
flow_2178_0,864.0,1188.0
flow_2503_0,865.0,905.0
flow_732_0,865.0,934.0
flow_4859_0,866.0,936.0
flow_733_0,868.0,902.0
flow_4523_0,872.0,975.0
flow_4524_0,874.0,977.0
flow_3116_0,883.0,970.0
flow_742_0,886.0,939.0
flow_3117_0,886.0,1318.0
flow_743_0,888.0,957.0
flow_4525_0,892.0,1304.0
flow_2504_0,894.0,934.0
flow_4527_0,895.0,965.0
flow_2505_0,896.0,938.0
flow_136_0,900.0,974.0
flow_2769_0,906.0,1001.0
flow_746_0,908.0,961.0
flow_3442_0,910.0,963.0
flow_3445_0,913.0,983.0
flow_3799_0,915.0,996.0
flow_2506_0,918.0,952.0
flow_2507_0,920.0,956.0
flow_731_0,922.0,1001.0
flow_141_0,924.0,1238.0
flow_4154_0,925.0,987.0
flow_4528_0,926.0,996.0
flow_3118_0,927.0,1023.0
flow_3119_0,929.0,1028.0
flow_4530_0,929.0,1003.0
flow_143_0,933.0,1030.0
flow_1317_0,935.0,1023.0
flow_2509_0,939.0,983.0
flow_2510_0,941.0,987.0
flow_5219_0,947.0,1028.0
flow_4864_0,950.0,989.0
flow_4155_0,952.0,1009.0
flow_755_0,954.0,1013.0
flow_4531_0,958.0,1087.0
flow_2771_0,959.0,1030.0
flow_4532_0,961.0,1049.0
flow_2511_0,962.0,1009.0
flow_4535_0,963.0,1053.0
flow_2512_0,966.0,1014.0
flow_1320_0,971.0,1074.0
flow_3121_0,971.0,1049.0
flow_3793_0,976.0,1010.0
flow_3123_0,977.0,1053.0
flow_127_0,979.0,1015.0
flow_145_0,980.0,1055.0
flow_757_0,988.0,1043.0
flow_758_0,990.0,1062.0
flow_2513_0,991.0,1062.0
flow_4536_0,996.0,1311.0
flow_3124_0,997.0,1074.0
flow_4537_0,999.0,1091.0
flow_4869_0,1000.0,1034.0
flow_4538_0,1001.0,1080.0
flow_3806_0,1006.0,1079.0
flow_4872_0,1020.0,1066.0
flow_3126_0,1023.0,1112.0
flow_3127_0,1025.0,1116.0
flow_1872_0,1028.0,1066.0
flow_763_0,1028.0,1068.0
flow_5209_0,1030.0,1068.0
flow_764_0,1030.0,1099.0
flow_1883_0,1032.0,1099.0
flow_4540_0,1036.0,1112.0
flow_4542_0,1038.0,1116.0
flow_5228_0,1042.0,1118.0
flow_2790_0,1051.0,1120.0
flow_753_0,1053.0,1137.0
flow_765_0,1054.0,1103.0
flow_767_0,1056.0,1105.0
flow_768_0,1059.0,1125.0
flow_3131_0,1064.0,1141.0
flow_2516_0,1066.0,1102.0
flow_3132_0,1066.0,1158.0
flow_3133_0,1069.0,1163.0
flow_2793_0,1078.0,1125.0
flow_159_0,1079.0,1129.0
flow_2794_0,1080.0,1128.0
flow_3809_0,1082.0,1116.0
flow_4544_0,1087.0,1268.0
flow_3135_0,1088.0,1178.0
flow_4168_0,1092.0,1131.0
flow_769_0,1094.0,1147.0
flow_3136_0,1094.0,1164.0
flow_770_0,1096.0,1131.0
flow_2797_0,1108.0,1147.0
flow_4171_0,1112.0,1181.0
flow_3137_0,1113.0,1183.0
flow_4879_0,1114.0,1184.0
flow_1345_0,1116.0,1151.0
flow_1347_0,1116.0,1199.0
flow_2517_0,1117.0,1246.0
flow_4169_0,1118.0,1168.0
flow_2518_0,1120.0,1154.0
flow_772_0,1121.0,1172.0
flow_2799_0,1126.0,1199.0
flow_2802_0,1128.0,1203.0
flow_2196_0,1130.0,1222.0
flow_176_0,1133.0,1226.0
flow_4547_0,1137.0,1222.0
flow_4548_0,1139.0,1227.0
flow_4880_0,1140.0,1174.0
flow_775_0,1140.0,1192.0
flow_2519_0,1141.0,1188.0
flow_777_0,1142.0,1210.0
flow_3141_0,1149.0,1229.0
flow_781_0,1162.0,1196.0
flow_784_0,1165.0,1213.0
flow_2520_0,1166.0,1210.0
flow_4550_0,1178.0,1272.0
flow_787_0,1183.0,1217.0
flow_4821_0,1185.0,1234.0
flow_185_0,1189.0,1279.0
flow_4186_0,1193.0,1240.0
flow_4551_0,1199.0,1279.0
flow_5227_0,1200.0,1284.0
flow_2521_0,1203.0,1236.0
flow_187_0,1209.0,1301.0
flow_4884_0,1212.0,1246.0
flow_3149_0,1212.0,1304.0
flow_789_0,1214.0,1257.0
flow_790_0,1216.0,1262.0
flow_3821_0,1220.0,1334.0
flow_4552_0,1220.0,1301.0
flow_4553_0,1224.0,1294.0
flow_2522_0,1225.0,1258.0
flow_2809_0,1235.0,1269.0
flow_792_0,1237.0,1290.0
flow_793_0,1240.0,1274.0
flow_1363_0,1242.0,1294.0
flow_794_0,1245.0,1311.0
flow_797_0,1247.0,1316.0
flow_1889_0,1249.0,1290.0
flow_727_0,1251.0,1295.0
flow_4190_0,1252.0,1321.0
flow_4887_0,1255.0,1324.0
flow_2815_0,1256.0,1338.0
flow_3153_0,1267.0,1357.0
flow_4555_0,1268.0,1337.0
flow_3155_0,1269.0,1362.0
flow_2523_0,1271.0,1316.0
flow_2524_0,1273.0,1318.0
flow_192_0,1274.0,1327.0
flow_4194_0,1279.0,1368.0
flow_798_0,1282.0,1316.0
flow_4543_0,1285.0,1346.0
flow_4890_0,1288.0,1349.0
flow_3156_0,1289.0,1379.0
flow_4891_0,1290.0,1324.0
flow_2526_0,1294.0,1327.0
flow_3831_0,1296.0,1384.0
flow_2527_0,1296.0,1345.0
flow_1896_0,1296.0,1379.0
flow_802_0,1306.0,1351.0
flow_204_0,1309.0,1386.0
flow_805_0,1309.0,1343.0
flow_3159_0,1312.0,1565.0
flow_4558_0,1313.0,1383.0
flow_3160_0,1315.0,1404.0
flow_2528_0,1317.0,1350.0
flow_2529_0,1320.0,1354.0
flow_4178_0,1329.0,1409.0
flow_1901_0,1333.0,1404.0
flow_3161_0,1334.0,1427.0
flow_3162_0,1336.0,1431.0
flow_4893_0,1336.0,1391.0
flow_5240_0,1339.0,1391.0
flow_1370_0,1340.0,1396.0
flow_5242_0,1341.0,1395.0
flow_811_0,1342.0,1398.0
flow_1373_0,1345.0,1415.0
flow_1375_0,1346.0,1427.0
flow_1377_0,1348.0,1431.0
flow_4897_0,1350.0,1435.0
flow_2530_0,1350.0,1397.0
flow_2531_0,1352.0,1415.0
flow_208_0,1352.0,1434.0
flow_3163_0,1356.0,1453.0
flow_3164_0,1359.0,1569.0
flow_812_0,1364.0,1419.0
flow_813_0,1366.0,1422.0
flow_4888_0,1367.0,1458.0
flow_163_0,1367.0,1453.0
flow_4563_0,1370.0,1457.0
flow_4564_0,1372.0,1460.0
flow_2532_0,1373.0,1520.0
flow_4565_0,1375.0,1480.0
flow_2533_0,1376.0,1420.0
flow_814_0,1387.0,1440.0
flow_2208_0,1388.0,1440.0
flow_817_0,1389.0,1444.0
