,enter_time,leave_time
flow_5367_0,1.0,75.0
flow_5368_0,10.0,96.0
flow_5369_0,19.0,484.0
flow_5370_0,28.0,102.0
flow_5371_0,37.0,128.0
flow_5372_0,46.0,132.0
flow_5373_0,55.0,135.0
flow_5374_0,64.0,145.0
flow_1986_0,71.0,112.0
flow_5375_0,73.0,149.0
flow_1988_0,74.0,108.0
flow_5376_0,82.0,156.0
flow_5846_0,84.0,117.0
flow_5377_0,91.0,212.0
flow_5847_0,92.0,179.0
flow_5378_0,100.0,216.0
flow_4446_0,101.0,179.0
flow_5379_0,109.0,183.0
flow_666_0,117.0,162.0
flow_2511_0,118.0,188.0
flow_1991_0,118.0,162.0
flow_5380_0,118.0,653.0
flow_669_0,120.0,183.0
flow_1992_0,120.0,167.0
flow_670_0,122.0,167.0
flow_4915_0,125.0,169.0
flow_5381_0,127.0,202.0
flow_5852_0,132.0,166.0
flow_5382_0,136.0,210.0
flow_5383_0,145.0,221.0
flow_5854_0,148.0,196.0
flow_5384_0,154.0,242.0
flow_5855_0,156.0,191.0
flow_5385_0,163.0,246.0
flow_1993_0,168.0,202.0
flow_675_0,168.0,202.0
flow_676_0,171.0,204.0
flow_5386_0,172.0,246.0
flow_677_0,174.0,207.0
flow_4920_0,176.0,210.0
flow_5387_0,181.0,329.0
flow_4047_0,185.0,270.0
flow_5388_0,190.0,334.0
flow_5389_0,199.0,272.0
flow_4452_0,202.0,236.0
flow_680_0,205.0,256.0
flow_5390_0,208.0,282.0
flow_684_0,210.0,244.0
flow_5391_0,217.0,314.0
flow_1999_0,218.0,256.0
flow_2001_0,220.0,261.0
flow_5392_0,226.0,318.0
flow_2255_0,229.0,263.0
flow_3639_0,232.0,314.0
flow_3_0,232.0,265.0
flow_2256_0,232.0,284.0
flow_5393_0,235.0,309.0
flow_4049_0,235.0,329.0
flow_4051_0,237.0,317.0
flow_18_0,242.0,320.0
flow_5394_0,244.0,318.0
flow_686_0,247.0,299.0
flow_4929_0,250.0,285.0
flow_4931_0,252.0,287.0
flow_5395_0,253.0,327.0
flow_5867_0,256.0,291.0
flow_2003_0,261.0,294.0
flow_5396_0,262.0,336.0
flow_2005_0,263.0,343.0
flow_5397_0,271.0,357.0
flow_24_0,271.0,357.0
flow_4052_0,275.0,345.0
flow_4054_0,277.0,355.0
flow_4055_0,279.0,361.0
flow_5398_0,280.0,361.0
flow_4057_0,282.0,363.0
flow_5399_0,289.0,388.0
flow_2006_0,289.0,323.0
flow_2007_0,291.0,326.0
flow_5400_0,298.0,392.0
flow_5873_0,300.0,334.0
flow_5401_0,301.0,404.0
flow_34_0,302.0,404.0
flow_4470_0,304.0,347.0
flow_4058_0,304.0,408.0
flow_4471_0,306.0,350.0
flow_1320_0,307.0,377.0
flow_5402_0,308.0,394.0
flow_2788_0,310.0,382.0
flow_2258_0,310.0,420.0
flow_3643_0,311.0,345.0
flow_4059_0,312.0,385.0
flow_5403_0,315.0,918.0
flow_5875_0,316.0,420.0
flow_2523_0,319.0,389.0
flow_8_0,320.0,354.0
flow_5404_0,322.0,411.0
flow_4936_0,323.0,372.0
flow_5876_0,324.0,358.0
flow_697_0,325.0,376.0
flow_4938_0,328.0,379.0
flow_5405_0,329.0,414.0
flow_5849_0,331.0,366.0
flow_2010_0,334.0,372.0
flow_4061_0,334.0,410.0
flow_5406_0,336.0,410.0
flow_2011_0,337.0,424.0
flow_4062_0,337.0,407.0
flow_3650_0,339.0,413.0
flow_2012_0,339.0,377.0
flow_5878_0,340.0,381.0
flow_38_0,343.0,414.0
flow_5407_0,343.0,453.0
flow_4475_0,348.0,382.0
flow_5408_0,350.0,458.0
flow_5409_0,357.0,460.0
flow_1329_0,362.0,432.0
flow_5410_0,364.0,463.0
flow_4065_0,365.0,486.0
flow_4067_0,367.0,454.0
flow_5411_0,371.0,465.0
flow_5882_0,372.0,425.0
flow_2014_0,376.0,437.0
flow_2015_0,378.0,442.0
flow_5412_0,378.0,534.0
flow_2017_0,381.0,444.0
flow_5413_0,385.0,538.0
flow_5414_0,392.0,486.0
flow_1335_0,393.0,463.0
flow_4941_0,394.0,437.0
flow_704_0,396.0,441.0
flow_4068_0,396.0,465.0
flow_4946_0,398.0,503.0
flow_5415_0,399.0,473.0
flow_5886_0,400.0,444.0
