,enter_time,leave_time
flow_2344_0,1.0,75.0
flow_2345_0,12.0,86.0
flow_2346_0,23.0,110.0
flow_2347_0,34.0,115.0
flow_2348_0,45.0,593.0
flow_2349_0,56.0,130.0
flow_1823_0,61.0,95.0
flow_2350_0,67.0,155.0
flow_2942_0,76.0,125.0
flow_2351_0,78.0,185.0
flow_2943_0,86.0,120.0
flow_2352_0,89.0,162.0
flow_1825_0,90.0,130.0
flow_1826_0,93.0,127.0
flow_1827_0,95.0,130.0
flow_1345_0,96.0,166.0
flow_2944_0,98.0,132.0
flow_2353_0,100.0,189.0
flow_2647_0,106.0,170.0
flow_2945_0,106.0,170.0
flow_2354_0,111.0,185.0
flow_2946_0,116.0,175.0
flow_2355_0,122.0,293.0
flow_2356_0,133.0,207.0
flow_1830_0,136.0,177.0
flow_2_0,137.0,175.0
flow_3_0,139.0,177.0
flow_2357_0,144.0,246.0
flow_8_0,144.0,200.0
flow_2949_0,146.0,180.0
flow_2358_0,155.0,229.0
flow_2950_0,156.0,200.0
flow_2951_0,166.0,205.0
flow_2359_0,166.0,298.0
flow_2064_0,167.0,205.0
flow_2066_0,170.0,216.0
flow_2360_0,177.0,251.0
flow_1833_0,181.0,231.0
flow_1836_0,183.0,235.0
flow_2953_0,186.0,237.0
flow_2361_0,188.0,262.0
flow_3240_0,194.0,338.0
flow_2954_0,196.0,262.0
flow_3242_0,196.0,343.0
flow_2362_0,199.0,300.0
flow_1355_0,203.0,266.0
flow_2955_0,206.0,240.0
flow_2363_0,210.0,303.0
flow_13_0,213.0,278.0
flow_1358_0,216.0,293.0
flow_17_0,218.0,262.0
flow_2364_0,221.0,295.0
flow_455_0,224.0,283.0
flow_2658_0,228.0,262.0
flow_2659_0,231.0,285.0
flow_2365_0,232.0,353.0
flow_2958_0,236.0,278.0
flow_1357_0,242.0,282.0
flow_2366_0,243.0,317.0
flow_1586_0,244.0,284.0
flow_3534_0,254.0,323.0
flow_2367_0,254.0,357.0
flow_1595_0,255.0,325.0
flow_2960_0,256.0,308.0
flow_1350_0,257.0,291.0
flow_3244_0,258.0,345.0
flow_2661_0,259.0,308.0
flow_3246_0,260.0,354.0
flow_3249_0,263.0,385.0
flow_2663_0,264.0,327.0
flow_2368_0,265.0,359.0
flow_2961_0,266.0,312.0
flow_2071_0,275.0,329.0
flow_2369_0,276.0,362.0
flow_2962_0,276.0,310.0
flow_26_0,277.0,311.0
flow_27_0,280.0,314.0
flow_2963_0,286.0,368.0
flow_2370_0,287.0,402.0
flow_1596_0,289.0,373.0
flow_2371_0,298.0,406.0
flow_2372_0,301.0,375.0
flow_3538_0,303.0,368.0
flow_2665_0,305.0,372.0
flow_2965_0,306.0,375.0
flow_2666_0,307.0,374.0
flow_1369_0,311.0,402.0
flow_2373_0,312.0,408.0
flow_3253_0,316.0,406.0
flow_1848_0,318.0,352.0
flow_3254_0,318.0,408.0
flow_3256_0,321.0,411.0
flow_2374_0,323.0,411.0
flow_2967_0,326.0,378.0
flow_3540_0,330.0,377.0
flow_3541_0,333.0,379.0
flow_2375_0,334.0,408.0
flow_3814_0,336.0,419.0
flow_40_0,340.0,374.0
flow_42_0,343.0,423.0
flow_2376_0,345.0,962.0
flow_2969_0,346.0,451.0
flow_3547_0,346.0,416.0
flow_909_0,349.0,435.0
flow_2377_0,356.0,435.0
flow_2970_0,356.0,419.0
flow_1852_0,363.0,397.0
flow_44_0,365.0,427.0
flow_2971_0,366.0,424.0
flow_1592_0,367.0,429.0
flow_2378_0,367.0,440.0
flow_3247_0,371.0,451.0
flow_1362_0,378.0,467.0
flow_2379_0,378.0,452.0
flow_2973_0,386.0,420.0
flow_2380_0,389.0,463.0
flow_3259_0,393.0,463.0
flow_3261_0,396.0,497.0
flow_2674_0,397.0,431.0
flow_3263_0,398.0,482.0
flow_2675_0,399.0,434.0
flow_2381_0,400.0,474.0
flow_1609_0,401.0,501.0
flow_3548_0,408.0,455.0
flow_4101_0,411.0,467.0
flow_3550_0,411.0,472.0
flow_2382_0,411.0,497.0
flow_3552_0,413.0,448.0
flow_4105_0,413.0,472.0
flow_53_0,414.0,474.0
flow_452_0,417.0,451.0
flow_1367_0,417.0,477.0
flow_54_0,419.0,457.0
flow_2383_0,422.0,496.0
flow_2977_0,426.0,474.0
flow_1612_0,427.0,529.0
flow_4108_0,430.0,503.0
flow_4113_0,432.0,506.0
flow_2384_0,433.0,528.0
flow_3266_0,435.0,508.0
flow_2978_0,436.0,477.0
flow_3555_0,438.0,674.0
flow_1382_0,438.0,544.0
flow_2385_0,444.0,1134.0
flow_3558_0,446.0,513.0
flow_2386_0,455.0,529.0
flow_3267_0,459.0,548.0
flow_1857_0,460.0,513.0
flow_3270_0,461.0,550.0
flow_1861_0,463.0,497.0
flow_1614_0,464.0,553.0
flow_1864_0,465.0,518.0
flow_923_0,466.0,590.0
flow_2387_0,466.0,575.0
flow_2682_0,466.0,500.0
flow_1865_0,468.0,520.0
flow_2388_0,477.0,580.0
flow_57_0,477.0,678.0
flow_1591_0,480.0,518.0
flow_62_0,482.0,516.0
flow_3257_0,483.0,559.0
flow_2983_0,486.0,520.0
flow_2389_0,488.0,582.0
flow_1375_0,489.0,523.0
flow_3554_0,490.0,596.0
flow_2683_0,492.0,559.0
flow_2390_0,499.0,585.0
flow_1871_0,505.0,564.0
flow_3275_0,505.0,598.0
flow_1872_0,508.0,542.0
flow_3277_0,508.0,578.0
flow_2391_0,510.0,590.0
flow_3280_0,511.0,581.0
flow_2986_0,516.0,566.0
flow_2392_0,521.0,594.0
flow_504_0,522.0,556.0
flow_67_0,524.0,559.0
flow_68_0,528.0,563.0
flow_2393_0,532.0,718.0
flow_3281_0,536.0,618.0
flow_2956_0,538.0,621.0
flow_3282_0,541.0,624.0
flow_3283_0,543.0,627.0
flow_2394_0,543.0,618.0
flow_4106_0,553.0,604.0
flow_2976_0,554.0,718.0
flow_2395_0,554.0,628.0
flow_3269_0,556.0,609.0
flow_2990_0,556.0,604.0
flow_2396_0,565.0,646.0
flow_2991_0,566.0,609.0
flow_472_0,568.0,638.0
flow_70_0,569.0,858.0
flow_4115_0,570.0,611.0
flow_3285_0,571.0,646.0
flow_4119_0,572.0,633.0
flow_71_0,572.0,606.0
flow_72_0,574.0,632.0
flow_1397_0,575.0,637.0
flow_2397_0,576.0,650.0
flow_937_0,577.0,636.0
flow_1881_0,583.0,639.0
flow_2691_0,585.0,619.0
flow_1882_0,585.0,660.0
flow_2398_0,587.0,688.0
flow_2692_0,588.0,638.0
flow_2993_0,588.0,664.0
flow_2693_0,590.0,625.0
flow_2994_0,596.0,666.0
flow_2399_0,598.0,672.0
flow_3837_0,599.0,688.0
flow_459_0,600.0,641.0
flow_3835_0,601.0,692.0
flow_2400_0,601.0,693.0
flow_76_0,602.0,660.0
flow_77_0,604.0,639.0
flow_1403_0,604.0,694.0
flow_2995_0,606.0,640.0
flow_2401_0,610.0,684.0
flow_3273_0,611.0,645.0
flow_1851_0,613.0,697.0
flow_1637_0,615.0,733.0
flow_2996_0,616.0,703.0
flow_939_0,618.0,737.0
flow_2402_0,619.0,695.0
flow_1884_0,625.0,674.0
flow_1885_0,627.0,678.0
flow_2403_0,628.0,723.0
flow_1886_0,630.0,680.0
flow_1887_0,632.0,779.0
flow_1410_0,633.0,739.0
flow_2998_0,636.0,707.0
flow_2404_0,637.0,711.0
flow_944_0,641.0,723.0
flow_2085_0,642.0,680.0
flow_3287_0,644.0,742.0
flow_81_0,645.0,703.0
flow_2405_0,646.0,733.0
flow_3291_0,646.0,725.0
flow_82_0,647.0,706.0
flow_3841_0,650.0,709.0
flow_2406_0,655.0,843.0
flow_2697_0,657.0,712.0
flow_2698_0,659.0,748.0
flow_2699_0,662.0,752.0
flow_1413_0,663.0,763.0
flow_2407_0,664.0,737.0
flow_3578_0,665.0,754.0
flow_2957_0,668.0,779.0
flow_1638_0,670.0,767.0
flow_3294_0,672.0,769.0
flow_2408_0,673.0,763.0
flow_3295_0,675.0,772.0
flow_3002_0,676.0,710.0
flow_2409_0,682.0,848.0
flow_2111_0,685.0,719.0
flow_2410_0,691.0,767.0
flow_531_0,693.0,757.0
flow_2411_0,700.0,774.0
flow_2412_0,709.0,812.0
flow_3582_0,715.0,795.0
flow_94_0,715.0,783.0
flow_3007_0,716.0,749.0
flow_2413_0,718.0,792.0
flow_1419_0,723.0,793.0
flow_2414_0,727.0,817.0
flow_4134_0,728.0,795.0
flow_3299_0,730.0,812.0
flow_3009_0,732.0,800.0
flow_3300_0,732.0,816.0
flow_1648_0,735.0,818.0
flow_2415_0,736.0,819.0
flow_1649_0,737.0,821.0
flow_2416_0,745.0,822.0
flow_1421_0,747.0,823.0
flow_3011_0,748.0,802.0
flow_2711_0,750.0,799.0
flow_2417_0,754.0,858.0
flow_3012_0,756.0,886.0
flow_1645_0,759.0,805.0
flow_4138_0,760.0,843.0
flow_3574_0,761.0,828.0
flow_3303_0,762.0,848.0
flow_2418_0,763.0,850.0
