,enter_time,leave_time
flow_1345_0,41.0,75.0
flow_1346_0,50.0,83.0
flow_1347_0,59.0,92.0
flow_1348_0,68.0,101.0
flow_449_0,77.0,110.0
flow_1350_0,86.0,352.0
flow_453_0,101.0,134.0
flow_1352_0,104.0,137.0
flow_454_0,107.0,140.0
flow_3240_0,113.0,192.0
flow_3242_0,115.0,196.0
flow_2346_0,120.0,269.0
flow_1353_0,123.0,156.0
flow_2347_0,123.0,193.0
flow_1354_0,125.0,159.0
flow_3244_0,138.0,218.0
flow_3246_0,141.0,223.0
flow_458_0,148.0,181.0
flow_459_0,151.0,185.0
flow_461_0,153.0,187.0
flow_2350_0,158.0,244.0
flow_0_0,161.0,205.0
flow_1595_0,168.0,244.0
flow_1358_0,175.0,209.0
flow_1360_0,177.0,211.0
flow_3249_0,177.0,248.0
flow_3251_0,181.0,269.0
flow_2352_0,183.0,252.0
flow_464_0,187.0,231.0
flow_467_0,189.0,236.0
flow_468_0,192.0,238.0
flow_1361_0,201.0,234.0
flow_1362_0,203.0,237.0
flow_1363_0,206.0,257.0
flow_902_0,212.0,257.0
flow_3253_0,216.0,296.0
flow_3254_0,218.0,300.0
flow_3256_0,221.0,302.0
flow_2355_0,222.0,292.0
flow_1364_0,227.0,261.0
flow_1365_0,229.0,264.0
flow_470_0,238.0,282.0
flow_472_0,240.0,509.0
flow_10_0,242.0,276.0
flow_3547_0,242.0,325.0
flow_909_0,244.0,329.0
flow_2954_0,248.0,325.0
flow_1367_0,253.0,286.0
flow_1369_0,257.0,291.0
flow_7_0,264.0,311.0
flow_2658_0,264.0,333.0
flow_2359_0,274.0,357.0
flow_2362_0,276.0,359.0
flow_478_0,276.0,316.0
flow_479_0,278.0,318.0
flow_480_0,281.0,339.0
flow_1371_0,292.0,339.0
flow_1372_0,294.0,344.0
flow_3259_0,295.0,378.0
flow_3261_0,297.0,383.0
flow_1373_0,297.0,346.0
flow_26_0,300.0,378.0
flow_3263_0,300.0,385.0
flow_27_0,303.0,383.0
flow_1609_0,303.0,405.0
flow_2351_0,303.0,365.0
flow_3265_0,305.0,376.0
flow_3551_0,312.0,346.0
flow_2363_0,316.0,386.0
flow_484_0,318.0,352.0
flow_2365_0,318.0,405.0
flow_485_0,321.0,365.0
flow_1375_0,321.0,601.0
flow_1612_0,322.0,409.0
flow_1376_0,323.0,372.0
flow_3266_0,324.0,429.0
flow_487_0,324.0,369.0
flow_3267_0,326.0,433.0
flow_1614_0,329.0,435.0
flow_1355_0,330.0,410.0
flow_4096_0,335.0,393.0
flow_3554_0,336.0,562.0
flow_4106_0,337.0,397.0
flow_489_0,346.0,392.0
flow_2348_0,349.0,455.0
flow_923_0,352.0,459.0
flow_2367_0,357.0,429.0
flow_2368_0,359.0,434.0
flow_2369_0,362.0,455.0
flow_1377_0,362.0,399.0
flow_1378_0,364.0,418.0
flow_4108_0,365.0,461.0
flow_1379_0,367.0,421.0
flow_4113_0,367.0,480.0
flow_3559_0,368.0,417.0
flow_3270_0,378.0,484.0
flow_3275_0,380.0,486.0
flow_2370_0,383.0,460.0
flow_490_0,385.0,419.0
flow_2371_0,385.0,462.0
flow_2373_0,388.0,480.0
flow_494_0,388.0,421.0
flow_1380_0,389.0,442.0
flow_3560_0,390.0,424.0
flow_495_0,390.0,424.0
flow_1381_0,391.0,446.0
flow_1382_0,393.0,428.0
flow_3561_0,394.0,442.0
flow_1383_0,396.0,449.0
flow_40_0,397.0,484.0
flow_1384_0,399.0,468.0
flow_1385_0,401.0,472.0
flow_1386_0,404.0,474.0
flow_3824_0,411.0,446.0
flow_496_0,413.0,449.0
flow_497_0,416.0,468.0
flow_3277_0,418.0,503.0
flow_3280_0,421.0,507.0
flow_2374_0,421.0,491.0
flow_452_0,427.0,503.0
flow_1388_0,427.0,492.0
flow_1390_0,429.0,495.0
flow_3830_0,436.0,472.0
flow_2674_0,437.0,507.0
flow_500_0,438.0,474.0
flow_2675_0,439.0,528.0
flow_506_0,441.0,492.0
flow_507_0,443.0,497.0
flow_3281_0,445.0,527.0
flow_3552_0,446.0,532.0
flow_3282_0,447.0,531.0
flow_2969_0,449.0,551.0
flow_2956_0,456.0,533.0
flow_3567_0,461.0,515.0
flow_938_0,470.0,540.0
flow_2377_0,473.0,555.0
flow_939_0,473.0,551.0
flow_2378_0,475.0,583.0
flow_1391_0,478.0,515.0
flow_1393_0,480.0,520.0
flow_2665_0,484.0,539.0
flow_510_0,498.0,807.0
flow_514_0,500.0,544.0
flow_1394_0,501.0,543.0
flow_3835_0,502.0,566.0
flow_1395_0,503.0,545.0
flow_3283_0,504.0,583.0
flow_3285_0,506.0,587.0
flow_2976_0,507.0,541.0
flow_1624_0,512.0,562.0
flow_2682_0,514.0,587.0
flow_4120_0,514.0,566.0
flow_944_0,515.0,601.0
flow_2382_0,520.0,618.0
flow_518_0,522.0,573.0
flow_2385_0,522.0,637.0
flow_1396_0,524.0,573.0
flow_1398_0,526.0,578.0
flow_1399_0,529.0,592.0
flow_1635_0,530.0,601.0
flow_2963_0,533.0,578.0
flow_2372_0,535.0,592.0
flow_62_0,536.0,641.0
flow_504_0,539.0,656.0
flow_3577_0,539.0,596.0
flow_52_0,545.0,609.0
flow_1851_0,547.0,618.0
flow_1400_0,548.0,595.0
flow_1402_0,551.0,1024.0
flow_1637_0,553.0,637.0
flow_1638_0,556.0,641.0
flow_3580_0,561.0,627.0
flow_3287_0,562.0,656.0
flow_3291_0,564.0,672.0
flow_519_0,569.0,631.0
flow_1403_0,571.0,605.0
flow_67_0,571.0,672.0
flow_521_0,572.0,647.0
flow_1404_0,574.0,609.0
flow_53_0,577.0,612.0
flow_2376_0,579.0,664.0
flow_31_0,584.0,957.0
flow_2391_0,587.0,957.0
flow_1406_0,591.0,627.0
flow_1591_0,593.0,632.0
flow_3294_0,593.0,689.0
flow_3581_0,594.0,680.0
flow_522_0,597.0,684.0
flow_1407_0,607.0,647.0
flow_2691_0,607.0,689.0
flow_3295_0,609.0,692.0
flow_526_0,613.0,1183.0
flow_957_0,615.0,716.0
flow_71_0,620.0,707.0
flow_2392_0,622.0,725.0
flow_1410_0,623.0,657.0
flow_39_0,636.0,706.0
flow_1647_0,639.0,709.0
flow_2394_0,640.0,741.0
flow_529_0,640.0,674.0
flow_2396_0,642.0,745.0
flow_1412_0,642.0,680.0
flow_1648_0,643.0,725.0
flow_1413_0,645.0,679.0
flow_1649_0,645.0,741.0
flow_3289_0,647.0,720.0
flow_3299_0,649.0,745.0
flow_2686_0,650.0,733.0
flow_3300_0,652.0,761.0
flow_4138_0,657.0,782.0
flow_1415_0,669.0,702.0
flow_534_0,669.0,751.0
flow_1884_0,669.0,761.0
flow_3303_0,674.0,786.0
flow_2398_0,677.0,766.0
flow_77_0,678.0,748.0
flow_1417_0,685.0,718.0
flow_3588_0,685.0,1003.0
flow_1418_0,687.0,733.0
flow_3589_0,690.0,760.0
flow_3837_0,694.0,1024.0
flow_2400_0,694.0,764.0
flow_535_0,694.0,771.0
flow_2402_0,696.0,767.0
flow_536_0,697.0,775.0
flow_2693_0,706.0,782.0
flow_1656_0,711.0,781.0
flow_1419_0,712.0,746.0
flow_537_0,712.0,791.0
flow_1885_0,712.0,807.0
flow_968_0,714.0,794.0
flow_3591_0,717.0,797.0
flow_3306_0,717.0,822.0
flow_70_0,718.0,752.0
flow_2405_0,722.0,822.0
flow_540_0,729.0,800.0
flow_4144_0,731.0,836.0
flow_1421_0,737.0,771.0
flow_1658_0,738.0,860.0
flow_3308_0,743.0,877.0
flow_544_0,745.0,802.0
flow_545_0,747.0,815.0
flow_2407_0,754.0,836.0
flow_1422_0,755.0,791.0
flow_2408_0,756.0,860.0
flow_3594_0,757.0,829.0
flow_1424_0,757.0,794.0
flow_3309_0,761.0,894.0
flow_546_0,764.0,843.0
flow_548_0,766.0,847.0
flow_2410_0,774.0,961.0
flow_1426_0,775.0,815.0
flow_3003_0,780.0,829.0
flow_549_0,784.0,849.0
flow_3856_0,786.0,852.0
flow_2975_0,789.0,854.0
flow_4148_0,791.0,910.0
flow_2111_0,792.0,877.0
flow_4149_0,793.0,864.0
flow_2412_0,795.0,894.0
flow_1427_0,796.0,830.0
flow_3600_0,802.0,928.0
flow_2106_0,803.0,869.0
flow_3844_0,804.0,843.0
flow_2113_0,805.0,885.0
flow_553_0,808.0,888.0
flow_554_0,810.0,902.0
flow_1886_0,812.0,1003.0
flow_3313_0,818.0,932.0
flow_1429_0,819.0,852.0
flow_2414_0,826.0,896.0
flow_2999_0,827.0,966.0
flow_2415_0,829.0,910.0
flow_2416_0,831.0,928.0
flow_3314_0,832.0,902.0
flow_556_0,833.0,918.0
flow_1430_0,833.0,869.0
flow_2417_0,834.0,932.0
flow_3601_0,840.0,938.0
flow_557_0,848.0,943.0
flow_1431_0,849.0,885.0
flow_1432_0,851.0,902.0
flow_95_0,864.0,1201.0
flow_2710_0,866.0,949.0
flow_2420_0,866.0,966.0
flow_1433_0,866.0,918.0
flow_1901_0,868.0,921.0
flow_3317_0,872.0,994.0
flow_3582_0,874.0,938.0
flow_558_0,881.0,975.0
flow_1887_0,882.0,970.0
flow_102_0,886.0,994.0
flow_1434_0,891.0,943.0
flow_1435_0,893.0,946.0
flow_2698_0,896.0,949.0
flow_560_0,897.0,979.0
flow_3319_0,898.0,997.0
flow_2422_0,914.0,1010.0
flow_1436_0,915.0,951.0
flow_113_0,918.0,1014.0
flow_3004_0,919.0,1159.0
flow_561_0,921.0,981.0
flow_985_0,923.0,984.0
flow_114_0,929.0,1018.0
flow_1437_0,932.0,975.0
flow_2425_0,932.0,1032.0
flow_4159_0,934.0,1010.0
flow_2426_0,934.0,1046.0
flow_1438_0,935.0,980.0
flow_565_0,940.0,986.0
flow_3322_0,942.0,1015.0
flow_3012_0,942.0,1012.0
flow_566_0,942.0,989.0
flow_3323_0,944.0,1453.0
flow_3016_0,945.0,1060.0
flow_2427_0,952.0,1064.0
flow_1439_0,952.0,985.0
flow_2428_0,954.0,1068.0
flow_3025_0,964.0,999.0
flow_1440_0,970.0,1005.0
flow_1441_0,973.0,1039.0
flow_567_0,977.0,1011.0
flow_2429_0,978.0,1070.0
flow_2431_0,980.0,1467.0
flow_2094_0,980.0,1050.0
flow_2727_0,983.0,1094.0
flow_2732_0,986.0,1096.0
flow_4137_0,988.0,1114.0
flow_3326_0,989.0,1060.0
flow_3327_0,991.0,1063.0
flow_3014_0,995.0,1066.0
flow_3613_0,996.0,1192.0
flow_570_0,996.0,1039.0
flow_1659_0,996.0,1128.0
flow_1664_0,996.0,1053.0
flow_1674_0,998.0,1077.0
flow_571_0,999.0,1053.0
flow_2432_0,1012.0,1392.0
flow_572_0,1012.0,1077.0
flow_128_0,1018.0,1166.0
flow_1443_0,1019.0,1192.0
flow_2433_0,1026.0,1096.0
flow_3614_0,1026.0,1060.0
flow_3328_0,1028.0,1114.0
flow_3615_0,1030.0,1081.0
flow_574_0,1032.0,1083.0
flow_575_0,1034.0,1101.0
flow_577_0,1037.0,1105.0
flow_578_0,1039.0,1109.0
flow_2434_0,1042.0,1112.0
flow_1902_0,1049.0,1129.0
flow_1445_0,1050.0,1083.0
flow_1680_0,1053.0,1151.0
flow_3331_0,1057.0,1506.0
flow_579_0,1061.0,1121.0
flow_580_0,1063.0,1135.0
flow_3040_0,1064.0,1418.0
flow_582_0,1066.0,1139.0
flow_1446_0,1067.0,1102.0
flow_1447_0,1069.0,1104.0
flow_3332_0,1071.0,1166.0
flow_3609_0,1076.0,1159.0
flow_2435_0,1076.0,1201.0
flow_2436_0,1079.0,1453.0
flow_2742_0,1080.0,1206.0
flow_584_0,1085.0,1141.0
flow_1683_0,1086.0,1183.0
flow_585_0,1087.0,1144.0
flow_1448_0,1088.0,1122.0
flow_586_0,1089.0,1418.0
flow_3334_0,1089.0,1159.0
flow_3619_0,1090.0,1175.0
flow_1013_0,1095.0,1178.0
flow_992_0,1096.0,1208.0
flow_3029_0,1100.0,1170.0
flow_136_0,1103.0,1211.0
flow_587_0,1103.0,1218.0
flow_2437_0,1106.0,1213.0
flow_2441_0,1108.0,1234.0
flow_3043_0,1108.0,1142.0
flow_2443_0,1110.0,1182.0
flow_1449_0,1113.0,1146.0
flow_1021_0,1113.0,1205.0
flow_3866_0,1113.0,1238.0
flow_588_0,1116.0,1150.0
flow_141_0,1121.0,1494.0
flow_143_0,1124.0,1244.0
flow_1450_0,1127.0,1174.0
flow_3039_0,1127.0,1246.0
flow_591_0,1130.0,1223.0
flow_1420_0,1132.0,1262.0
flow_2444_0,1141.0,1280.0
flow_1451_0,1141.0,1178.0
flow_594_0,1145.0,1422.0
flow_3623_0,1148.0,1234.0
flow_145_0,1155.0,1284.0
flow_596_0,1160.0,1225.0
flow_598_0,1162.0,1228.0
flow_600_0,1165.0,1253.0
flow_601_0,1167.0,1257.0
flow_1689_0,1170.0,1239.0
flow_1453_0,1171.0,1218.0
flow_2445_0,1171.0,1305.0
flow_2754_0,1184.0,1254.0
flow_1690_0,1184.0,1262.0
flow_2446_0,1188.0,1321.0
flow_2448_0,1190.0,1337.0
flow_604_0,1191.0,1271.0
flow_1671_0,1193.0,1275.0
flow_3343_0,1198.0,1280.0
flow_1456_0,1214.0,1253.0
flow_1692_0,1215.0,1284.0
flow_2114_0,1217.0,1289.0
