,enter_time,leave_time
flow_0_0,41.0,74.0
flow_1_0,46.0,97.0
flow_2_0,51.0,84.0
flow_3_0,56.0,90.0
flow_4_0,61.0,117.0
flow_6_0,71.0,105.0
flow_2510_0,77.0,117.0
flow_1311_0,81.0,158.0
flow_9_0,86.0,121.0
flow_5845_0,104.0,197.0
flow_5848_0,106.0,202.0
flow_5849_0,109.0,179.0
flow_12_0,122.0,177.0
flow_3212_0,122.0,197.0
flow_2512_0,123.0,396.0
flow_14_0,124.0,182.0
flow_3215_0,127.0,197.0
flow_15_0,127.0,184.0
flow_16_0,129.0,187.0
flow_1321_0,131.0,201.0
flow_17_0,132.0,189.0
flow_18_0,134.0,219.0
flow_665_0,135.0,170.0
flow_2515_0,142.0,182.0
flow_5850_0,143.0,212.0
flow_21_0,146.0,224.0
flow_5853_0,146.0,216.0
flow_22_0,151.0,226.0
flow_2516_0,155.0,241.0
flow_671_0,164.0,263.0
flow_4917_0,166.0,267.0
flow_2517_0,168.0,219.0
flow_4921_0,175.0,245.0
flow_24_0,183.0,229.0
flow_1310_0,184.0,473.0
flow_25_0,185.0,232.0
flow_26_0,188.0,235.0
flow_29_0,191.0,224.0
flow_31_0,196.0,230.0
flow_1330_0,200.0,269.0
flow_5376_0,201.0,270.0
flow_3219_0,203.0,272.0
flow_2518_0,205.0,239.0
flow_3220_0,206.0,276.0
flow_5856_0,206.0,275.0
flow_3221_0,208.0,278.0
flow_5858_0,208.0,612.0
flow_3223_0,211.0,282.0
flow_5859_0,212.0,282.0
flow_5860_0,215.0,306.0
flow_2519_0,218.0,283.0
flow_1991_0,218.0,419.0
flow_5862_0,221.0,311.0
flow_5861_0,222.0,294.0
flow_1988_0,227.0,288.0
flow_5373_0,229.0,290.0
flow_4922_0,236.0,270.0
flow_4925_0,244.0,283.0
flow_1340_0,247.0,316.0
flow_2522_0,249.0,293.0
flow_32_0,249.0,344.0
flow_1341_0,250.0,320.0
flow_33_0,252.0,287.0
flow_34_0,254.0,290.0
flow_36_0,257.0,293.0
flow_37_0,259.0,296.0
flow_38_0,262.0,298.0
flow_4056_0,264.0,297.0
flow_3646_0,268.0,338.0
flow_5865_0,271.0,341.0
flow_5866_0,274.0,383.0
flow_5868_0,276.0,387.0
flow_5869_0,279.0,350.0
flow_4930_0,282.0,324.0
flow_5870_0,282.0,389.0
flow_3227_0,288.0,383.0
flow_39_0,290.0,324.0
flow_3229_0,290.0,388.0
flow_2525_0,290.0,324.0
flow_694_0,291.0,392.0
flow_41_0,293.0,328.0
flow_43_0,295.0,330.0
flow_44_0,298.0,349.0
flow_45_0,302.0,335.0
flow_1323_0,310.0,364.0
flow_5871_0,311.0,395.0
flow_2791_0,312.0,368.0
flow_28_0,312.0,382.0
flow_5872_0,314.0,424.0
flow_5874_0,316.0,455.0
flow_4932_0,317.0,371.0
flow_4933_0,319.0,373.0
flow_5388_0,324.0,395.0
flow_47_0,331.0,376.0
flow_2526_0,331.0,365.0
flow_53_0,333.0,401.0
flow_2527_0,334.0,368.0
flow_55_0,335.0,369.0
flow_2528_0,336.0,370.0
flow_56_0,338.0,405.0
flow_2001_0,346.0,460.0
flow_19_0,352.0,422.0
flow_707_0,355.0,426.0
flow_2005_0,357.0,429.0
flow_3234_0,369.0,455.0
flow_61_0,370.0,404.0
flow_3235_0,371.0,460.0
flow_5879_0,371.0,462.0
flow_5880_0,373.0,465.0
flow_62_0,373.0,408.0
flow_3238_0,374.0,462.0
flow_63_0,375.0,409.0
flow_5881_0,377.0,447.0
flow_65_0,378.0,412.0
flow_5883_0,379.0,490.0
flow_2529_0,387.0,437.0
flow_3659_0,389.0,465.0
flow_2530_0,389.0,441.0
flow_2532_0,391.0,558.0
flow_2270_0,392.0,491.0
flow_2533_0,394.0,428.0
flow_4937_0,398.0,437.0
flow_1366_0,405.0,494.0
flow_5884_0,408.0,495.0
flow_4945_0,410.0,443.0
flow_5885_0,411.0,483.0
flow_1371_0,411.0,497.0
flow_5887_0,413.0,497.0
flow_5888_0,417.0,500.0
flow_4470_0,422.0,594.0
flow_4471_0,425.0,524.0
flow_3241_0,425.0,495.0
flow_66_0,425.0,460.0
flow_712_0,426.0,598.0
flow_67_0,427.0,470.0
flow_4059_0,428.0,528.0
flow_3244_0,428.0,499.0
flow_69_0,429.0,472.0
flow_3246_0,430.0,502.0
flow_2012_0,431.0,530.0
flow_716_0,432.0,533.0
flow_3248_0,433.0,524.0
flow_71_0,434.0,476.0
flow_3249_0,435.0,528.0
flow_72_0,436.0,476.0
flow_2534_0,442.0,475.0
flow_2798_0,443.0,478.0
flow_2536_0,444.0,728.0
flow_2537_0,446.0,480.0
flow_2799_0,446.0,558.0
flow_4952_0,448.0,482.0
flow_2274_0,449.0,483.0
flow_1377_0,450.0,531.0
flow_2539_0,452.0,562.0
flow_1378_0,453.0,533.0
flow_73_0,461.0,507.0
flow_5891_0,462.0,600.0
flow_75_0,463.0,511.0
flow_5893_0,465.0,535.0
flow_77_0,466.0,513.0
flow_79_0,468.0,516.0
flow_80_0,471.0,518.0
flow_2015_0,476.0,576.0
flow_2540_0,477.0,510.0
flow_3250_0,479.0,576.0
flow_2542_0,479.0,513.0
flow_3251_0,481.0,581.0
flow_2543_0,482.0,516.0
flow_3252_0,484.0,583.0
flow_2544_0,484.0,518.0
flow_3254_0,486.0,594.0
flow_1386_0,488.0,586.0
flow_83_0,496.0,541.0
flow_84_0,498.0,545.0
flow_86_0,501.0,547.0
flow_87_0,503.0,550.0
flow_88_0,505.0,552.0
flow_5377_0,511.0,544.0
flow_3669_0,512.0,589.0
flow_3676_0,514.0,630.0
flow_1387_0,514.0,584.0
flow_89_0,529.0,612.0
flow_90_0,531.0,616.0
flow_5896_0,531.0,603.0
flow_5897_0,534.0,630.0
flow_91_0,534.0,618.0
flow_5898_0,536.0,606.0
flow_93_0,536.0,571.0
flow_4086_0,539.0,688.0
flow_5900_0,539.0,635.0
flow_3259_0,545.0,634.0
flow_4956_0,548.0,637.0
flow_3263_0,548.0,619.0
flow_4486_0,550.0,640.0
flow_3266_0,550.0,623.0
flow_3267_0,553.0,636.0
flow_2549_0,562.0,596.0
flow_95_0,563.0,621.0
flow_96_0,565.0,624.0
flow_97_0,567.0,601.0
flow_1998_0,567.0,615.0
flow_5417_0,568.0,644.0
flow_99_0,570.0,649.0
flow_4482_0,570.0,619.0
flow_2021_0,572.0,621.0
flow_102_0,573.0,654.0
flow_35_0,574.0,668.0
flow_1373_0,582.0,693.0
flow_5901_0,584.0,673.0
flow_5902_0,586.0,675.0
flow_5906_0,588.0,659.0
flow_5907_0,591.0,668.0
flow_5908_0,593.0,826.0
flow_4970_0,594.0,628.0
flow_4075_0,598.0,632.0
flow_1401_0,599.0,669.0
flow_3269_0,599.0,826.0
flow_4081_0,601.0,649.0
flow_3274_0,602.0,672.0
flow_3678_0,603.0,654.0
flow_3276_0,604.0,674.0
flow_2551_0,606.0,656.0
flow_1404_0,607.0,677.0
flow_3277_0,607.0,677.0
flow_2552_0,608.0,695.0
flow_3278_0,609.0,679.0
flow_4092_0,609.0,659.0
flow_5424_0,616.0,728.0
flow_105_0,617.0,656.0
flow_5425_0,618.0,732.0
flow_107_0,619.0,659.0
flow_3683_0,620.0,662.0
flow_5430_0,621.0,691.0
flow_5909_0,621.0,734.0
flow_109_0,621.0,656.0
flow_5911_0,623.0,737.0
flow_112_0,624.0,661.0
flow_5912_0,626.0,740.0
flow_113_0,627.0,708.0
flow_2553_0,634.0,708.0
flow_3677_0,636.0,733.0
flow_2554_0,637.0,671.0
flow_1408_0,638.0,735.0
flow_2556_0,639.0,698.0
flow_4098_0,639.0,709.0
flow_2013_0,641.0,738.0
flow_2557_0,642.0,712.0
flow_1409_0,645.0,741.0
flow_1411_0,647.0,743.0
flow_1413_0,650.0,767.0
flow_4101_0,654.0,714.0
flow_114_0,654.0,689.0
flow_3282_0,655.0,726.0
flow_120_0,656.0,1453.0
flow_121_0,658.0,713.0
flow_742_0,658.0,728.0
flow_3283_0,658.0,772.0
flow_3285_0,660.0,1035.0
flow_4980_0,661.0,830.0
flow_122_0,661.0,715.0
flow_124_0,663.0,718.0
flow_759_0,663.0,733.0
flow_3288_0,665.0,776.0
flow_761_0,667.0,767.0
flow_1392_0,669.0,703.0
flow_4988_0,669.0,771.0
flow_2559_0,672.0,717.0
flow_2809_0,673.0,721.0
flow_2561_0,674.0,719.0
flow_1395_0,675.0,748.0
flow_2562_0,676.0,806.0
flow_1398_0,678.0,722.0
flow_1412_0,678.0,752.0
flow_4979_0,681.0,754.0
flow_4982_0,683.0,1162.0
flow_4493_0,686.0,759.0
flow_2833_0,687.0,721.0
flow_4495_0,689.0,806.0
flow_3291_0,694.0,830.0
flow_5915_0,697.0,767.0
flow_3292_0,697.0,767.0
flow_3293_0,699.0,833.0
flow_5917_0,700.0,773.0
flow_5920_0,702.0,776.0
flow_5921_0,705.0,780.0
flow_5922_0,707.0,777.0
flow_5923_0,710.0,846.0
flow_2563_0,711.0,811.0
flow_4109_0,712.0,1009.0
flow_126_0,712.0,762.0
flow_128_0,714.0,786.0
flow_2564_0,714.0,752.0
flow_4969_0,716.0,846.0
flow_2565_0,717.0,754.0
flow_129_0,717.0,791.0
flow_5403_0,719.0,813.0
flow_130_0,719.0,793.0
flow_132_0,722.0,796.0
flow_133_0,724.0,799.0
flow_1402_0,724.0,757.0
flow_2301_0,735.0,850.0
flow_4115_0,738.0,835.0
flow_4111_0,742.0,777.0
flow_4992_0,746.0,781.0
flow_1430_0,747.0,852.0
flow_2566_0,751.0,785.0
flow_135_0,752.0,801.0
flow_2567_0,754.0,787.0
flow_136_0,755.0,810.0
flow_1434_0,756.0,855.0
flow_2568_0,756.0,816.0
flow_137_0,757.0,866.0
flow_5925_0,758.0,828.0
flow_138_0,760.0,1085.0
flow_5927_0,761.0,851.0
flow_139_0,762.0,812.0
flow_5929_0,763.0,853.0
flow_5932_0,766.0,837.0
flow_5933_0,770.0,856.0
flow_3297_0,774.0,858.0
flow_4998_0,777.0,859.0
flow_3299_0,777.0,951.0
flow_3301_0,779.0,907.0
flow_764_0,780.0,951.0
flow_3302_0,782.0,955.0
flow_5005_0,784.0,854.0
flow_3305_0,785.0,912.0
flow_5882_0,790.0,866.0
flow_2024_0,793.0,886.0
flow_5440_0,795.0,871.0
flow_4518_0,798.0,891.0
flow_1437_0,806.0,877.0
flow_140_0,810.0,873.0
flow_2570_0,810.0,873.0
flow_142_0,812.0,875.0
flow_2571_0,813.0,847.0
flow_4489_0,814.0,887.0
flow_144_0,815.0,877.0
flow_3717_0,815.0,876.0
flow_3716_0,817.0,914.0
flow_5934_0,817.0,887.0
flow_145_0,818.0,851.0
flow_2573_0,818.0,879.0
flow_5935_0,819.0,890.0
flow_4126_0,821.0,891.0
flow_5936_0,821.0,907.0
flow_147_0,821.0,886.0
flow_4130_0,823.0,957.0
flow_5937_0,824.0,911.0
flow_5940_0,826.0,913.0
flow_5942_0,829.0,899.0
flow_1427_0,831.0,866.0
flow_3307_0,834.0,904.0
flow_4124_0,836.0,881.0
flow_3309_0,837.0,917.0
flow_4104_0,838.0,956.0
flow_3311_0,839.0,909.0
flow_3312_0,842.0,920.0
flow_4091_0,845.0,880.0
flow_3313_0,845.0,923.0
flow_151_0,850.0,929.0
flow_152_0,852.0,934.0
flow_1449_0,853.0,997.0
flow_153_0,856.0,890.0
flow_154_0,859.0,936.0
flow_155_0,861.0,939.0
flow_2308_0,862.0,929.0
flow_156_0,863.0,897.0
flow_2057_0,867.0,938.0
flow_4521_0,870.0,934.0
flow_5007_0,871.0,942.0
flow_2575_0,872.0,936.0
flow_2576_0,874.0,1133.0
flow_5944_0,877.0,997.0
flow_2577_0,877.0,1137.0
flow_3726_0,879.0,939.0
flow_5945_0,879.0,1002.0
flow_125_0,881.0,951.0
flow_5946_0,882.0,1004.0
flow_5948_0,884.0,1007.0
flow_1452_0,886.0,960.0
flow_5950_0,887.0,1010.0
flow_161_0,890.0,945.0
flow_1455_0,891.0,1002.0
flow_162_0,892.0,974.0
flow_3316_0,894.0,964.0
flow_163_0,895.0,978.0
flow_3317_0,897.0,1004.0
flow_165_0,897.0,980.0
flow_3323_0,899.0,1007.0
flow_166_0,900.0,983.0
flow_167_0,902.0,986.0
flow_4522_0,903.0,938.0
flow_3324_0,906.0,976.0
flow_3326_0,906.0,1227.0
flow_5015_0,907.0,989.0
flow_4504_0,915.0,1012.0
flow_4142_0,917.0,1042.0
flow_3260_0,918.0,1012.0
flow_786_0,920.0,1015.0
flow_788_0,922.0,1042.0
flow_2580_0,925.0,974.0
flow_791_0,925.0,1047.0
flow_1458_0,925.0,1047.0
flow_795_0,927.0,1049.0
flow_5023_0,930.0,1001.0
flow_1460_0,930.0,1000.0
flow_169_0,931.0,991.0
flow_792_0,933.0,1020.0
flow_170_0,936.0,970.0
flow_3327_0,937.0,1050.0
flow_171_0,937.0,1024.0
flow_3331_0,939.0,1053.0
flow_5952_0,940.0,1010.0
flow_172_0,940.0,1028.0
flow_3334_0,942.0,1055.0
flow_173_0,942.0,1030.0
flow_5953_0,943.0,1052.0
flow_174_0,944.0,1032.0
flow_1463_0,945.0,1058.0
flow_5954_0,945.0,1054.0
flow_1464_0,948.0,1231.0
flow_5956_0,948.0,1057.0
flow_5957_0,950.0,1393.0
flow_5959_0,953.0,1092.0
flow_2581_0,955.0,988.0
flow_2582_0,957.0,991.0
flow_2584_0,960.0,1020.0
flow_2585_0,966.0,1001.0
flow_1465_0,967.0,1060.0
flow_2586_0,969.0,1025.0
flow_5026_0,972.0,1037.0
flow_1470_0,972.0,1042.0
flow_177_0,975.0,1065.0
flow_179_0,977.0,1069.0
flow_1473_0,978.0,1048.0
flow_181_0,980.0,1071.0
flow_183_0,982.0,1133.0
flow_184_0,985.0,1074.0
flow_5961_0,986.0,1227.0
flow_805_0,987.0,1021.0
flow_185_0,988.0,1076.0
flow_5962_0,989.0,1059.0
flow_187_0,990.0,1079.0
flow_5963_0,991.0,1095.0
flow_815_0,993.0,1081.0
flow_2884_0,993.0,1088.0
flow_5965_0,994.0,1098.0
flow_2892_0,998.0,1093.0
flow_5473_0,998.0,1102.0
flow_5967_0,1001.0,1104.0
flow_2587_0,1001.0,1034.0
flow_2588_0,1004.0,1038.0
flow_2896_0,1004.0,1095.0
flow_3337_0,1006.0,1098.0
flow_4107_0,1006.0,1041.0
flow_3341_0,1008.0,1100.0
flow_3751_0,1009.0,1065.0
flow_2589_0,1012.0,1068.0
flow_2590_0,1014.0,1071.0
flow_2591_0,1017.0,1074.0
flow_1476_0,1035.0,1105.0
flow_189_0,1043.0,1110.0
flow_1482_0,1044.0,1114.0
flow_4552_0,1045.0,1157.0
flow_190_0,1045.0,1114.0
flow_2327_0,1046.0,1140.0
flow_1484_0,1047.0,1157.0
flow_193_0,1048.0,1117.0
flow_194_0,1050.0,1119.0
flow_4153_0,1050.0,1233.0
flow_195_0,1053.0,1121.0
flow_196_0,1055.0,1124.0
flow_198_0,1057.0,1126.0
flow_2594_0,1059.0,1110.0
flow_5037_0,1064.0,1181.0
flow_5039_0,1070.0,1138.0
flow_1414_0,1075.0,1185.0
flow_5969_0,1076.0,1164.0
flow_5971_0,1078.0,1167.0
flow_1491_0,1080.0,1162.0
flow_5972_0,1081.0,1170.0
flow_5974_0,1083.0,1172.0
flow_5975_0,1086.0,1175.0
flow_2550_0,1088.0,1140.0
flow_5976_0,1088.0,1204.0
flow_5978_0,1090.0,1209.0
flow_2891_0,1091.0,1187.0
flow_5451_0,1092.0,1125.0
flow_1486_0,1093.0,1190.0
flow_1497_0,1094.0,1236.0
flow_3343_0,1097.0,1166.0
flow_5043_0,1103.0,1138.0
flow_2598_0,1107.0,1141.0
flow_200_0,1110.0,1192.0
flow_201_0,1112.0,1195.0
flow_188_0,1113.0,1205.0
flow_191_0,1116.0,1209.0
flow_206_0,1116.0,1150.0
flow_207_0,1118.0,1153.0
flow_3769_0,1119.0,1189.0
flow_209_0,1120.0,1198.0
flow_802_0,1121.0,1211.0
flow_2823_0,1121.0,1238.0
flow_814_0,1123.0,1214.0
flow_819_0,1126.0,1217.0
flow_2059_0,1128.0,1211.0
flow_828_0,1128.0,1219.0
flow_5046_0,1130.0,1201.0
flow_1501_0,1131.0,1214.0
flow_841_0,1133.0,1222.0
flow_1503_0,1135.0,1241.0
flow_1506_0,1138.0,1208.0
flow_3349_0,1141.0,1217.0
flow_5980_0,1145.0,1215.0
flow_2599_0,1145.0,1181.0
flow_829_0,1146.0,1249.0
flow_3350_0,1147.0,1220.0
flow_5981_0,1148.0,1271.0
flow_5982_0,1150.0,1220.0
flow_5983_0,1153.0,1276.0
flow_5984_0,1156.0,1231.0
flow_2318_0,1160.0,1233.0
flow_2077_0,1162.0,1278.0
flow_2858_0,1165.0,1281.0
flow_4554_0,1165.0,1393.0
flow_5985_0,1166.0,1284.0
flow_5048_0,1171.0,1253.0
flow_1510_0,1174.0,1245.0
flow_1405_0,1175.0,1256.0
flow_5054_0,1178.0,1260.0
flow_1512_0,1178.0,1271.0
flow_4157_0,1179.0,1287.0
flow_5034_0,1180.0,1274.0
flow_213_0,1182.0,1218.0
flow_1515_0,1183.0,1278.0
flow_216_0,1185.0,1262.0
flow_1466_0,1185.0,1219.0
flow_217_0,1187.0,1264.0
flow_219_0,1190.0,1226.0
flow_5986_0,1191.0,1262.0
flow_220_0,1193.0,1229.0
flow_5987_0,1194.0,1312.0
flow_221_0,1195.0,1292.0
flow_5988_0,1196.0,1316.0
flow_5990_0,1199.0,1271.0
