,enter_time,leave_time
flow_1345_0,41.0,75.0
flow_1346_0,50.0,83.0
flow_1347_0,59.0,92.0
flow_1348_0,68.0,101.0
flow_449_0,77.0,110.0
flow_1350_0,86.0,343.0
flow_453_0,101.0,134.0
flow_1352_0,104.0,137.0
flow_454_0,107.0,140.0
flow_3240_0,110.0,189.0
flow_2346_0,110.0,297.0
flow_3242_0,112.0,193.0
flow_2347_0,112.0,189.0
flow_1353_0,133.0,166.0
flow_1354_0,135.0,169.0
flow_458_0,152.0,211.0
flow_3244_0,152.0,233.0
flow_3246_0,154.0,238.0
flow_459_0,155.0,189.0
flow_461_0,157.0,216.0
flow_1595_0,157.0,240.0
flow_3249_0,165.0,243.0
flow_1358_0,175.0,209.0
flow_1360_0,177.0,211.0
flow_1361_0,185.0,218.0
flow_2350_0,193.0,276.0
flow_464_0,194.0,227.0
flow_2352_0,195.0,281.0
flow_467_0,196.0,255.0
flow_2355_0,198.0,269.0
flow_468_0,199.0,259.0
flow_3251_0,216.0,297.0
flow_0_0,216.0,262.0
flow_1362_0,218.0,255.0
flow_7_0,218.0,265.0
flow_3253_0,219.0,288.0
flow_1363_0,220.0,260.0
flow_3254_0,221.0,291.0
flow_1364_0,223.0,262.0
flow_3256_0,224.0,337.0
flow_1365_0,225.0,265.0
flow_2954_0,258.0,337.0
flow_902_0,260.0,317.0
flow_1355_0,260.0,341.0
flow_3547_0,260.0,342.0
flow_470_0,262.0,321.0
flow_1367_0,262.0,317.0
flow_909_0,262.0,344.0
flow_472_0,265.0,561.0
flow_2351_0,266.0,322.0
flow_1369_0,269.0,304.0
flow_478_0,274.0,326.0
flow_1371_0,275.0,324.0
flow_3259_0,281.0,350.0
flow_3261_0,283.0,353.0
flow_3263_0,286.0,379.0
flow_1609_0,289.0,384.0
flow_3265_0,293.0,363.0
flow_2658_0,294.0,379.0
flow_3551_0,296.0,330.0
flow_2359_0,301.0,383.0
flow_2362_0,303.0,385.0
flow_479_0,303.0,358.0
flow_1372_0,304.0,358.0
flow_480_0,305.0,362.0
flow_1373_0,306.0,363.0
flow_2363_0,306.0,388.0
flow_484_0,307.0,341.0
flow_2365_0,308.0,391.0
flow_1375_0,311.0,604.0
flow_26_0,315.0,420.0
flow_27_0,318.0,425.0
flow_3266_0,323.0,392.0
flow_3267_0,325.0,420.0
flow_3554_0,332.0,661.0
flow_3270_0,333.0,424.0
flow_1612_0,337.0,426.0
flow_1614_0,339.0,429.0
flow_485_0,343.0,399.0
flow_487_0,345.0,403.0
flow_4096_0,345.0,399.0
flow_4106_0,347.0,404.0
flow_489_0,348.0,405.0
flow_490_0,350.0,385.0
flow_1376_0,366.0,406.0
flow_1377_0,368.0,409.0
flow_1378_0,371.0,411.0
flow_1379_0,373.0,413.0
flow_3559_0,375.0,408.0
flow_1380_0,376.0,441.0
flow_3560_0,377.0,411.0
flow_4108_0,378.0,461.0
flow_1381_0,378.0,446.0
flow_40_0,378.0,461.0
flow_4113_0,380.0,465.0
flow_3561_0,381.0,414.0
flow_2367_0,382.0,465.0
flow_2368_0,384.0,467.0
flow_3824_0,385.0,441.0
flow_3275_0,385.0,467.0
flow_494_0,387.0,446.0
flow_2369_0,387.0,470.0
flow_3277_0,388.0,470.0
flow_2370_0,389.0,473.0
flow_2348_0,390.0,473.0
flow_495_0,390.0,448.0
flow_2371_0,392.0,476.0
flow_496_0,392.0,450.0
flow_2373_0,394.0,503.0
flow_497_0,395.0,453.0
flow_500_0,397.0,482.0
flow_1382_0,407.0,441.0
flow_1383_0,410.0,448.0
flow_1384_0,412.0,451.0
flow_1385_0,415.0,453.0
flow_1386_0,417.0,455.0
flow_3567_0,419.0,486.0
flow_1388_0,420.0,482.0
flow_452_0,423.0,508.0
flow_2969_0,426.0,510.0
flow_3552_0,430.0,513.0
flow_2956_0,434.0,504.0
flow_3830_0,436.0,490.0
flow_2374_0,445.0,515.0
flow_2377_0,448.0,517.0
flow_2378_0,450.0,520.0
flow_506_0,468.0,525.0
flow_3280_0,468.0,546.0
flow_1390_0,470.0,525.0
flow_3281_0,470.0,551.0
flow_507_0,470.0,530.0
flow_1391_0,472.0,529.0
flow_3282_0,473.0,553.0
flow_510_0,473.0,775.0
flow_1393_0,475.0,531.0
flow_3283_0,475.0,556.0
flow_1394_0,477.0,534.0
flow_3285_0,478.0,558.0
flow_1395_0,480.0,537.0
flow_1396_0,482.0,539.0
flow_2665_0,486.0,569.0
flow_923_0,489.0,592.0
flow_2963_0,489.0,535.0
flow_2372_0,491.0,538.0
flow_938_0,492.0,562.0
flow_939_0,494.0,596.0
flow_2674_0,502.0,592.0
flow_2675_0,504.0,597.0
flow_2976_0,505.0,539.0
flow_2682_0,507.0,599.0
flow_2382_0,511.0,602.0
flow_10_0,511.0,545.0
flow_1398_0,513.0,573.0
flow_52_0,514.0,569.0
flow_1399_0,515.0,575.0
flow_3835_0,516.0,665.0
flow_1400_0,518.0,578.0
flow_2385_0,520.0,606.0
flow_3837_0,523.0,667.0
flow_1402_0,525.0,661.0
flow_62_0,526.0,609.0
flow_514_0,526.0,574.0
flow_504_0,534.0,638.0
flow_1624_0,534.0,666.0
flow_4120_0,536.0,668.0
flow_1635_0,544.0,614.0
flow_1637_0,550.0,638.0
flow_1638_0,552.0,642.0
flow_518_0,554.0,587.0
flow_3287_0,555.0,644.0
flow_519_0,556.0,615.0
flow_3291_0,557.0,647.0
flow_521_0,559.0,619.0
flow_522_0,561.0,621.0
flow_1851_0,564.0,650.0
flow_3577_0,564.0,624.0
flow_3580_0,570.0,626.0
flow_3581_0,574.0,629.0
flow_53_0,575.0,615.0
flow_944_0,577.0,653.0
flow_1403_0,580.0,614.0
flow_31_0,580.0,846.0
flow_39_0,582.0,653.0
flow_2686_0,582.0,631.0
flow_1404_0,583.0,620.0
flow_1406_0,585.0,623.0
flow_2391_0,586.0,846.0
flow_1407_0,588.0,625.0
flow_67_0,588.0,684.0
flow_1410_0,590.0,624.0
flow_71_0,597.0,688.0
flow_3294_0,600.0,684.0
flow_3295_0,602.0,688.0
flow_526_0,623.0,1063.0
flow_529_0,626.0,660.0
flow_957_0,628.0,712.0
flow_3289_0,632.0,714.0
flow_1647_0,639.0,709.0
flow_77_0,639.0,709.0
flow_2392_0,643.0,729.0
flow_1648_0,643.0,729.0
flow_1649_0,645.0,733.0
flow_2394_0,645.0,733.0
flow_2396_0,648.0,735.0
flow_1412_0,650.0,707.0
flow_1413_0,653.0,688.0
flow_1415_0,655.0,711.0
flow_2691_0,658.0,738.0
flow_1417_0,658.0,714.0
flow_1418_0,660.0,716.0
flow_4138_0,661.0,735.0
flow_2693_0,663.0,740.0
flow_1591_0,663.0,719.0
flow_3299_0,670.0,739.0
flow_3300_0,672.0,742.0
flow_3303_0,675.0,770.0
flow_2398_0,689.0,770.0
flow_534_0,692.0,750.0
flow_2400_0,692.0,762.0
flow_3589_0,693.0,763.0
flow_535_0,694.0,755.0
flow_1419_0,695.0,729.0
flow_2402_0,695.0,765.0
flow_536_0,697.0,757.0
flow_1421_0,697.0,733.0
flow_537_0,699.0,760.0
flow_540_0,702.0,762.0
flow_968_0,704.0,765.0
flow_544_0,707.0,790.0
flow_3588_0,711.0,1022.0
flow_1884_0,711.0,780.0
flow_1885_0,713.0,783.0
flow_2376_0,714.0,797.0
flow_1886_0,715.0,850.0
flow_3306_0,715.0,784.0
flow_3591_0,716.0,800.0
flow_1887_0,718.0,809.0
flow_70_0,729.0,764.0
flow_4144_0,732.0,810.0
flow_2405_0,733.0,813.0
flow_2975_0,734.0,803.0
flow_2111_0,736.0,815.0
flow_2407_0,740.0,818.0
flow_1656_0,748.0,818.0
flow_1658_0,752.0,821.0
flow_545_0,756.0,828.0
flow_546_0,758.0,833.0
flow_3308_0,758.0,882.0
flow_1422_0,759.0,792.0
flow_3309_0,760.0,887.0
flow_548_0,761.0,835.0
flow_1424_0,761.0,795.0
flow_549_0,763.0,838.0
flow_553_0,766.0,840.0
flow_1426_0,767.0,800.0
flow_3003_0,771.0,804.0
flow_3594_0,771.0,864.0
flow_2408_0,794.0,882.0
flow_3856_0,795.0,868.0
flow_2410_0,797.0,1018.0
flow_2106_0,797.0,870.0
flow_2412_0,799.0,887.0
flow_3844_0,799.0,832.0
flow_2113_0,800.0,873.0
flow_2114_0,802.0,875.0
flow_2414_0,803.0,873.0
flow_985_0,805.0,900.0
flow_4148_0,812.0,889.0
flow_102_0,813.0,889.0
flow_4149_0,814.0,885.0
flow_3313_0,817.0,892.0
flow_1427_0,818.0,852.0
flow_3314_0,819.0,890.0
flow_1429_0,821.0,864.0
flow_1430_0,823.0,869.0
flow_2415_0,832.0,917.0
flow_554_0,833.0,904.0
flow_2416_0,834.0,922.0
flow_556_0,835.0,906.0
flow_2417_0,837.0,924.0
flow_557_0,838.0,909.0
flow_558_0,840.0,911.0
flow_560_0,843.0,934.0
flow_3012_0,851.0,921.0
flow_2094_0,853.0,923.0
flow_1431_0,854.0,900.0
flow_3016_0,854.0,927.0
flow_3600_0,856.0,925.0
flow_1432_0,856.0,905.0
flow_4137_0,860.0,951.0
flow_1433_0,865.0,907.0
flow_2420_0,869.0,955.0
flow_95_0,869.0,1170.0
flow_2710_0,871.0,941.0
flow_3601_0,875.0,944.0
flow_2422_0,875.0,957.0
flow_113_0,878.0,960.0
flow_114_0,881.0,984.0
flow_3317_0,890.0,959.0
flow_3319_0,892.0,962.0
flow_3582_0,895.0,934.0
flow_2999_0,896.0,984.0
flow_3004_0,899.0,1018.0
flow_561_0,905.0,946.0
flow_565_0,907.0,968.0
flow_1434_0,908.0,941.0
flow_1435_0,910.0,944.0
flow_566_0,910.0,972.0
flow_567_0,912.0,946.0
flow_1436_0,913.0,947.0
flow_1901_0,916.0,968.0
flow_2698_0,920.0,972.0
flow_2425_0,923.0,992.0
flow_2426_0,925.0,995.0
flow_2427_0,928.0,1055.0
flow_2428_0,930.0,1059.0
flow_1437_0,942.0,975.0
flow_1438_0,944.0,978.0
flow_1439_0,947.0,1001.0
flow_3025_0,949.0,983.0
flow_3322_0,956.0,1055.0
flow_570_0,956.0,1001.0
flow_3029_0,957.0,1027.0
flow_571_0,958.0,1005.0
flow_3323_0,959.0,1029.0
flow_572_0,961.0,1007.0
flow_574_0,963.0,1010.0
flow_575_0,966.0,1012.0
flow_992_0,969.0,1065.0
flow_128_0,971.0,1068.0
flow_1440_0,974.0,1008.0
flow_2429_0,974.0,1092.0
flow_4159_0,976.0,1060.0
flow_2431_0,976.0,1473.0
flow_1441_0,977.0,1010.0
flow_2432_0,979.0,1325.0
flow_2727_0,982.0,1102.0
flow_2433_0,986.0,1056.0
flow_577_0,989.0,1036.0
flow_3326_0,989.0,1062.0
flow_2732_0,990.0,1105.0
flow_578_0,991.0,1041.0
flow_3327_0,991.0,1065.0
flow_1659_0,993.0,1127.0
flow_579_0,994.0,1043.0
flow_580_0,997.0,1046.0
flow_3014_0,1001.0,1092.0
flow_2434_0,1006.0,1077.0
flow_1443_0,1006.0,1144.0
flow_2435_0,1009.0,1132.0
flow_2436_0,1011.0,1239.0
flow_3613_0,1014.0,1144.0
flow_3614_0,1016.0,1050.0
flow_2437_0,1016.0,1135.0
flow_3615_0,1021.0,1074.0
flow_582_0,1025.0,1077.0
flow_584_0,1030.0,1080.0
flow_1680_0,1032.0,1101.0
flow_585_0,1033.0,1083.0
flow_3039_0,1041.0,1138.0
flow_1664_0,1041.0,1075.0
flow_1674_0,1043.0,1077.0
flow_1902_0,1044.0,1127.0
flow_2742_0,1045.0,1161.0
flow_3040_0,1048.0,1149.0
flow_3866_0,1054.0,1165.0
flow_586_0,1058.0,1149.0
flow_3328_0,1058.0,1132.0
flow_1445_0,1060.0,1110.0
flow_3331_0,1061.0,1239.0
flow_587_0,1061.0,1110.0
flow_136_0,1062.0,1169.0
flow_1446_0,1062.0,1115.0
flow_588_0,1063.0,1098.0
flow_3332_0,1063.0,1134.0
flow_3619_0,1066.0,1114.0
flow_591_0,1069.0,1116.0
flow_1447_0,1069.0,1117.0
flow_1021_0,1077.0,1161.0
flow_1013_0,1079.0,1119.0
flow_1023_0,1079.0,1165.0
flow_1033_0,1082.0,1167.0
flow_1420_0,1087.0,1171.0
flow_2441_0,1096.0,1193.0
flow_1448_0,1097.0,1132.0
flow_1683_0,1098.0,1172.0
flow_2443_0,1099.0,1169.0
flow_1449_0,1101.0,1177.0
flow_2444_0,1107.0,1197.0
flow_594_0,1114.0,1151.0
flow_1672_0,1114.0,1185.0
flow_3043_0,1117.0,1182.0
flow_141_0,1117.0,1416.0
flow_596_0,1117.0,1177.0
flow_598_0,1119.0,1181.0
flow_143_0,1119.0,1202.0
flow_145_0,1122.0,1224.0
flow_2445_0,1131.0,1229.0
flow_1450_0,1132.0,1184.0
flow_2446_0,1133.0,1231.0
flow_1451_0,1134.0,1187.0
flow_3334_0,1147.0,1218.0
flow_3609_0,1147.0,1244.0
flow_3320_0,1148.0,1185.0
flow_600_0,1150.0,1187.0
flow_601_0,1153.0,1209.0
flow_604_0,1155.0,1213.0
flow_605_0,1158.0,1216.0
flow_1689_0,1172.0,1271.0
flow_1690_0,1174.0,1274.0
flow_2132_0,1181.0,1218.0
flow_2448_0,1181.0,1271.0
flow_3623_0,1181.0,1277.0
flow_1453_0,1182.0,1215.0
