,enter_time,leave_time
flow_77_0,57.0,106.0
flow_215_0,139.0,179.0
flow_279_0,181.0,219.0
flow_51_0,183.0,226.0
flow_32_0,208.0,244.0
flow_278_0,211.0,255.0
flow_338_0,212.0,241.0
flow_280_0,225.0,255.0
flow_200_0,260.0,307.0
flow_134_0,284.0,309.0
flow_511_0,290.0,335.0
flow_534_0,301.0,339.0
flow_608_0,323.0,363.0
flow_489_0,352.0,396.0
flow_34_0,354.0,396.0
flow_174_0,354.0,400.0
flow_377_0,356.0,401.0
flow_467_0,358.0,403.0
flow_535_0,368.0,406.0
flow_708_0,391.0,435.0
flow_845_0,405.0,461.0
flow_847_0,408.0,465.0
flow_360_0,418.0,443.0
flow_667_0,428.0,453.0
flow_30_0,429.0,456.0
flow_710_0,431.0,456.0
flow_61_0,439.0,481.0
flow_709_0,440.0,481.0
flow_293_0,443.0,485.0
flow_978_0,447.0,476.0
flow_499_0,465.0,510.0
flow_322_0,468.0,493.0
flow_1069_0,478.0,507.0
flow_1079_0,481.0,534.0
flow_112_0,485.0,522.0
flow_462_0,497.0,534.0
flow_96_0,500.0,526.0
flow_979_0,502.0,527.0
flow_601_0,510.0,536.0
flow_1078_0,511.0,552.0
flow_821_0,514.0,552.0
flow_1077_0,538.0,574.0
flow_1273_0,541.0,584.0
flow_697_0,542.0,578.0
flow_704_0,545.0,591.0
flow_359_0,547.0,595.0
flow_1337_0,556.0,604.0
flow_1360_0,567.0,608.0
flow_879_0,569.0,594.0
flow_703_0,575.0,617.0
flow_795_0,577.0,621.0
flow_1415_0,581.0,610.0
flow_1423_0,584.0,627.0
flow_1024_0,588.0,617.0
flow_1244_0,594.0,639.0
flow_1274_0,595.0,621.0
flow_192_0,601.0,650.0
flow_393_0,604.0,639.0
flow_464_0,607.0,644.0
flow_1361_0,622.0,662.0
flow_1311_0,622.0,662.0
flow_358_0,625.0,666.0
flow_1172_0,645.0,670.0
flow_1250_0,647.0,691.0
flow_763_0,656.0,691.0
flow_286_0,659.0,695.0
flow_1553_0,662.0,697.0
flow_1151_0,666.0,694.0
flow_906_0,671.0,705.0
flow_1694_0,673.0,727.0
flow_1554_0,678.0,716.0
flow_1580_0,680.0,720.0
flow_711_0,694.0,738.0
flow_1517_0,696.0,741.0
flow_1555_0,699.0,756.0
flow_1124_0,703.0,729.0
flow_1031_0,730.0,760.0
flow_565_0,739.0,776.0
flow_877_0,741.0,779.0
flow_1890_0,744.0,773.0
flow_1900_0,747.0,789.0
flow_1544_0,751.0,777.0
flow_992_0,759.0,784.0
flow_648_0,761.0,797.0
flow_631_0,770.0,796.0
flow_598_0,773.0,799.0
flow_2004_0,776.0,805.0
flow_1899_0,777.0,812.0
flow_415_0,780.0,816.0
flow_21_0,783.0,828.0
flow_1150_0,785.0,832.0
flow_1549_0,801.0,845.0
flow_2112_0,807.0,859.0
flow_1964_0,809.0,845.0
flow_1898_0,816.0,849.0
flow_1468_0,818.0,851.0
flow_1434_0,821.0,847.0
flow_1818_0,821.0,848.0
flow_2185_0,828.0,863.0
flow_950_0,832.0,871.0
flow_2020_0,832.0,871.0
flow_1724_0,846.0,874.0
flow_2256_0,847.0,907.0
flow_2264_0,850.0,929.0
flow_1548_0,850.0,875.0
flow_1101_0,853.0,896.0
flow_48_0,855.0,900.0
flow_2113_0,855.0,896.0
flow_520_0,857.0,915.0
flow_792_0,874.0,919.0
flow_2081_0,876.0,921.0
flow_2369_0,878.0,907.0
flow_1509_0,893.0,918.0
flow_1149_0,899.0,924.0
flow_1467_0,901.0,941.0
flow_1612_0,904.0,944.0
flow_1139_0,907.0,933.0
flow_1950_0,910.0,947.0
flow_985_0,912.0,963.0
flow_2021_0,914.0,941.0
flow_2280_0,917.0,944.0
flow_2433_0,931.0,967.0
flow_1556_0,938.0,964.0
flow_1826_0,941.0,966.0
flow_237_0,945.0,971.0
flow_2405_0,950.0,987.0
flow_1751_0,953.0,978.0
flow_2173_0,961.0,991.0
