,enter_time,leave_time
flow_34_0,111.0,147.0
flow_82_0,150.0,193.0
flow_65_0,166.0,215.0
flow_99_0,221.0,261.0
flow_102_0,223.0,265.0
flow_152_0,286.0,312.0
flow_233_0,328.0,368.0
flow_355_0,357.0,398.0
flow_417_0,359.0,401.0
flow_464_0,362.0,404.0
flow_574_0,421.0,459.0
flow_617_0,424.0,464.0
flow_669_0,426.0,466.0
flow_253_0,440.0,487.0
flow_352_0,447.0,491.0
flow_458_0,454.0,480.0
flow_525_0,457.0,509.0
flow_637_0,495.0,532.0
flow_580_0,553.0,591.0
flow_767_0,571.0,597.0
flow_1141_0,617.0,680.0
flow_872_0,621.0,663.0
flow_1223_0,668.0,710.0
flow_1475_0,670.0,713.0
flow_1384_0,673.0,716.0
flow_895_0,673.0,722.0
flow_1205_0,707.0,746.0
flow_1294_0,710.0,736.0
flow_1519_0,720.0,759.0
flow_939_0,756.0,794.0
flow_1136_0,758.0,798.0
flow_1350_0,785.0,822.0
flow_1339_0,788.0,826.0
flow_1670_0,808.0,847.0
flow_1535_0,808.0,859.0
flow_1230_0,814.0,840.0
flow_1409_0,823.0,863.0
flow_1248_0,843.0,881.0
flow_1847_0,853.0,895.0
flow_1316_0,912.0,950.0
flow_1915_0,931.0,972.0
flow_2056_0,946.0,980.0
flow_1740_0,950.0,990.0
flow_2007_0,956.0,1007.0
flow_2045_0,972.0,1011.0
flow_2133_0,995.0,1021.0
flow_2178_0,1020.0,1061.0
flow_2231_0,1023.0,1065.0
flow_2189_0,1043.0,1086.0
flow_2088_0,1054.0,1080.0
flow_2036_0,1072.0,1108.0
flow_2298_0,1074.0,1112.0
flow_2318_0,1082.0,1118.0
flow_2547_0,1084.0,1121.0
flow_2637_0,1087.0,1125.0
flow_2463_0,1093.0,1132.0
flow_2385_0,1095.0,1136.0
flow_2465_0,1114.0,1139.0
flow_2512_0,1116.0,1142.0
flow_2365_0,1119.0,1163.0
flow_2658_0,1141.0,1167.0
flow_2067_0,1168.0,1194.0
flow_2200_0,1171.0,1207.0
flow_2156_0,1173.0,1211.0
flow_2565_0,1195.0,1221.0
flow_2684_0,1201.0,1236.0
flow_2694_0,1227.0,1263.0
flow_2655_0,1230.0,1267.0
flow_2929_0,1232.0,1285.0
flow_3103_0,1272.0,1311.0
flow_2736_0,1290.0,1327.0
flow_3163_0,1293.0,1333.0
flow_2920_0,1309.0,1348.0
flow_3241_0,1360.0,1395.0
flow_2940_0,1379.0,1417.0
flow_2935_0,1381.0,1422.0
flow_3072_0,1389.0,1429.0
flow_3322_0,1405.0,1432.0
flow_3037_0,1448.0,1484.0
flow_3059_0,1450.0,1488.0
flow_3426_0,1455.0,1481.0
flow_3372_0,1461.0,1496.0
flow_3569_0,1463.0,1500.0
flow_3801_0,1479.0,1519.0
flow_3812_0,1514.0,1549.0
flow_3060_0,1531.0,1566.0
flow_3511_0,1533.0,1571.0
flow_3617_0,1535.0,1577.0
flow_3558_0,1536.0,1590.0
flow_3768_0,1596.0,1634.0
flow_3929_0,1599.0,1639.0
flow_3848_0,1601.0,1659.0
flow_4092_0,1603.0,1663.0
flow_4250_0,1606.0,1665.0
flow_3754_0,1690.0,1727.0
flow_4110_0,1692.0,1748.0
flow_4177_0,1695.0,1751.0
