,enter_time,leave_time
flow_51_0,103.0,147.0
flow_146_0,106.0,166.0
flow_176_0,121.0,150.0
flow_200_0,170.0,211.0
flow_376_0,241.0,279.0
flow_32_0,266.0,319.0
flow_34_0,283.0,319.0
flow_82_0,286.0,335.0
flow_360_0,295.0,322.0
flow_536_0,301.0,366.0
flow_377_0,304.0,329.0
flow_467_0,306.0,352.0
flow_278_0,321.0,352.0
flow_225_0,337.0,366.0
flow_667_0,343.0,372.0
flow_134_0,355.0,381.0
flow_710_0,361.0,413.0
flow_499_0,370.0,435.0
flow_755_0,372.0,418.0
flow_797_0,387.0,416.0
flow_489_0,441.0,477.0
flow_322_0,441.0,477.0
flow_174_0,443.0,480.0
flow_821_0,460.0,485.0
flow_708_0,482.0,522.0
flow_1024_0,503.0,528.0
flow_1171_0,507.0,547.0
flow_879_0,526.0,569.0
flow_61_0,527.0,569.0
flow_293_0,529.0,573.0
flow_393_0,532.0,573.0
flow_1170_0,537.0,575.0
flow_1172_0,552.0,577.0
flow_1250_0,565.0,606.0
flow_1362_0,567.0,646.0
flow_464_0,574.0,610.0
flow_617_0,577.0,678.0
flow_1151_0,580.0,612.0
flow_612_0,580.0,625.0
flow_1078_0,582.0,607.0
flow_112_0,585.0,610.0
flow_861_0,594.0,646.0
flow_192_0,601.0,627.0
flow_1517_0,609.0,651.0
flow_359_0,610.0,663.0
flow_697_0,613.0,639.0
flow_462_0,616.0,666.0
flow_889_0,619.0,650.0
flow_1555_0,627.0,656.0
flow_711_0,627.0,663.0
flow_703_0,650.0,695.0
flow_1244_0,652.0,698.0
flow_1544_0,679.0,704.0
flow_1031_0,695.0,743.0
flow_1311_0,699.0,743.0
flow_795_0,701.0,746.0
flow_358_0,704.0,749.0
flow_763_0,747.0,789.0
flow_286_0,749.0,792.0
flow_1553_0,752.0,796.0
flow_1124_0,754.0,798.0
flow_1818_0,763.0,790.0
flow_1724_0,793.0,845.0
flow_1509_0,828.0,853.0
flow_648_0,828.0,853.0
flow_415_0,830.0,856.0
flow_21_0,833.0,858.0
flow_565_0,835.0,861.0
flow_992_0,840.0,894.0
flow_2214_0,841.0,917.0
flow_2021_0,849.0,894.0
