,enter_time,leave_time
flow_2641_0,1.0,75.0
flow_2642_0,24.0,97.0
flow_2643_0,47.0,120.0
flow_2644_0,70.0,143.0
flow_2224_0,86.0,162.0
flow_2225_0,91.0,167.0
flow_2645_0,93.0,183.0
flow_2646_0,116.0,190.0
flow_2226_0,126.0,177.0
flow_2227_0,128.0,202.0
flow_2228_0,139.0,206.0
flow_2647_0,139.0,213.0
flow_2648_0,162.0,254.0
flow_2229_0,166.0,237.0
flow_2230_0,171.0,241.0
flow_837_0,185.0,237.0
flow_2649_0,185.0,258.0
flow_5610_0,187.0,243.0
flow_6249_0,188.0,240.0
flow_2650_0,208.0,281.0
flow_2232_0,224.0,276.0
flow_2651_0,231.0,305.0
flow_6254_0,241.0,305.0
flow_6255_0,243.0,310.0
flow_844_0,245.0,324.0
flow_845_0,248.0,328.0
flow_2652_0,254.0,360.0
flow_2234_0,258.0,309.0
flow_2235_0,261.0,313.0
flow_6256_0,275.0,342.0
flow_2653_0,277.0,427.0
flow_6257_0,278.0,330.0
flow_850_0,283.0,347.0
flow_2_0,285.0,360.0
flow_2654_0,300.0,374.0
flow_2655_0,301.0,393.0
flow_6259_0,310.0,376.0
flow_2238_0,310.0,376.0
flow_2239_0,315.0,367.0
flow_4_0,326.0,395.0
flow_5616_0,329.0,380.0
flow_5617_0,331.0,383.0
flow_2656_0,343.0,417.0
flow_2240_0,348.0,410.0
flow_2241_0,351.0,403.0
flow_858_0,381.0,433.0
flow_859_0,384.0,444.0
flow_2657_0,385.0,459.0
flow_6264_0,415.0,477.0
flow_865_0,418.0,481.0
flow_2658_0,427.0,500.0
flow_6673_0,433.0,503.0
flow_866_0,449.0,510.0
flow_2245_0,450.0,510.0
flow_6267_0,451.0,514.0
flow_2246_0,452.0,514.0
flow_2247_0,455.0,516.0
flow_2659_0,469.0,567.0
flow_6269_0,482.0,644.0
flow_2248_0,483.0,546.0
flow_6270_0,485.0,537.0
flow_2249_0,485.0,551.0
flow_12_0,502.0,586.0
flow_2660_0,511.0,605.0
flow_840_0,515.0,567.0
flow_2252_0,534.0,586.0
flow_13_0,535.0,605.0
