,enter_time,leave_time
flow_6666_0,149.0,219.0
flow_835_0,166.0,218.0
flow_0_0,255.0,324.0
flow_3165_0,258.0,618.0
flow_6672_0,274.0,594.0
flow_3164_0,276.0,628.0
flow_6673_0,280.0,750.0
flow_848_0,290.0,342.0
flow_3_0,295.0,363.0
flow_851_0,310.0,623.0
flow_6676_0,319.0,388.0
flow_840_0,336.0,406.0
flow_854_0,349.0,401.0
flow_6_0,358.0,410.0
flow_6678_0,366.0,436.0
flow_6679_0,370.0,439.0
flow_2234_0,387.0,456.0
flow_862_0,409.0,625.0
flow_847_0,413.0,754.0
flow_849_0,418.0,488.0
flow_9_0,427.0,1677.0
flow_3195_0,458.0,510.0
flow_6685_0,472.0,541.0
flow_6266_0,499.0,569.0
flow_871_0,515.0,567.0
flow_3209_0,522.0,592.0
flow_874_0,525.0,577.0
flow_6688_0,541.0,610.0
flow_876_0,556.0,632.0
flow_877_0,559.0,1306.0
flow_15_0,562.0,618.0
flow_6691_0,617.0,686.0
flow_883_0,643.0,712.0
flow_2238_0,644.0,867.0
flow_885_0,647.0,1310.0
flow_3226_0,664.0,871.0
flow_3242_0,667.0,1312.0
flow_515_0,669.0,722.0
flow_526_0,677.0,774.0
flow_886_0,678.0,874.0
flow_530_0,679.0,778.0
flow_6694_0,698.0,768.0
flow_6696_0,725.0,794.0
flow_2249_0,744.0,814.0
flow_879_0,747.0,941.0
flow_6698_0,749.0,944.0
flow_2246_0,750.0,877.0
flow_6700_0,787.0,857.0
flow_900_0,788.0,840.0
flow_904_0,802.0,881.0
flow_6702_0,832.0,901.0
flow_909_0,832.0,884.0
flow_22_0,835.0,964.0
flow_23_0,843.0,969.0
flow_3244_0,848.0,917.0
flow_6693_0,853.0,964.0
flow_6705_0,854.0,924.0
flow_895_0,875.0,988.0
flow_918_0,888.0,940.0
flow_25_0,889.0,971.0
flow_2658_0,896.0,974.0
flow_2660_0,898.0,977.0
flow_844_0,901.0,980.0
flow_2665_0,903.0,982.0
flow_2260_0,905.0,958.0
flow_921_0,927.0,978.0
flow_925_0,936.0,989.0
flow_3283_0,943.0,1138.0
flow_2652_0,946.0,1142.0
flow_3300_0,949.0,1001.0
flow_3318_0,980.0,1049.0
flow_932_0,997.0,1049.0
flow_3348_0,1012.0,1081.0
flow_3357_0,1014.0,1084.0
flow_6714_0,1017.0,1086.0
flow_6715_0,1019.0,1089.0
flow_941_0,1024.0,1138.0
