,enter_time,leave_time
flow_6249_0,90.0,90.0
flow_6250_0,92.0,144.0
flow_836_0,103.0,155.0
flow_837_0,112.0,nan
flow_6252_0,123.0,175.0
flow_2224_0,145.0,nan
flow_2225_0,148.0,200.0
flow_6254_0,155.0,nan
flow_2226_0,161.0,nan
flow_6255_0,171.0,nan
flow_844_0,175.0,nan
flow_2227_0,177.0,nan
flow_845_0,184.0,nan
flow_6256_0,187.0,nan
flow_2228_0,193.0,nan
flow_846_0,193.0,245.0
flow_6257_0,203.0,nan
flow_2229_0,209.0,nan
flow_6258_0,219.0,271.0
flow_2230_0,225.0,nan
flow_850_0,229.0,nan
flow_6259_0,235.0,nan
flow_6261_0,267.0,319.0
flow_6262_0,283.0,335.0
flow_2234_0,289.0,341.0
flow_6263_0,299.0,351.0
flow_858_0,302.0,nan
flow_859_0,310.0,nan
flow_6264_0,315.0,nan
flow_861_0,328.0,380.0
flow_6265_0,331.0,383.0
flow_6266_0,347.0,399.0
flow_2238_0,353.0,nan
flow_6267_0,359.0,nan
flow_865_0,364.0,nan
flow_866_0,373.0,nan
flow_6268_0,376.0,428.0
flow_867_0,379.0,432.0
flow_2240_0,385.0,nan
flow_6269_0,393.0,nan
flow_6270_0,410.0,nan
flow_6271_0,427.0,479.0
flow_6272_0,444.0,496.0
flow_6273_0,461.0,nan
flow_6274_0,478.0,530.0
flow_6275_0,495.0,nan
flow_878_0,497.0,549.0
flow_6277_0,529.0,nan
flow_6278_0,546.0,598.0
flow_883_0,552.0,605.0
flow_6279_0,563.0,nan
flow_6280_0,580.0,nan
flow_888_0,607.0,659.0
flow_6282_0,614.0,666.0
flow_6284_0,648.0,nan
flow_6285_0,659.0,711.0
flow_896_0,682.0,nan
flow_6287_0,683.0,nan
flow_897_0,688.0,nan
flow_6288_0,695.0,nan
flow_6289_0,707.0,nan
flow_902_0,718.0,nan
flow_903_0,724.0,nan
flow_6291_0,731.0,nan
flow_6292_0,743.0,nan
flow_6293_0,755.0,nan
flow_910_0,766.0,nan
flow_6295_0,779.0,nan
flow_6296_0,791.0,nan
flow_915_0,796.0,848.0
flow_6297_0,803.0,nan
flow_6298_0,815.0,nan
flow_6299_0,827.0,879.0
flow_6300_0,839.0,nan
flow_926_0,862.0,nan
flow_927_0,868.0,nan
flow_6303_0,875.0,nan
flow_930_0,886.0,nan
flow_6304_0,889.0,942.0
flow_931_0,892.0,944.0
flow_6305_0,899.0,nan
flow_933_0,904.0,956.0
