,enter_time,leave_time
flow_0_0,77.0,147.0
flow_2_0,123.0,192.0
flow_3_0,146.0,215.0
flow_4_0,169.0,238.0
flow_2642_0,172.0,242.0
flow_2643_0,195.0,264.0
flow_6_0,215.0,284.0
flow_2644_0,218.0,287.0
flow_9_0,284.0,353.0
flow_10_0,307.0,377.0
flow_11_0,330.0,860.0
flow_2650_0,362.0,431.0
flow_12_0,372.0,441.0
flow_13_0,376.0,445.0
flow_14_0,379.0,448.0
flow_2652_0,402.0,472.0
flow_15_0,419.0,488.0
flow_2655_0,449.0,519.0
flow_833_0,461.0,631.0
flow_852_0,463.0,636.0
flow_531_0,465.0,535.0
flow_2239_0,483.0,552.0
flow_2241_0,488.0,558.0
flow_5613_0,514.0,566.0
flow_2237_0,516.0,569.0
flow_3230_0,572.0,638.0
flow_6671_0,575.0,631.0
flow_19_0,587.0,657.0
flow_856_0,602.0,676.0
flow_864_0,605.0,657.0
flow_868_0,607.0,681.0
flow_869_0,610.0,683.0
flow_6686_0,629.0,700.0
flow_845_0,663.0,733.0
flow_6269_0,666.0,736.0
flow_21_0,671.0,740.0
flow_5628_0,672.0,741.0
flow_5630_0,675.0,860.0
flow_22_0,677.0,746.0
flow_2252_0,684.0,753.0
flow_23_0,700.0,769.0
flow_3283_0,739.0,809.0
flow_2256_0,745.0,814.0
flow_25_0,746.0,815.0
flow_3228_0,759.0,1016.0
flow_2664_0,772.0,865.0
flow_3298_0,814.0,884.0
flow_3300_0,817.0,887.0
flow_3301_0,820.0,890.0
flow_5631_0,836.0,905.0
flow_3308_0,852.0,922.0
flow_887_0,865.0,917.0
flow_537_0,867.0,937.0
flow_2264_0,867.0,936.0
flow_2245_0,868.0,1076.0
flow_892_0,870.0,1021.0
flow_2667_0,881.0,950.0
flow_2668_0,884.0,953.0
flow_30_0,886.0,956.0
flow_31_0,888.0,959.0
flow_32_0,925.0,1117.0
flow_33_0,930.0,1000.0
flow_3309_0,943.0,1023.0
flow_3332_0,945.0,1026.0
flow_901_0,948.0,1028.0
flow_34_0,953.0,1036.0
flow_897_0,957.0,1028.0
flow_2672_0,961.0,1117.0
flow_2274_0,963.0,1035.0
flow_36_0,977.0,1046.0
flow_3350_0,1002.0,1097.0
flow_3352_0,1005.0,1080.0
flow_3359_0,1008.0,1100.0
flow_916_0,1010.0,1103.0
flow_917_0,1014.0,1082.0
flow_38_0,1019.0,1137.0
flow_3244_0,1022.0,1085.0
flow_2675_0,1025.0,1137.0
flow_3347_0,1039.0,1122.0
flow_6280_0,1040.0,1097.0
flow_39_0,1041.0,1111.0
flow_2676_0,1072.0,1142.0
flow_2678_0,1075.0,1144.0
flow_6703_0,1076.0,1147.0
flow_3384_0,1081.0,1133.0
flow_41_0,1105.0,1174.0
flow_43_0,1124.0,1194.0
flow_2287_0,1135.0,1204.0
flow_5661_0,1153.0,1222.0
flow_3385_0,1157.0,1227.0
flow_561_0,1171.0,1224.0
flow_543_0,1182.0,1347.0
flow_2267_0,1184.0,1351.0
flow_46_0,1187.0,1256.0
flow_2684_0,1196.0,1265.0
flow_47_0,1208.0,1277.0
flow_923_0,1218.0,1287.0
flow_3424_0,1225.0,1295.0
flow_48_0,1229.0,1298.0
flow_889_0,1247.0,1316.0
flow_2294_0,1249.0,1318.0
flow_2286_0,1268.0,1347.0
flow_5666_0,1270.0,1350.0
flow_565_0,1271.0,1340.0
flow_902_0,1273.0,1353.0
flow_959_0,1291.0,1353.0
flow_2688_0,1293.0,1366.0
flow_49_0,1293.0,1363.0
flow_962_0,1294.0,1346.0
flow_50_0,1296.0,1585.0
flow_3423_0,1296.0,1356.0
flow_51_0,1298.0,1368.0
flow_3439_0,1299.0,1359.0
flow_52_0,1301.0,1371.0
flow_2665_0,1301.0,1425.0
flow_3451_0,1303.0,1430.0
flow_936_0,1304.0,1374.0
flow_3459_0,1307.0,1377.0
flow_2298_0,1309.0,1378.0
flow_2690_0,1322.0,1391.0
flow_976_0,1333.0,1385.0
flow_2691_0,1343.0,1413.0
flow_3303_0,1350.0,1432.0
flow_55_0,1352.0,1443.0
flow_2303_0,1352.0,1421.0
flow_6710_0,1353.0,1773.0
flow_2304_0,1354.0,1425.0
