,enter_time,leave_time
flow_835_0,166.0,218.0
flow_6666_0,178.0,248.0
flow_0_0,204.0,273.0
flow_6672_0,273.0,592.0
flow_6673_0,276.0,381.0
flow_848_0,283.0,335.0
flow_3_0,289.0,516.0
flow_3165_0,329.0,418.0
flow_840_0,336.0,406.0
flow_851_0,360.0,423.0
flow_6676_0,367.0,436.0
flow_854_0,368.0,420.0
flow_6678_0,370.0,440.0
flow_6679_0,373.0,442.0
flow_6_0,380.0,432.0
flow_847_0,400.0,582.0
flow_849_0,417.0,487.0
flow_862_0,420.0,550.0
flow_3195_0,438.0,491.0
flow_9_0,453.0,969.0
flow_6685_0,489.0,567.0
flow_3164_0,491.0,973.0
flow_871_0,499.0,551.0
flow_874_0,544.0,596.0
flow_876_0,548.0,624.0
flow_6688_0,559.0,637.0
flow_3226_0,572.0,629.0
flow_15_0,593.0,666.0
flow_877_0,594.0,761.0
flow_6691_0,630.0,707.0
flow_3209_0,636.0,706.0
flow_885_0,646.0,765.0
flow_886_0,675.0,733.0
flow_6694_0,679.0,749.0
flow_2234_0,689.0,775.0
flow_6266_0,702.0,772.0
flow_883_0,705.0,780.0
flow_2652_0,713.0,968.0
flow_879_0,727.0,885.0
flow_2658_0,739.0,972.0
flow_844_0,741.0,974.0
flow_6696_0,742.0,811.0
flow_2660_0,743.0,977.0
flow_6698_0,749.0,889.0
flow_900_0,787.0,839.0
flow_6700_0,795.0,865.0
flow_904_0,802.0,975.0
flow_3242_0,807.0,912.0
flow_6702_0,809.0,878.0
flow_22_0,820.0,998.0
flow_23_0,843.0,1003.0
flow_909_0,852.0,998.0
flow_6705_0,863.0,933.0
flow_895_0,887.0,1015.0
flow_918_0,902.0,954.0
flow_25_0,904.0,1006.0
flow_6693_0,905.0,1002.0
flow_2267_0,906.0,1010.0
flow_921_0,909.0,1006.0
flow_2665_0,934.0,1218.0
flow_925_0,941.0,993.0
flow_3244_0,967.0,1036.0
flow_932_0,975.0,1027.0
flow_6714_0,1002.0,1071.0
flow_6715_0,1005.0,1074.0
flow_526_0,1016.0,1085.0
flow_530_0,1018.0,1088.0
flow_2238_0,1036.0,1218.0
flow_941_0,1045.0,1223.0
flow_944_0,1050.0,1102.0
flow_945_0,1054.0,1225.0
flow_2260_0,1059.0,1111.0
flow_951_0,1079.0,1618.0
flow_6720_0,1083.0,1153.0
flow_2249_0,1084.0,1154.0
flow_34_0,1108.0,1223.0
flow_955_0,1110.0,1371.0
flow_956_0,1112.0,1373.0
flow_935_0,1113.0,1183.0
flow_6286_0,1125.0,1376.0
flow_2246_0,1149.0,1473.0
flow_939_0,1151.0,1221.0
flow_6721_0,1171.0,1240.0
flow_969_0,1181.0,1233.0
flow_971_0,1184.0,1478.0
