,enter_time,leave_time
flow_2223_0,133.0,202.0
flow_5606_0,163.0,232.0
flow_2642_0,243.0,438.0
flow_2231_0,258.0,327.0
flow_5613_0,341.0,856.0
flow_2236_0,344.0,413.0
flow_2237_0,354.0,608.0
flow_532_0,404.0,473.0
flow_534_0,406.0,476.0
flow_535_0,410.0,604.0
flow_833_0,423.0,476.0
flow_2242_0,430.0,499.0
flow_2243_0,447.0,516.0
flow_5619_0,450.0,520.0
flow_2652_0,473.0,525.0
flow_5622_0,485.0,555.0
flow_11_0,488.0,539.0
flow_5623_0,513.0,582.0
flow_2655_0,548.0,741.0
flow_5627_0,557.0,627.0
flow_545_0,636.0,705.0
flow_2251_0,653.0,723.0
flow_852_0,654.0,745.0
flow_856_0,656.0,747.0
flow_2255_0,656.0,725.0
flow_5632_0,659.0,728.0
flow_2257_0,685.0,755.0
flow_6671_0,687.0,757.0
flow_5636_0,689.0,785.0
flow_5637_0,704.0,774.0
flow_2241_0,754.0,1494.0
flow_2252_0,769.0,821.0
flow_550_0,817.0,933.0
flow_2265_0,836.0,906.0
flow_5643_0,839.0,908.0
flow_5644_0,841.0,911.0
flow_5648_0,869.0,958.0
flow_5649_0,884.0,954.0
flow_5650_0,899.0,969.0
flow_3262_0,932.0,1427.0
flow_561_0,941.0,1011.0
flow_850_0,1008.0,1077.0
flow_859_0,1010.0,1080.0
flow_2666_0,1013.0,1083.0
flow_2280_0,1015.0,1086.0
flow_2281_0,1017.0,1088.0
flow_5657_0,1020.0,1090.0
flow_2284_0,1023.0,1093.0
flow_5658_0,1025.0,1096.0
flow_2264_0,1034.0,1498.0
flow_2286_0,1044.0,1427.0
flow_567_0,1066.0,1135.0
flow_902_0,1071.0,1431.0
flow_2288_0,1075.0,1144.0
flow_5660_0,1104.0,1173.0
flow_2291_0,1114.0,1183.0
flow_2676_0,1119.0,1171.0
flow_5666_0,1121.0,1434.0
flow_883_0,1179.0,1431.0
flow_2296_0,1184.0,1253.0
flow_575_0,1194.0,1263.0
flow_2274_0,1206.0,1258.0
flow_5670_0,1237.0,1306.0
flow_5671_0,1239.0,1309.0
flow_5675_0,1243.0,1312.0
flow_32_0,1261.0,1500.0
flow_3347_0,1264.0,1316.0
flow_2302_0,1268.0,1338.0
flow_5678_0,1283.0,1353.0
flow_5679_0,1286.0,1355.0
flow_5680_0,1289.0,1358.0
flow_5681_0,1301.0,1437.0
flow_845_0,1317.0,1753.0
flow_2245_0,1318.0,1433.0
flow_897_0,1325.0,1503.0
flow_6280_0,1332.0,1439.0
flow_927_0,1335.0,1404.0
flow_589_0,1361.0,1449.0
flow_591_0,1368.0,1453.0
flow_2309_0,1372.0,1449.0
flow_5688_0,1404.0,1474.0
flow_5689_0,1413.0,1483.0
flow_50_0,1427.0,1505.0
flow_2691_0,1431.0,1508.0
flow_2312_0,1451.0,1520.0
flow_5691_0,1454.0,1523.0
flow_2313_0,1458.0,1527.0
flow_868_0,1472.0,1758.0
flow_869_0,1475.0,1731.0
flow_3228_0,1477.0,1735.0
flow_892_0,1480.0,1533.0
flow_3230_0,1483.0,1535.0
flow_3303_0,1485.0,1538.0
flow_2314_0,1496.0,1566.0
flow_2316_0,1519.0,1589.0
flow_5696_0,1525.0,1595.0
flow_3165_0,1526.0,1737.0
flow_595_0,1564.0,1633.0
flow_596_0,1566.0,1636.0
flow_5697_0,1567.0,1637.0
flow_65_0,1569.0,1639.0
flow_2701_0,1573.0,1740.0
flow_5699_0,1573.0,1642.0
flow_5701_0,1614.0,1820.0
flow_5702_0,1621.0,1691.0
flow_2303_0,1638.0,1690.0
flow_2304_0,1642.0,1742.0
flow_2325_0,1666.0,1774.0
flow_901_0,1670.0,1745.0
flow_916_0,1673.0,1725.0
flow_611_0,1673.0,1774.0
flow_3309_0,1675.0,1747.0
flow_5704_0,1676.0,1778.0
flow_3332_0,1678.0,1988.0
flow_5705_0,1679.0,1780.0
flow_3350_0,1680.0,1991.0
flow_5706_0,1681.0,1783.0
flow_2687_0,1682.0,1734.0
flow_5707_0,1683.0,1786.0
flow_5708_0,1686.0,1756.0
flow_5709_0,1714.0,1789.0
flow_5711_0,1716.0,1792.0
flow_3359_0,1736.0,1994.0
flow_2665_0,1738.0,1997.0
flow_959_0,1740.0,1793.0
flow_543_0,1743.0,1999.0
flow_3423_0,1746.0,2002.0
flow_3439_0,1748.0,1800.0
flow_3451_0,1750.0,1803.0
flow_2711_0,1753.0,1806.0
flow_5715_0,1758.0,1828.0
flow_2716_0,1786.0,2004.0
flow_3520_0,1797.0,1869.0
flow_2336_0,1798.0,1869.0
flow_993_0,1803.0,1873.0
flow_5717_0,1807.0,1876.0
flow_5719_0,1810.0,1879.0
flow_5720_0,1812.0,1882.0
flow_5721_0,1814.0,1885.0
flow_5723_0,1820.0,1889.0
flow_2338_0,1823.0,1892.0
flow_5725_0,1838.0,2098.0
flow_530_0,1850.0,1919.0
flow_2707_0,1852.0,1922.0
flow_1034_0,1855.0,1925.0
flow_3461_0,1875.0,1927.0
flow_3534_0,1878.0,2164.0
flow_2267_0,1880.0,2167.0
flow_6735_0,1883.0,2170.0
flow_6739_0,1885.0,1938.0
flow_6740_0,1888.0,1941.0
flow_3552_0,1890.0,2173.0
flow_61_0,1892.0,2175.0
flow_5730_0,1902.0,2102.0
flow_5731_0,1904.0,1974.0
flow_5733_0,1910.0,1979.0
flow_2346_0,1918.0,2010.0
flow_1051_0,1928.0,2178.0
flow_5735_0,1949.0,2019.0
flow_2348_0,1952.0,2021.0
flow_5738_0,1954.0,2025.0
flow_5740_0,1961.0,2031.0
flow_2724_0,1972.0,2104.0
flow_2324_0,1975.0,2044.0
flow_2728_0,1977.0,2107.0
flow_984_0,2008.0,2078.0
flow_6749_0,2017.0,2086.0
flow_2352_0,2017.0,2086.0
flow_2354_0,2019.0,2089.0
flow_2355_0,2021.0,2091.0
flow_1052_0,2024.0,2180.0
flow_5747_0,2024.0,2121.0
flow_77_0,2034.0,2105.0
flow_87_0,2038.0,2122.0
flow_94_0,2042.0,2113.0
flow_2334_0,2042.0,2252.0
flow_2738_0,2048.0,2256.0
flow_3352_0,2050.0,2126.0
flow_5703_0,2053.0,2258.0
flow_6744_0,2055.0,2125.0
flow_2743_0,2056.0,2261.0
flow_2702_0,2058.0,2128.0
flow_2359_0,2085.0,2155.0
flow_5751_0,2088.0,2157.0
flow_5753_0,2090.0,2160.0
flow_5755_0,2093.0,2163.0
flow_2361_0,2095.0,2166.0
flow_5756_0,2097.0,2186.0
flow_5760_0,2100.0,2170.0
flow_2365_0,2103.0,2173.0
flow_5764_0,2105.0,2176.0
flow_2367_0,2110.0,2180.0
flow_5767_0,2123.0,2193.0
flow_2753_0,2125.0,2263.0
flow_1060_0,2128.0,2469.0
flow_1066_0,2130.0,2474.0
flow_2307_0,2133.0,2476.0
flow_45_0,2135.0,2266.0
flow_3588_0,2138.0,2268.0
flow_1078_0,2140.0,2518.0
flow_2371_0,2172.0,2241.0
flow_5754_0,2177.0,2479.0
flow_5773_0,2184.0,2274.0
flow_5729_0,2185.0,2255.0
flow_646_0,2194.0,2295.0
flow_2377_0,2216.0,2295.0
flow_5782_0,2218.0,2300.0
flow_5784_0,2225.0,2721.0
flow_107_0,2238.0,2522.0
flow_114_0,2241.0,2481.0
flow_592_0,2243.0,2296.0
flow_116_0,2246.0,2524.0
flow_118_0,2250.0,2302.0
flow_3669_0,2253.0,2323.0
flow_5726_0,2257.0,2527.0
flow_5786_0,2260.0,2330.0
flow_5788_0,2263.0,2332.0
flow_3807_0,2264.0,2333.0
flow_5795_0,2284.0,2353.0
flow_5796_0,2289.0,2359.0
flow_5802_0,2319.0,2389.0
flow_5718_0,2321.0,2529.0
flow_3701_0,2324.0,2376.0
flow_3721_0,2326.0,2704.0
flow_3729_0,2329.0,2708.0
flow_3739_0,2331.0,2383.0
flow_5774_0,2331.0,2710.0
flow_3754_0,2334.0,2713.0
flow_2390_0,2338.0,2408.0
flow_2781_0,2376.0,2550.0
flow_5811_0,2376.0,2445.0
flow_3662_0,2384.0,2715.0
flow_3917_0,2385.0,2455.0
flow_3683_0,2386.0,2920.0
flow_3789_0,2389.0,2924.0
flow_5816_0,2389.0,2459.0
