,enter_time,leave_time
flow_0_0,77.0,147.0
flow_2_0,164.0,233.0
flow_3_0,166.0,236.0
flow_4_0,169.0,239.0
flow_2642_0,172.0,242.0
flow_2643_0,195.0,264.0
flow_6_0,215.0,284.0
flow_2644_0,218.0,287.0
flow_9_0,295.0,364.0
flow_10_0,307.0,377.0
flow_833_0,316.0,392.0
flow_11_0,330.0,411.0
flow_2650_0,356.0,432.0
flow_845_0,370.0,440.0
flow_12_0,377.0,446.0
flow_13_0,379.0,449.0
flow_14_0,382.0,451.0
flow_6671_0,399.0,474.0
flow_5613_0,399.0,451.0
flow_2652_0,409.0,479.0
flow_531_0,417.0,487.0
flow_3165_0,439.0,509.0
flow_2237_0,441.0,493.0
flow_2239_0,459.0,528.0
flow_15_0,459.0,528.0
flow_852_0,459.0,533.0
flow_2655_0,470.0,540.0
flow_2241_0,499.0,569.0
flow_6686_0,512.0,583.0
flow_856_0,519.0,592.0
flow_3228_0,531.0,596.0
flow_3230_0,539.0,598.0
flow_537_0,555.0,625.0
flow_19_0,587.0,657.0
flow_864_0,598.0,650.0
flow_868_0,601.0,676.0
flow_869_0,639.0,690.0
flow_6269_0,650.0,719.0
flow_5628_0,669.0,738.0
flow_5630_0,672.0,766.0
flow_21_0,678.0,747.0
flow_22_0,680.0,750.0
flow_2252_0,681.0,751.0
flow_5631_0,685.0,754.0
flow_3283_0,717.0,789.0
flow_23_0,722.0,793.0
flow_2256_0,748.0,817.0
flow_25_0,768.0,837.0
flow_3298_0,771.0,841.0
flow_3300_0,774.0,844.0
flow_3301_0,776.0,847.0
flow_3164_0,794.0,863.0
flow_3308_0,812.0,882.0
flow_2245_0,817.0,894.0
flow_887_0,820.0,872.0
flow_6703_0,826.0,897.0
flow_2664_0,837.0,934.0
flow_3303_0,838.0,914.0
flow_2264_0,840.0,910.0
flow_30_0,861.0,931.0
flow_2667_0,880.0,954.0
flow_2668_0,882.0,959.0
flow_31_0,897.0,967.0
flow_32_0,907.0,1011.0
flow_3309_0,919.0,992.0
flow_3332_0,921.0,996.0
flow_897_0,922.0,992.0
flow_892_0,924.0,998.0
flow_901_0,926.0,1001.0
flow_33_0,930.0,1000.0
flow_3347_0,953.0,1023.0
flow_34_0,956.0,1031.0
flow_2274_0,967.0,1036.0
flow_2672_0,972.0,1201.0
flow_6710_0,977.0,1049.0
flow_3244_0,986.0,1054.0
flow_561_0,991.0,1044.0
flow_36_0,995.0,1086.0
flow_3350_0,996.0,1067.0
flow_3352_0,999.0,1056.0
flow_889_0,1004.0,1090.0
flow_2675_0,1025.0,1094.0
flow_916_0,1034.0,1106.0
flow_38_0,1035.0,1126.0
flow_917_0,1037.0,1284.0
flow_39_0,1040.0,1110.0
flow_3385_0,1053.0,1123.0
flow_6280_0,1054.0,1107.0
flow_2676_0,1070.0,1140.0
flow_3359_0,1071.0,1145.0
flow_543_0,1073.0,1149.0
flow_2678_0,1073.0,1164.0
flow_2665_0,1076.0,1151.0
flow_565_0,1089.0,1164.0
flow_3384_0,1108.0,1160.0
flow_2286_0,1117.0,1182.0
flow_902_0,1124.0,1186.0
flow_41_0,1127.0,1222.0
flow_43_0,1130.0,1200.0
flow_5661_0,1133.0,1222.0
flow_2287_0,1162.0,1232.0
flow_2267_0,1167.0,1243.0
flow_46_0,1187.0,1264.0
flow_923_0,1205.0,1274.0
flow_3424_0,1210.0,1279.0
flow_2294_0,1219.0,1303.0
flow_2684_0,1221.0,1306.0
flow_47_0,1224.0,1303.0
flow_48_0,1229.0,1308.0
flow_5666_0,1247.0,1322.0
flow_2298_0,1266.0,1341.0
flow_49_0,1266.0,1336.0
flow_3423_0,1267.0,1322.0
flow_50_0,1271.0,1362.0
flow_51_0,1277.0,1347.0
flow_3439_0,1278.0,1329.0
flow_2688_0,1300.0,1404.0
flow_3451_0,1306.0,1383.0
flow_52_0,1306.0,1376.0
flow_959_0,1308.0,1387.0
flow_962_0,1312.0,1364.0
flow_6318_0,1315.0,1424.0
flow_3459_0,1320.0,1404.0
flow_583_0,1325.0,1408.0
flow_936_0,1329.0,1410.0
flow_2690_0,1350.0,1419.0
flow_2303_0,1354.0,1423.0
flow_2304_0,1356.0,1427.0
flow_2691_0,1359.0,1429.0
flow_55_0,1365.0,1443.0
flow_6735_0,1386.0,1462.0
flow_976_0,1395.0,1448.0
flow_58_0,1396.0,1480.0
flow_3461_0,1407.0,1467.0
flow_2694_0,1413.0,1482.0
flow_59_0,1427.0,1516.0
flow_5681_0,1427.0,1479.0
flow_60_0,1430.0,1500.0
flow_2687_0,1436.0,1497.0
flow_949_0,1447.0,1499.0
flow_61_0,1447.0,1775.0
flow_6739_0,1450.0,1501.0
flow_972_0,1458.0,1528.0
flow_6740_0,1459.0,1510.0
flow_590_0,1465.0,1534.0
flow_592_0,1468.0,1554.0
flow_62_0,1483.0,1553.0
flow_1000_0,1497.0,1550.0
flow_2700_0,1499.0,1574.0
flow_2701_0,1502.0,1572.0
flow_6742_0,1519.0,1588.0
flow_6744_0,1520.0,1847.0
flow_64_0,1521.0,1616.0
flow_999_0,1524.0,1677.0
flow_66_0,1532.0,1620.0
flow_2703_0,1556.0,1625.0
flow_3534_0,1557.0,1637.0
flow_3550_0,1560.0,1612.0
flow_2307_0,1560.0,1642.0
flow_981_0,1571.0,1641.0
flow_67_0,1578.0,1657.0
flow_68_0,1580.0,1661.0
flow_2704_0,1582.0,1657.0
flow_70_0,1588.0,1663.0
flow_2706_0,1595.0,1681.0
flow_3552_0,1617.0,1716.0
flow_71_0,1619.0,1696.0
flow_72_0,1622.0,1692.0
flow_575_0,1624.0,1676.0
flow_596_0,1655.0,1735.0
flow_3588_0,1656.0,1720.0
flow_2702_0,1686.0,2006.0
flow_2711_0,1690.0,2323.0
flow_5701_0,1699.0,1775.0
flow_78_0,1700.0,1770.0
flow_79_0,1703.0,1797.0
flow_81_0,1709.0,1802.0
flow_6759_0,1713.0,1804.0
flow_3599_0,1715.0,1767.0
flow_5703_0,1733.0,1803.0
