,enter_time,leave_time
flow_6666_0,149.0,219.0
flow_835_0,167.0,219.0
flow_0_0,228.0,297.0
flow_6672_0,251.0,570.0
flow_3164_0,257.0,610.0
flow_3165_0,269.0,350.0
flow_6673_0,280.0,372.0
flow_848_0,302.0,354.0
flow_851_0,310.0,361.0
flow_3_0,314.0,394.0
flow_6676_0,334.0,415.0
flow_840_0,336.0,420.0
flow_854_0,346.0,398.0
flow_6678_0,353.0,423.0
flow_6_0,358.0,410.0
flow_2234_0,362.0,431.0
flow_6679_0,370.0,439.0
flow_3195_0,399.0,451.0
flow_6266_0,419.0,489.0
flow_844_0,420.0,486.0
flow_847_0,425.0,535.0
flow_862_0,428.0,486.0
flow_849_0,430.0,511.0
flow_526_0,459.0,528.0
flow_9_0,471.0,843.0
flow_3209_0,492.0,562.0
flow_6685_0,495.0,585.0
flow_871_0,513.0,566.0
flow_874_0,527.0,580.0
flow_3226_0,539.0,615.0
flow_2238_0,566.0,617.0
flow_530_0,567.0,636.0
flow_6688_0,569.0,639.0
flow_876_0,586.0,658.0
flow_877_0,589.0,683.0
flow_2249_0,614.0,685.0
flow_2658_0,638.0,707.0
flow_15_0,640.0,712.0
flow_6691_0,640.0,731.0
flow_883_0,660.0,731.0
flow_885_0,665.0,755.0
flow_886_0,668.0,719.0
flow_3242_0,687.0,759.0
flow_2652_0,692.0,777.0
flow_6694_0,714.0,784.0
flow_879_0,718.0,799.0
flow_2246_0,721.0,777.0
flow_2660_0,734.0,785.0
flow_6696_0,755.0,824.0
flow_6698_0,785.0,866.0
flow_900_0,805.0,857.0
flow_904_0,811.0,888.0
flow_22_0,820.0,888.0
flow_2665_0,826.0,893.0
flow_2260_0,829.0,881.0
flow_6700_0,830.0,900.0
flow_6702_0,833.0,910.0
flow_23_0,856.0,931.0
flow_3244_0,871.0,952.0
flow_909_0,875.0,931.0
flow_895_0,889.0,959.0
flow_3318_0,897.0,966.0
flow_6705_0,901.0,971.0
flow_25_0,902.0,972.0
flow_3283_0,905.0,977.0
flow_918_0,920.0,972.0
flow_921_0,929.0,980.0
flow_6286_0,943.0,1013.0
flow_3300_0,952.0,1005.0
flow_2267_0,957.0,1013.0
flow_5646_0,959.0,1017.0
flow_3308_0,962.0,1019.0
flow_925_0,966.0,1018.0
flow_932_0,971.0,1023.0
flow_6308_0,1011.0,1080.0
flow_3348_0,1023.0,1092.0
flow_3357_0,1025.0,1095.0
flow_3370_0,1027.0,1097.0
flow_6714_0,1030.0,1100.0
flow_2282_0,1032.0,1101.0
flow_6715_0,1033.0,1103.0
flow_941_0,1048.0,1109.0
flow_944_0,1052.0,1105.0
flow_945_0,1056.0,1113.0
flow_951_0,1094.0,1413.0
flow_6693_0,1097.0,1165.0
flow_3380_0,1099.0,1419.0
flow_6720_0,1101.0,1171.0
flow_955_0,1103.0,1170.0
flow_6721_0,1105.0,1178.0
flow_515_0,1107.0,1159.0
flow_956_0,1129.0,1195.0
flow_935_0,1147.0,1217.0
flow_966_0,1148.0,1217.0
flow_939_0,1152.0,1222.0
flow_34_0,1155.0,1207.0
flow_970_0,1157.0,1226.0
flow_6320_0,1183.0,1253.0
flow_3298_0,1184.0,1246.0
flow_2289_0,1186.0,1264.0
flow_976_0,1187.0,1269.0
flow_2292_0,1191.0,1358.0
flow_969_0,1203.0,1255.0
flow_971_0,1207.0,1258.0
flow_974_0,1212.0,1282.0
flow_2295_0,1221.0,1301.0
flow_3415_0,1233.0,1286.0
flow_33_0,1236.0,1288.0
flow_6726_0,1237.0,1306.0
flow_41_0,1241.0,1378.0
flow_983_0,1244.0,1295.0
flow_3347_0,1249.0,1319.0
flow_984_0,1251.0,1338.0
flow_6325_0,1254.0,1324.0
flow_2297_0,1257.0,1330.0
flow_6730_0,1273.0,1358.0
flow_3429_0,1274.0,1325.0
flow_961_0,1276.0,1346.0
flow_6731_0,1276.0,1362.0
flow_2687_0,1285.0,1337.0
flow_988_0,1289.0,1341.0
flow_896_0,1294.0,1378.0
flow_6723_0,1324.0,1396.0
flow_995_0,1326.0,1400.0
flow_3447_0,1327.0,1414.0
flow_996_0,1329.0,1403.0
flow_998_0,1331.0,1660.0
flow_3454_0,1332.0,1419.0
flow_999_0,1334.0,1432.0
flow_46_0,1343.0,1395.0
flow_45_0,1349.0,1421.0
flow_6734_0,1351.0,1424.0
flow_6736_0,1354.0,1427.0
flow_1000_0,1361.0,1511.0
flow_6332_0,1362.0,1451.0
flow_1005_0,1369.0,1437.0
flow_3466_0,1380.0,1703.0
flow_3468_0,1382.0,1452.0
flow_2300_0,1399.0,1470.0
flow_2307_0,1400.0,1490.0
flow_2692_0,1401.0,1474.0
flow_1010_0,1402.0,1456.0
flow_6737_0,1406.0,1490.0
flow_6738_0,1408.0,1495.0
flow_1012_0,1409.0,1470.0
flow_962_0,1419.0,1477.0
flow_2696_0,1422.0,1495.0
flow_575_0,1441.0,1531.0
flow_1013_0,1456.0,1551.0
flow_6338_0,1462.0,1536.0
flow_6741_0,1462.0,1532.0
flow_580_0,1464.0,1535.0
flow_5686_0,1473.0,1776.0
flow_2311_0,1476.0,1551.0
flow_6335_0,1494.0,1555.0
flow_3509_0,1508.0,1577.0
flow_3511_0,1510.0,1580.0
flow_1021_0,1512.0,1564.0
flow_3459_0,1513.0,1583.0
flow_3513_0,1515.0,1590.0
flow_2702_0,1516.0,1607.0
flow_949_0,1549.0,1600.0
flow_1037_0,1572.0,1648.0
flow_2315_0,1573.0,1643.0
flow_61_0,1590.0,1642.0
flow_6748_0,1590.0,1660.0
flow_3352_0,1593.0,1670.0
flow_3539_0,1612.0,1663.0
flow_1040_0,1613.0,1665.0
flow_1042_0,1617.0,1692.0
flow_3584_0,1638.0,1708.0
flow_2695_0,1651.0,1721.0
flow_2319_0,1664.0,1780.0
flow_1047_0,1674.0,1726.0
flow_3579_0,1674.0,1737.0
flow_1052_0,1680.0,1759.0
flow_981_0,1682.0,1780.0
flow_3594_0,1683.0,1735.0
flow_1055_0,1687.0,1764.0
flow_6753_0,1704.0,1774.0
flow_6757_0,1707.0,1785.0
flow_6758_0,1709.0,1818.0
flow_67_0,1716.0,1769.0
flow_1048_0,1718.0,1787.0
flow_68_0,1720.0,1771.0
flow_1065_0,1721.0,1791.0
flow_3550_0,1723.0,1775.0
flow_1063_0,1734.0,1799.0
flow_2714_0,1735.0,1806.0
flow_6740_0,1743.0,1799.0
flow_6760_0,1749.0,1837.0
flow_6761_0,1752.0,1822.0
flow_1074_0,1753.0,1913.0
flow_6762_0,1755.0,1841.0
flow_2327_0,1757.0,1827.0
flow_1079_0,1764.0,1856.0
flow_73_0,1790.0,1860.0
flow_3658_0,1793.0,1875.0
flow_1080_0,1795.0,1848.0
flow_3681_0,1795.0,1879.0
flow_3599_0,1798.0,1856.0
flow_3634_0,1801.0,1882.0
flow_3619_0,1803.0,1860.0
flow_3636_0,1803.0,1885.0
flow_3624_0,1805.0,1862.0
flow_1089_0,1816.0,1867.0
flow_2332_0,1823.0,1893.0
flow_48_0,1824.0,1894.0
flow_1097_0,1831.0,1896.0
flow_1099_0,1858.0,1910.0
flow_1102_0,1864.0,1932.0
flow_2731_0,1865.0,1935.0
flow_6768_0,1865.0,1973.0
flow_6769_0,1868.0,1952.0
flow_6770_0,1871.0,1957.0
flow_6771_0,1873.0,1943.0
flow_1108_0,1875.0,1936.0
flow_3686_0,1877.0,1977.0
flow_1109_0,1878.0,1939.0
flow_5718_0,1881.0,1973.0
flow_3685_0,1883.0,1979.0
flow_3679_0,1884.0,1942.0
flow_1112_0,1888.0,1944.0
flow_1113_0,1890.0,1942.0
flow_1114_0,1893.0,1993.0
flow_1124_0,1899.0,1978.0
flow_6362_0,1901.0,1980.0
flow_3695_0,1904.0,1974.0
