,enter_time,leave_time
flow_0_0,77.0,147.0
flow_2_0,123.0,192.0
flow_3_0,146.0,215.0
flow_4_0,169.0,238.0
flow_2642_0,172.0,242.0
flow_2643_0,195.0,264.0
flow_6_0,215.0,284.0
flow_2644_0,218.0,287.0
flow_9_0,284.0,353.0
flow_10_0,307.0,377.0
flow_11_0,330.0,854.0
flow_12_0,353.0,422.0
flow_2650_0,356.0,426.0
flow_13_0,386.0,455.0
flow_14_0,388.0,458.0
flow_2652_0,402.0,472.0
flow_15_0,419.0,488.0
flow_2655_0,449.0,519.0
flow_833_0,456.0,629.0
flow_852_0,458.0,634.0
flow_2239_0,468.0,537.0
flow_2241_0,472.0,542.0
flow_5613_0,522.0,574.0
flow_2237_0,524.0,577.0
flow_531_0,541.0,611.0
flow_537_0,543.0,614.0
flow_3230_0,562.0,636.0
flow_19_0,587.0,657.0
flow_856_0,598.0,706.0
flow_864_0,601.0,653.0
flow_868_0,603.0,711.0
flow_6671_0,632.0,706.0
flow_6686_0,633.0,704.0
flow_845_0,652.0,722.0
flow_6269_0,655.0,725.0
flow_5628_0,671.0,740.0
flow_21_0,672.0,741.0
flow_5630_0,674.0,854.0
flow_22_0,677.0,746.0
flow_2252_0,691.0,760.0
flow_869_0,695.0,930.0
flow_23_0,700.0,769.0
flow_25_0,746.0,815.0
flow_2256_0,768.0,837.0
flow_2664_0,772.0,859.0
flow_3228_0,774.0,934.0
flow_3283_0,791.0,870.0
flow_3298_0,793.0,874.0
flow_3300_0,796.0,878.0
flow_3301_0,798.0,880.0
flow_2264_0,832.0,902.0
flow_2667_0,841.0,910.0
flow_5631_0,843.0,913.0
flow_887_0,859.0,911.0
flow_30_0,861.0,931.0
flow_2245_0,862.0,1101.0
flow_892_0,864.0,936.0
flow_3308_0,868.0,945.0
flow_2668_0,879.0,948.0
flow_31_0,884.0,954.0
flow_32_0,907.0,1088.0
flow_3309_0,937.0,1011.0
flow_3332_0,939.0,1015.0
flow_901_0,942.0,1017.0
flow_33_0,950.0,1020.0
flow_897_0,952.0,1022.0
flow_34_0,953.0,1028.0
flow_2672_0,956.0,1088.0
flow_36_0,977.0,1046.0
flow_2274_0,985.0,1055.0
flow_3350_0,1003.0,1075.0
flow_3347_0,1004.0,1093.0
flow_3352_0,1006.0,1105.0
flow_543_0,1009.0,1078.0
flow_3359_0,1011.0,1081.0
flow_2675_0,1025.0,1114.0
flow_565_0,1034.0,1114.0
flow_3244_0,1039.0,1108.0
flow_38_0,1050.0,1119.0
flow_39_0,1053.0,1123.0
flow_6703_0,1056.0,1127.0
flow_916_0,1069.0,1214.0
flow_2676_0,1071.0,1141.0
flow_917_0,1072.0,1426.0
flow_2678_0,1074.0,1143.0
flow_3384_0,1074.0,1126.0
flow_41_0,1082.0,1151.0
flow_3385_0,1119.0,1189.0
flow_2287_0,1121.0,1190.0
flow_43_0,1124.0,1194.0
flow_5661_0,1137.0,1206.0
flow_6280_0,1138.0,1214.0
flow_902_0,1140.0,1218.0
flow_2286_0,1143.0,1220.0
flow_561_0,1167.0,1220.0
flow_46_0,1187.0,1256.0
flow_47_0,1208.0,1277.0
flow_2684_0,1209.0,1278.0
flow_2267_0,1211.0,1346.0
flow_3424_0,1213.0,1282.0
flow_3423_0,1214.0,1350.0
flow_48_0,1229.0,1298.0
flow_49_0,1250.0,1320.0
flow_2294_0,1252.0,1321.0
flow_923_0,1261.0,1330.0
flow_959_0,1275.0,1352.0
flow_3439_0,1277.0,1355.0
flow_3451_0,1280.0,1357.0
flow_2688_0,1280.0,1366.0
flow_2665_0,1282.0,1360.0
flow_50_0,1286.0,1684.0
flow_51_0,1289.0,1359.0
flow_52_0,1294.0,1364.0
flow_889_0,1301.0,1370.0
flow_2298_0,1303.0,1372.0
flow_3459_0,1309.0,1379.0
flow_936_0,1315.0,1384.0
flow_2690_0,1322.0,1391.0
flow_6318_0,1326.0,1430.0
flow_962_0,1329.0,1381.0
flow_583_0,1354.0,1445.0
flow_3303_0,1364.0,1464.0
flow_6710_0,1367.0,1432.0
flow_949_0,1369.0,1422.0
flow_6735_0,1372.0,1469.0
flow_55_0,1374.0,1449.0
flow_2691_0,1393.0,1463.0
flow_2303_0,1395.0,1466.0
