,enter_time,leave_time
flow_0_0,77.0,147.0
flow_2642_0,172.0,242.0
flow_2_0,175.0,244.0
flow_3_0,177.0,247.0
flow_4_0,180.0,250.0
flow_2643_0,195.0,264.0
flow_6_0,215.0,284.0
flow_2644_0,218.0,287.0
flow_833_0,308.0,389.0
flow_9_0,311.0,380.0
flow_10_0,314.0,384.0
flow_11_0,353.0,474.0
flow_12_0,355.0,425.0
flow_2650_0,361.0,453.0
flow_6671_0,369.0,432.0
flow_3165_0,393.0,463.0
flow_13_0,396.0,465.0
flow_14_0,398.0,468.0
flow_5613_0,416.0,468.0
flow_531_0,417.0,487.0
flow_2237_0,427.0,479.0
flow_845_0,435.0,505.0
flow_2652_0,437.0,508.0
flow_852_0,457.0,516.0
flow_2239_0,458.0,537.0
flow_15_0,459.0,537.0
flow_2655_0,465.0,535.0
flow_6686_0,493.0,564.0
flow_2241_0,498.0,568.0
flow_856_0,520.0,597.0
flow_3228_0,533.0,601.0
flow_537_0,562.0,632.0
flow_864_0,567.0,619.0
flow_19_0,587.0,657.0
flow_3230_0,601.0,675.0
flow_868_0,620.0,680.0
flow_869_0,622.0,682.0
flow_6269_0,653.0,722.0
flow_5628_0,656.0,726.0
flow_2252_0,668.0,737.0
flow_21_0,671.0,740.0
flow_22_0,698.0,767.0
flow_23_0,700.0,770.0
flow_5630_0,713.0,806.0
flow_5631_0,717.0,786.0
flow_3283_0,720.0,789.0
flow_2256_0,728.0,797.0
flow_25_0,754.0,825.0
flow_3164_0,773.0,842.0
flow_3298_0,773.0,842.0
flow_3300_0,776.0,845.0
flow_3301_0,778.0,849.0
flow_2664_0,789.0,899.0
flow_3303_0,810.0,880.0
flow_3308_0,832.0,919.0
flow_2264_0,832.0,902.0
flow_2667_0,844.0,919.0
flow_887_0,847.0,899.0
flow_2245_0,853.0,939.0
flow_30_0,883.0,953.0
flow_31_0,885.0,956.0
flow_6703_0,889.0,960.0
flow_892_0,901.0,978.0
flow_2668_0,901.0,970.0
flow_3309_0,903.0,983.0
flow_32_0,907.0,997.0
flow_33_0,930.0,1000.0
flow_897_0,940.0,1010.0
flow_3347_0,957.0,1070.0
flow_3332_0,958.0,1053.0
flow_34_0,960.0,1029.0
flow_3244_0,973.0,1036.0
flow_6710_0,978.0,1040.0
flow_2672_0,979.0,1070.0
flow_889_0,990.0,1087.0
flow_561_0,990.0,1043.0
flow_36_0,997.0,1091.0
flow_901_0,1016.0,1104.0
flow_2274_0,1017.0,1087.0
flow_6280_0,1018.0,1104.0
flow_38_0,1035.0,1121.0
flow_39_0,1040.0,1110.0
flow_3350_0,1052.0,1108.0
flow_3352_0,1055.0,1138.0
flow_3359_0,1057.0,1110.0
flow_543_0,1060.0,1113.0
flow_916_0,1062.0,1116.0
flow_917_0,1064.0,1142.0
flow_565_0,1071.0,1155.0
flow_2675_0,1072.0,1155.0
flow_2676_0,1075.0,1145.0
flow_2665_0,1088.0,1173.0
flow_3384_0,1091.0,1143.0
flow_902_0,1091.0,1173.0
flow_41_0,1104.0,1192.0
flow_2678_0,1105.0,1192.0
flow_2287_0,1112.0,1197.0
flow_5661_0,1127.0,1199.0
flow_43_0,1137.0,1207.0
flow_3385_0,1146.0,1216.0
flow_2286_0,1158.0,1225.0
flow_2267_0,1161.0,1225.0
flow_2684_0,1196.0,1265.0
flow_46_0,1208.0,1277.0
flow_47_0,1210.0,1280.0
flow_923_0,1213.0,1283.0
flow_3423_0,1225.0,1295.0
flow_2294_0,1231.0,1313.0
flow_48_0,1242.0,1313.0
flow_49_0,1250.0,1320.0
flow_3439_0,1258.0,1331.0
flow_959_0,1260.0,1335.0
flow_5666_0,1262.0,1331.0
flow_2298_0,1276.0,1349.0
flow_3424_0,1283.0,1353.0
flow_583_0,1286.0,1356.0
flow_3459_0,1289.0,1359.0
flow_962_0,1294.0,1346.0
flow_50_0,1295.0,1382.0
flow_6318_0,1297.0,1366.0
flow_51_0,1298.0,1368.0
flow_52_0,1300.0,1371.0
flow_2688_0,1311.0,1398.0
flow_936_0,1336.0,1406.0
flow_6735_0,1340.0,1413.0
flow_55_0,1345.0,1427.0
flow_2690_0,1347.0,1427.0
flow_2303_0,1350.0,1421.0
flow_2691_0,1353.0,1425.0
flow_3451_0,1364.0,1416.0
flow_3461_0,1366.0,1419.0
flow_2304_0,1369.0,1438.0
flow_976_0,1369.0,1421.0
flow_949_0,1380.0,1432.0
flow_58_0,1397.0,1466.0
flow_5681_0,1399.0,1451.0
flow_2694_0,1412.0,1481.0
flow_59_0,1413.0,1482.0
flow_2687_0,1419.0,1487.0
flow_60_0,1430.0,1500.0
flow_61_0,1447.0,1781.0
flow_6739_0,1455.0,1526.0
flow_6740_0,1457.0,1530.0
flow_590_0,1460.0,1540.0
flow_592_0,1463.0,1554.0
flow_62_0,1476.0,1546.0
flow_6742_0,1484.0,1568.0
flow_972_0,1498.0,1568.0
flow_64_0,1503.0,1572.0
flow_981_0,1504.0,1574.0
flow_2700_0,1513.0,1593.0
flow_6744_0,1513.0,1833.0
flow_2701_0,1516.0,1586.0
flow_999_0,1539.0,1620.0
flow_66_0,1544.0,1613.0
flow_1000_0,1546.0,1598.0
flow_67_0,1549.0,1633.0
flow_2703_0,1553.0,1633.0
flow_2704_0,1555.0,1637.0
flow_3534_0,1569.0,1646.0
flow_68_0,1571.0,1640.0
flow_3550_0,1572.0,1624.0
flow_2307_0,1586.0,1651.0
flow_2706_0,1589.0,1676.0
flow_3552_0,1592.0,1653.0
flow_70_0,1596.0,1665.0
flow_71_0,1599.0,1668.0
flow_575_0,1612.0,1664.0
flow_72_0,1621.0,1691.0
flow_2702_0,1655.0,1990.0
flow_3588_0,1658.0,1723.0
flow_3599_0,1660.0,1713.0
flow_596_0,1675.0,1753.0
flow_2711_0,1678.0,2285.0
flow_78_0,1692.0,1762.0
flow_79_0,1695.0,1764.0
flow_3627_0,1705.0,1775.0
flow_5701_0,1706.0,1781.0
flow_2716_0,1720.0,1790.0
flow_81_0,1722.0,1794.0
flow_2313_0,1736.0,1805.0
flow_5703_0,1743.0,1814.0
flow_6759_0,1749.0,1833.0
flow_83_0,1751.0,1821.0
flow_45_0,1751.0,1820.0
flow_2719_0,1752.0,1833.0
flow_85_0,1753.0,1824.0
flow_591_0,1756.0,1838.0
flow_3656_0,1764.0,1837.0
flow_6346_0,1779.0,1860.0
flow_3662_0,1779.0,1847.0
flow_2721_0,1795.0,1873.0
flow_65_0,1799.0,1878.0
flow_77_0,1805.0,1885.0
flow_88_0,1806.0,1875.0
flow_89_0,1808.0,2224.0
flow_90_0,1811.0,1881.0
flow_91_0,1845.0,1914.0
flow_1052_0,1845.0,1915.0
flow_1065_0,1848.0,1917.0
flow_5686_0,1850.0,1920.0
flow_2725_0,1858.0,1927.0
flow_2334_0,1861.0,1931.0
flow_623_0,1871.0,1941.0
flow_993_0,1879.0,1956.0
flow_2337_0,1884.0,1968.0
flow_1060_0,1884.0,1943.0
flow_1062_0,1887.0,1939.0
flow_6345_0,1889.0,2224.0
flow_95_0,1896.0,1980.0
flow_99_0,1898.0,1985.0
flow_1066_0,1908.0,1993.0
flow_3619_0,1908.0,2045.0
flow_1071_0,1911.0,1964.0
flow_1079_0,1911.0,1981.0
flow_101_0,1919.0,1988.0
flow_102_0,1922.0,1992.0
flow_5726_0,1923.0,1993.0
flow_103_0,1924.0,2005.0
flow_104_0,1927.0,2009.0
flow_5725_0,1930.0,1993.0
flow_1078_0,1930.0,1998.0
flow_3701_0,1932.0,2017.0
flow_105_0,1933.0,2030.0
flow_1048_0,1933.0,2004.0
flow_5729_0,1953.0,2293.0
flow_106_0,1954.0,2024.0
flow_2342_0,1955.0,2035.0
flow_107_0,1957.0,2045.0
flow_2343_0,1957.0,2037.0
flow_108_0,1959.0,2035.0
flow_2738_0,1960.0,2030.0
flow_3683_0,1967.0,2021.0
flow_5730_0,1978.0,2072.0
flow_110_0,1980.0,2059.0
flow_1051_0,1981.0,2051.0
flow_111_0,1982.0,2063.0
flow_1107_0,1984.0,2059.0
flow_94_0,1986.0,2038.0
flow_3663_0,1986.0,2056.0
flow_1054_0,2003.0,2055.0
flow_112_0,2005.0,2075.0
flow_2743_0,2005.0,2076.0
flow_2745_0,2008.0,2085.0
flow_114_0,2008.0,2085.0
flow_3721_0,2015.0,2072.0
flow_3722_0,2018.0,2100.0
flow_2724_0,2025.0,2077.0
flow_2728_0,2028.0,2079.0
flow_2347_0,2029.0,2115.0
flow_115_0,2030.0,2100.0
flow_116_0,2034.0,2145.0
flow_117_0,2037.0,2107.0
flow_3818_0,2039.0,2110.0
flow_1084_0,2040.0,2119.0
flow_3729_0,2040.0,2130.0
flow_2339_0,2044.0,2096.0
flow_118_0,2058.0,2150.0
flow_120_0,2061.0,2161.0
flow_121_0,2063.0,2133.0
flow_2748_0,2071.0,2161.0
flow_2753_0,2074.0,2143.0
flow_1123_0,2080.0,2132.0
flow_3844_0,2085.0,2165.0
flow_122_0,2088.0,2158.0
flow_124_0,2089.0,2167.0
flow_5718_0,2089.0,2176.0
flow_3852_0,2092.0,2163.0
flow_2358_0,2099.0,2169.0
flow_640_0,2100.0,2170.0
flow_2757_0,2105.0,2192.0
flow_3789_0,2110.0,2180.0
flow_3860_0,2112.0,2182.0
flow_125_0,2115.0,2185.0
flow_127_0,2117.0,2614.0
flow_128_0,2119.0,2197.0
flow_3739_0,2125.0,2182.0
flow_3754_0,2127.0,2185.0
flow_2362_0,2130.0,2199.0
flow_5754_0,2141.0,2212.0
flow_129_0,2145.0,2215.0
flow_1112_0,2145.0,2214.0
flow_131_0,2148.0,2616.0
flow_132_0,2150.0,2241.0
flow_135_0,2153.0,2223.0
flow_2363_0,2161.0,2241.0
flow_137_0,2176.0,2246.0
flow_138_0,2178.0,2249.0
flow_140_0,2181.0,2251.0
flow_6796_0,2185.0,2236.0
flow_2351_0,2187.0,2258.0
flow_2768_0,2191.0,2275.0
flow_2769_0,2193.0,2279.0
flow_2368_0,2196.0,2281.0
flow_143_0,2206.0,2276.0
flow_145_0,2208.0,2279.0
flow_6376_0,2217.0,2269.0
flow_1161_0,2220.0,2293.0
flow_1170_0,2222.0,2298.0
flow_2773_0,2222.0,2310.0
flow_2370_0,2233.0,2315.0
flow_5772_0,2238.0,2317.0
flow_5774_0,2241.0,2311.0
flow_3964_0,2252.0,2322.0
flow_2375_0,2254.0,2323.0
flow_150_0,2255.0,2396.0
flow_2779_0,2256.0,2345.0
flow_151_0,2258.0,2328.0
flow_2780_0,2259.0,2350.0
flow_152_0,2260.0,2345.0
flow_2781_0,2261.0,2331.0
flow_153_0,2263.0,2350.0
flow_154_0,2265.0,2352.0
flow_1176_0,2266.0,2328.0
flow_5776_0,2280.0,2352.0
flow_5773_0,2282.0,2334.0
flow_155_0,2291.0,2361.0
flow_156_0,2294.0,2380.0
flow_2761_0,2295.0,2362.0
flow_157_0,2296.0,2367.0
flow_159_0,2299.0,2369.0
flow_1121_0,2308.0,2380.0
flow_2746_0,2309.0,2361.0
flow_1192_0,2310.0,2383.0
flow_1152_0,2311.0,2383.0
flow_5757_0,2312.0,2382.0
flow_3970_0,2314.0,2386.0
flow_1124_0,2319.0,2370.0
flow_2784_0,2325.0,2412.0
flow_642_0,2326.0,2412.0
flow_659_0,2329.0,2399.0
flow_2789_0,2331.0,2417.0
flow_661_0,2332.0,2417.0
flow_2793_0,2336.0,2419.0
flow_164_0,2344.0,2414.0
flow_165_0,2347.0,2420.0
flow_166_0,2349.0,2983.0
flow_4009_0,2351.0,2422.0
flow_167_0,2353.0,2444.0
flow_5784_0,2353.0,2428.0
flow_2794_0,2360.0,2444.0
flow_2795_0,2362.0,2448.0
flow_2385_0,2365.0,2450.0
flow_2798_0,2370.0,2460.0
flow_1197_0,2370.0,2428.0
flow_1204_0,2372.0,2432.0
flow_3949_0,2372.0,2424.0
flow_1209_0,2375.0,2434.0
flow_168_0,2378.0,2448.0
flow_169_0,2380.0,2451.0
flow_170_0,2382.0,2453.0
flow_171_0,2385.0,2455.0
flow_172_0,2387.0,2476.0
flow_6809_0,2388.0,2440.0
flow_2799_0,2394.0,2476.0
flow_2800_0,2397.0,2467.0
flow_1227_0,2400.0,2480.0
flow_174_0,2409.0,2480.0
flow_175_0,2411.0,2482.0
flow_176_0,2414.0,2485.0
flow_178_0,2416.0,2488.0
flow_179_0,2419.0,2491.0
flow_2803_0,2425.0,2494.0
flow_180_0,2441.0,2511.0
flow_181_0,2444.0,2513.0
flow_183_0,2446.0,2516.0
flow_184_0,2449.0,2537.0
flow_1228_0,2453.0,2521.0
flow_2395_0,2457.0,2789.0
flow_2815_0,2469.0,2539.0
flow_185_0,2473.0,2543.0
flow_187_0,2476.0,2545.0
flow_190_0,2478.0,2567.0
flow_6820_0,2481.0,2572.0
flow_3824_0,2483.0,2552.0
flow_3841_0,2485.0,2557.0
flow_3843_0,2487.0,2540.0
flow_3851_0,2490.0,3003.0
flow_191_0,2505.0,2575.0
flow_2821_0,2506.0,2576.0
flow_192_0,2508.0,2578.0
flow_2822_0,2509.0,2596.0
flow_195_0,2510.0,2581.0
flow_2824_0,2512.0,2601.0
flow_4068_0,2513.0,2596.0
flow_676_0,2514.0,2582.0
flow_4093_0,2517.0,2600.0
flow_1257_0,2529.0,2610.0
flow_196_0,2534.0,2604.0
flow_2398_0,2536.0,2605.0
flow_198_0,2537.0,2624.0
flow_2825_0,2539.0,2609.0
flow_199_0,2539.0,2609.0
flow_2827_0,2541.0,2612.0
flow_2829_0,2544.0,2639.0
flow_6827_0,2545.0,2597.0
flow_4086_0,2548.0,2619.0
flow_663_0,2549.0,2628.0
flow_678_0,2551.0,2630.0
flow_1237_0,2552.0,2644.0
flow_1258_0,2555.0,2625.0
flow_201_0,2565.0,2639.0
flow_4116_0,2566.0,2636.0
flow_1275_0,2568.0,2670.0
flow_203_0,2569.0,2640.0
flow_204_0,2571.0,2642.0
flow_205_0,2574.0,2645.0
flow_5775_0,2575.0,2627.0
flow_3880_0,2578.0,2655.0
